,CID,LAC,NetworkGen,NetworkType,NumRaces,NumUsers,Power,laccid,quality,ratio,segment,segment_end_id,segment_start_id,weight
0,6889987,660,3G,UMTS,1,1,-109.0,UMTS-3G-660-6889987,0.89,0.0,001-002,002,001,uniform
1,6889987,660,3G,UMTS,1,1,-109.0,UMTS-3G-660-6889987,0.89,0.074661121355,001-002,002,001,uniform
2,6889987,660,3G,UMTS,1,1,-91.0,UMTS-3G-660-6889987,0.89,0.14932224271,001-002,002,001,uniform
3,6889987,660,3G,UMTS,1,1,-97.0,UMTS-3G-660-6889987,0.89,0.223983364065,001-002,002,001,uniform
4,6889987,660,3G,UMTS,1,1,-97.0,UMTS-3G-660-6889987,0.89,0.29864448542,001-002,002,001,uniform
5,6889987,660,3G,UMTS,1,1,-97.0,UMTS-3G-660-6889987,0.89,0.373305606775,001-002,002,001,uniform
6,6889987,660,3G,UMTS,1,1,-97.0,UMTS-3G-660-6889987,0.89,0.44796672813,001-002,002,001,uniform
7,6889987,660,3G,UMTS,1,1,-97.0,UMTS-3G-660-6889987,0.89,0.522627849485,001-002,002,001,uniform
8,6889987,660,3G,UMTS,1,1,-97.0,UMTS-3G-660-6889987,0.89,0.59728897084,001-002,002,001,uniform
9,6889987,660,3G,UMTS,1,1,-97.0,UMTS-3G-660-6889987,0.89,0.671950092195,001-002,002,001,uniform
10,6889987,660,3G,UMTS,1,1,-97.0,UMTS-3G-660-6889987,0.89,0.74661121355,001-002,002,001,uniform
11,6889987,660,3G,UMTS,1,1,-97.0,UMTS-3G-660-6889987,0.89,0.821272334905,001-002,002,001,uniform
12,6889987,660,3G,UMTS,1,1,-97.0,UMTS-3G-660-6889987,0.89,0.89593345626,001-002,002,001,uniform
13,6889987,660,3G,UMTS,1,1,-97.0,UMTS-3G-660-6889987,0.89,0.970594577615,001-002,002,001,uniform
14,6929814,660,3G,UMTS,1,1,-88.0,UMTS-3G-660-6929814,,0.975350610114,001-002,002,001,uniform
15,6929814,660,3G,UMTS,1,1,-88.0,UMTS-3G-660-6929814,,0.976688488585,001-002,002,001,uniform
16,6929814,660,3G,UMTS,1,1,-88.0,UMTS-3G-660-6929814,,0.978026367056,001-002,002,001,uniform
17,6929814,660,3G,UMTS,1,1,-88.0,UMTS-3G-660-6929814,,0.979364245526,001-002,002,001,uniform
18,6929814,660,3G,UMTS,1,1,-88.0,UMTS-3G-660-6929814,,0.980702123997,001-002,002,001,uniform
19,6929814,660,3G,UMTS,1,1,-88.0,UMTS-3G-660-6929814,,0.982040002468,001-002,002,001,uniform
20,6929814,660,3G,UMTS,1,1,-88.0,UMTS-3G-660-6929814,,0.983377880938,001-002,002,001,uniform
21,6929814,660,3G,UMTS,1,1,-88.0,UMTS-3G-660-6929814,,0.984715759409,001-002,002,001,uniform
22,6929814,660,3G,UMTS,1,1,-88.0,UMTS-3G-660-6929814,,0.98605363788,001-002,002,001,uniform
23,6929814,660,3G,UMTS,1,1,-88.0,UMTS-3G-660-6929814,,0.987391516351,001-002,002,001,uniform
24,6929814,660,3G,UMTS,1,1,-88.0,UMTS-3G-660-6929814,,0.988729394821,001-002,002,001,uniform
25,6929814,660,3G,UMTS,1,1,-88.0,UMTS-3G-660-6929814,,0.990067273292,001-002,002,001,uniform
26,6929814,660,3G,UMTS,1,1,-88.0,UMTS-3G-660-6929814,,0.991405151763,001-002,002,001,uniform
27,6929814,660,3G,UMTS,1,1,-88.0,UMTS-3G-660-6929814,,0.992743030233,001-002,002,001,uniform
28,6929814,660,3G,HSPAP,1,1,-85.0,HSPAP-3G-660-6929814,,0.979513133756,001-002,002,001,uniform
29,6929814,660,3G,HSPAP,1,1,-85.0,HSPAP-3G-660-6929814,,0.980362554701,001-002,002,001,uniform
30,6929814,660,3G,HSPAP,1,1,-85.0,HSPAP-3G-660-6929814,,0.981211975646,001-002,002,001,uniform
