index,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,session_id,source_file,x,y,laccid,segment,netOperators
0,1,6929814,23.0,660,250,1,Черкизовская 3,3G,UMTS,-1,-85,1424849563056,yellow,1424849563,0.0,003,002,,002-003-201502251032-yellow-move.csv,37.74477,55.80394,660-6929814,002-003,25001
1,1,6929814,,660,250,1,ServiceLog,3G,UMTS,-1,-85,1424849563750,yellow,1424849563,9.03951972316e-05,003,002,,002-003-201502251032-yellow-move.csv,37.7447699199,55.8039382471,660-6929814,002-003,25001
2,1,6929814,,660,250,1,ServiceLog,3G,UMTS,-1,-59,1424849564791,yellow,1424849563,0.000564969905061,003,002,,002-003-201502251032-yellow-move.csv,37.7447694992,55.8039290443,660-6929814,002-003,25001
3,1,6929814,,660,250,1,ServiceLog,3G,UMTS,-1,-59,1424849565836,yellow,1424849563,0.00145049418313,003,002,,002-003-201502251032-yellow-move.csv,37.7447687141,55.8039118724,660-6929814,002-003,25001
4,1,6929814,,660,250,1,ServiceLog,3G,UMTS,-1,-59,1424849566879,yellow,1424849563,0.00274305802335,003,002,,002-003-201502251032-yellow-move.csv,37.7447675683,55.8038868073,660-6929814,002-003,25001
5,1,6929814,,660,250,1,ServiceLog,3G,UMTS,-1,-57,1424849567913,yellow,1424849563,0.00442754144995,003,002,,002-003-201502251032-yellow-move.csv,37.744766075,55.8038541422,660-6929814,002-003,25001
6,1,6929814,,660,250,1,ServiceLog,3G,UMTS,-1,-57,1424849568948,yellow,1424849563,0.00651556195943,003,002,,002-003-201502251032-yellow-move.csv,37.744764224,55.8038136517,660-6929814,002-003,25001
7,1,6929814,,660,250,1,ServiceLog,3G,UMTS,-1,-59,1424849569983,yellow,1424849563,0.00900568577636,003,002,,002-003-201502251032-yellow-move.csv,37.7447620165,55.8037653637,660-6929814,002-003,25001
8,1,6929814,,660,250,1,ServiceLog,3G,UMTS,-1,-59,1424849571022,yellow,1424849563,0.0119098700121,003,002,,002-003-201502251032-yellow-move.csv,37.7447594419,55.8037090462,660-6929814,002-003,25001
9,1,6929814,,660,250,1,ServiceLog,3G,UMTS,-1,-59,1424849572060,yellow,1424849563,0.0152158905721,003,002,,002-003-201502251032-yellow-move.csv,37.7447565111,55.8036449363,660-6929814,002-003,25001
