,index,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,session_id,source_file,x,y,laccid,segment,netOperators,rawPower,coeffs,controls,method,maxCorrMinDelta
14945,89776,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435909509598,Andrey,1435909460,0.352113838873,219,151,77603657.0,151-219-201507031044-Andrey-move.csv,37.6517202831,55.7614549594,7763-160,151-219,25002,-105,,1,byCorr,0.0
15612,90731,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-95.0,1435913230352,Anna,1435909946,0.229995167846,219,151,77603657.0,151-219-201507031146-Anna-move.csv,37.6534604836,55.7600135431,7763-160,151-219,25002,-97,,1,byCorr,0.0
15209,90040,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-101.0,1435910452066,Andrey,1435910406,0.316707241043,219,151,77603657.0,151-219-201507031100-Andrey-move.csv,37.6522443339,55.7610445589,7763-160,151-219,25002,-107,,1,byCorr,0.0
15348,90179,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-97.0,1435910951728,Andrey,1435910902,0.321004798879,219,151,77603657.0,151-219-201507031108-Andrey-move.csv,37.652180726,55.7610943725,7763-160,151-219,25002,-101,,1,byCorr,0.0
15564,90533,1,640,2191.0,7763,250,2,Сретенский бульвар 1,2G,EDGE,-1,-63.75,1435912831223,Anna,1435909460,0.943582383635,219,151,77603657.0,151-219-201507031138-Anna-move.csv,37.6412095527,55.766917811,7763-640,151-219,25002,-69,,1,byCorr,0.0
15155,89986,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-65.0,1435910074823,Andrey,1435909946,0.9836493581,219,151,77603657.0,151-219-201507031052-Andrey-move.csv,37.6402015363,55.7669909504,7763-640,151-219,25002,-65,,1,byCorr,0.0
15829,90948,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-57.25,1435913777634,Anna,1435910406,0.92791218871,219,151,77603657.0,151-219-201507031154-Anna-move.csv,37.6416036536,55.7668886183,7763-640,151-219,25002,-59,,1,byCorr,0.0
15974,91093,1,640,2191.0,7763,250,2,Сретенский бульвар 1,2G,EDGE,-1,-58.25,1435914282849,Anna,1435910902,0.933592643872,219,151,77603657.0,151-219-201507031202-Anna-move.csv,37.6414607917,55.7668992007,7763-640,151-219,25002,-59,,1,byCorr,0.0
17771,100804,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-81.0,1435909769594,Andrey,1435909691,0.546067270978,151,219,77603657.0,219-151-201507031048-Andrey-move.csv,37.6501793079,55.7624794975,7763-640,219-151,25002,-81,,1,byCorr,0.0
17923,100956,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-79.0,1435910280923,Andrey,1435910194,0.567802125145,151,219,77603657.0,219-151-201507031056-Andrey-move.csv,37.6504928345,55.7622260076,7763-640,219-151,25002,-83,,1,byCorr,0.0
18068,101101,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-79.0,1435910743434,Andrey,1435910663,0.586891773407,151,219,77603657.0,219-151-201507031104-Andrey-move.csv,37.6507682431,55.7620033823,7763-640,219-151,25002,-83,,1,byCorr,0.0
18314,101347,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-74.75,1435913079748,Anna,1435909691,0.976863291929,151,219,77603657.0,219-151-201507031142-Anna-move.csv,37.6562100633,55.757387418,7763-160,219-151,25002,-77,,1,byCorr,0.0
18534,101567,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-76.0,1435913595367,Anna,1435910194,0.993686749327,151,219,77603657.0,219-151-201507031150-Anna-move.csv,37.6564572424,55.7571929698,7763-160,219-151,25002,-83,,1,byCorr,0.0
18721,101754,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-69.5,1435914043636,Anna,1435910663,0.978860821064,151,219,77603657.0,219-151-201507031158-Anna-move.csv,37.656239412,55.7573643303,7763-160,219-151,25002,-71,,1,byCorr,0.0
