,index,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,session_id,source_file,x,y,laccid,segment,netOperators,rawPower,NumRaces,NumUsers,coeffs,controls,method,maxCorrMinDelta
14945,89776,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435909509598,Andrey,1435909460,0.352113838873,219,151,77603657.0,151-219-201507031044-Andrey-move.csv,37.6517202831,55.7614549594,7763-160,151-219,25002,-105,5,2,0.99195057747,1.0,byCorr,1.0
15612,90731,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-96.0,1435913230352,Anna,1435909946,0.229995167846,219,151,77603657.0,151-219-201507031146-Anna-move.csv,37.6534604836,55.7600135431,7763-160,151-219,25002,-97,5,2,0.977205711308,1.0,byCorr,1.0
15208,90039,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-101.0,1435910451036,Andrey,1435910406,0.308439992408,219,151,77603657.0,151-219-201507031100-Andrey-move.csv,37.6523666969,55.760948732,7763-160,151-219,25002,-105,5,2,0.993138047812,1.0,byCorr,1.0
15347,90178,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-97.0,1435910950720,Andrey,1435910902,0.313376699797,219,151,77603657.0,151-219-201507031108-Andrey-move.csv,37.652293629,55.7610059542,7763-160,151-219,25002,-99,5,2,0.993905181564,1.0,byCorr,1.0
15560,90529,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-52.5,1435912827712,Anna,1435909460,0.91786616124,219,151,77603657.0,151-219-201507031138-Anna-move.csv,37.6418563083,55.7668699031,7763-640,151-219,25002,-57,5,2,0.993361315353,1.0,byCorr,1.0
15157,89988,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-71.0,1435910076906,Andrey,1435909946,0.989596791245,219,151,77603657.0,151-219-201507031052-Andrey-move.csv,37.6400518428,55.767001517,7763-640,151-219,25002,-71,5,2,0.96842877574,1.0,byCorr,1.0
15293,90124,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-63.0,1435910538012,Andrey,1435910406,0.97788920961,219,151,77603657.0,151-219-201507031100-Andrey-move.csv,37.640346516,55.7669807165,7763-640,151-219,25002,-63,5,2,0.940585986571,1.0,byCorr,1.0
15432,90263,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-59.0,1435911037783,Andrey,1435910902,0.958893371815,219,151,77603657.0,151-219-201507031108-Andrey-move.csv,37.6408244857,55.7669463344,7763-640,151-219,25002,-59,5,2,0.972907434053,1.0,byCorr,1.0
17771,100804,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-81.0,1435909769594,Andrey,1435909691,0.546067270978,151,219,77603657.0,219-151-201507031048-Andrey-move.csv,37.6501793079,55.7624794975,7763-640,219-151,25002,-81,3,2,0.987820348677,1.0,byCorr,1.0
17922,100955,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-79.0,1435910279880,Andrey,1435910194,0.560337515958,151,219,77603657.0,219-151-201507031056-Andrey-move.csv,37.6503851571,55.7623130663,7763-640,219-151,25002,-81,3,2,0.995168980927,1.0,byCorr,1.0
18067,101100,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-79.0,1435910742427,Andrey,1435910663,0.578703683375,151,219,77603657.0,219-151-201507031104-Andrey-move.csv,37.6506500902,55.762098864,7763-640,219-151,25002,-81,3,2,0.987615974611,1.0,byCorr,1.0
18314,101347,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-75.5,1435913079748,Anna,1435909691,0.976863291929,151,219,77603657.0,219-151-201507031142-Anna-move.csv,37.6562100633,55.757387418,7763-160,219-151,25002,-77,3,2,0.971728197527,1.0,byCorr,1.0
18533,101566,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-74.0,1435913594329,Anna,1435910194,0.992194170312,151,219,77603657.0,219-151-201507031150-Anna-move.csv,37.6564353126,55.7572102213,7763-160,219-151,25002,-83,3,2,0.95464592514,1.0,byCorr,1.0
18721,101754,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-71.0,1435914043636,Anna,1435910663,0.978860821064,151,219,77603657.0,219-151-201507031158-Anna-move.csv,37.656239412,55.7573643303,7763-160,219-151,25002,-71,3,2,0.965420246898,1.0,byCorr,1.0
