,index,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,session_id,source_file,x,y,laccid,segment,netOperators,ratio_before,Power_before,rawPower,NumRaces,NumUsers,coeffs,controls,method,maxCorrMinDelta
2103,26335,1,250,,7763,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435842965208,Andrey,1435842924,0.123,69,68,449805108.0,068-069-201507021615-Andrey-move.csv,37.6121899206,55.7805950431,7763-250,068-069,25002,0.329728033052,-97,-105.0,2,3,0.983478863495,1.0,byCorr,1.0
2012,26244,1,250,,7763,250,2,ServiceLog,2G,EDGE,-1,-101.0,1435842901242,vlad,1435842924,0.129,69,68,449805108.0,068-069-201507021614-vlad-move.csv,37.6127380696,55.7805652986,7763-250,068-069,25002,0.347231852047,-95,-101.0,2,3,0.968922355986,1.0,byCorr,1.0
2343,26782,1,250,,7763,250,2,ServiceLog,2G,EDGE,-1,-113.0,1435846581644,Anna,1435843291,0.129,69,68,449805108.0,068-069-201507021715-Anna-move.csv,37.6131875275,55.7805406929,7763-250,068-069,25002,0.361585399439,-113,-113.0,2,2,0.965622994765,1.0,byCorr,1.0
2463,27158,1,275,,7763,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435843179595,Andrey,1435843136,0.126,68,69,449805108.0,069-068-201507021618-Andrey-move.csv,37.6218418728,55.780236753,7763-275,069-068,25002,0.360986337211,-105,-105.0,2,3,0.975741296985,1.0,byCorr,1.0
2550,27256,1,275,,7763,250,2,ServiceLog,2G,EDGE,-1,-99.0,1435843509306,Andrey,1435843480,0.087,68,69,449805108.0,069-068-201507021624-Andrey-move.csv,37.6270514655,55.7800340427,7763-275,069-068,25002,0.195373357102,-99,-99.0,2,2,0.962261663381,1.0,byCorr,1.0
3281,31969,1,370,,7736,250,2,ServiceLog,2G,EDGE,-1,-113.0,1435916969192,Anna,1435914142,0.105,74,73,244724959.0,073-074-201507031248-Anna-move.csv,37.6321941841,55.7298635437,7736-370,073-074,25002,0.388688378303,-113,-113.0,2,2,0.992102609951,1.0,byCorr,1.0
3193,31852,1,370,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435914837722,Andrey,1435914799,0.114,74,73,244724959.0,073-074-201507031213-Andrey-move.csv,37.6313917108,55.7296931067,7736-370,073-074,25002,0.439441042011,-103,-103.0,2,2,0.980719026477,1.0,byCorr,1.0
3635,32450,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-101.0,1435917383130,Anna,1435914537,0.156,73,74,244724959.0,074-073-201507031255-Anna-move.csv,37.6341553438,55.730433221,7736-350,074-073,25002,0.750768240765,-103,-101.0,1,2,0.959013828177,1.0,byCorr,1.0
3884,33308,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-113.0,1435917088722,Anna,1435914255,0.123,75,74,244724959.0,074-075-201507031250-Anna-move.csv,37.6158455856,55.7283103996,7736-350,074-075,25002,0.469582667001,-113,-113.0,3,2,0.98109746104,1.0,byCorr,1.0
3799,33223,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-99.0,1435914958716,Andrey,1435914913,0.135,75,74,244724959.0,074-075-201507031215-Andrey-move.csv,37.6154347734,55.72831,7736-350,074-075,25002,0.500075645034,-95,-99.0,3,2,0.98873811001,1.0,byCorr,1.0
4213,33902,1,341,,7736,250,2,ServiceLog,2G,EDGE,-1,-113.0,1435908030913,Anna,1435904753,0.084,74,75,828403345.0,075-074-201507031020-Anna-move.csv,37.6135751409,55.7282095002,7736-341,075-074,25002,0.367276155168,-105,-113.0,2,3,0.988851348648,1.0,byCorr,1.0
4042,33731,1,341,,7736,250,2,ServiceLog,2G,EDGE,-1,-97.0,1435904715462,vlad,1435904753,0.0871448884629,74,75,828403345.0,075-074-201507030924-vlad-move.csv,37.6137578577,55.7281917361,7736-341,075-074,25002,0.380852062719,-95,-97.0,2,3,0.99289919816,1.0,byCorr,1.0
4297,33991,1,341,,7736,250,2,ServiceLog,2G,EDGE,-1,-107.0,1435914469361,Andrey,1435914434,0.102,74,75,244724959.0,075-074-201507031207-Andrey-move.csv,37.6148603441,55.7281180637,7736-341,075-074,25002,0.462246570482,-105,-107.0,2,2,0.977847532877,1.0,byCorr,1.0
7281,51839,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435850647813,Andrey,1435850611,0.108,99,98,597905036.0,098-099-201507021823-Andrey-move.csv,37.6072694775,55.72714228,7736-340,098-099,25002,0.347319714928,-103,-103.0,7,3,0.971244420425,1.0,byCorr,1.0
7407,51988,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-99.0,1435850955670,Andrey,1435850918,0.111,99,98,597905036.0,098-099-201507021828-Andrey-move.csv,37.607269968,55.7271776865,7736-340,098-099,25002,0.344291074693,-99,-99.0,7,3,0.981580480094,1.0,byCorr,1.0
7549,52158,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435851242097,Andrey,1435851203,0.114,99,98,597905036.0,098-099-201507021833-Andrey-move.csv,37.6072645326,55.7267852694,7736-340,098-099,25002,0.377857955947,-103,-103.0,7,3,0.988181836326,1.0,byCorr,1.0
7480,52089,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-93.0,1435851176946,vlad,1435851203,0.114,99,98,597905036.0,098-099-201507021832-vlad-move.csv,37.6072667375,55.7269444558,7736-340,098-099,25002,0.364241384964,-93,-93.0,7,3,0.994857731026,1.0,byCorr,1.0
7853,52692,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435915225684,Andrey,1435915183,0.123,99,98,244724959.0,098-099-201507031219-Andrey-move.csv,37.6072590932,55.7263925552,7736-340,098-099,25002,0.411449909451,-103,-103.0,7,2,0.988288910042,1.0,byCorr,1.0
7928,52785,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435916335093,Andrey,1435916299,0.105,99,98,244724959.0,098-099-201507031238-Andrey-move.csv,37.6073029458,55.7272605345,7736-340,098-099,25002,0.337024096009,-105,-105.0,7,2,0.989203375413,1.0,byCorr,1.0
8222,53466,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-91.0,1435850495713,Andrey,1435850455,0.12,98,99,597905036.0,099-098-201507021820-Andrey-move.csv,37.6076070157,55.7241891852,7736-1000,099-098,25002,0.405737092123,-95,-91.0,5,3,0.976646324794,1.0,byCorr,1.0
8139,53383,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-73.0,1435850430312,vlad,1435850455,0.114106784909,98,99,597905036.0,099-098-201507021819-vlad-move.csv,37.6076025479,55.7240292338,7736-1000,099-098,25002,0.391616717659,-89,-73.0,5,3,0.550591258479,1.0,byCorr,1.0
8381,53636,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-95.0,1435850806930,Andrey,1435850763,0.129,98,99,597905036.0,099-098-201507021826-Andrey-move.csv,37.6076267901,55.7248971227,7736-1000,099-098,25002,0.468233917594,-95,-95.0,5,3,0.931692558154,1.0,byCorr,1.0
8542,53810,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-101.0,1435851100385,Andrey,1435851060,0.12,98,99,597905036.0,099-098-201507021831-Andrey-move.csv,37.6076125093,55.7243858622,7736-1000,099-098,25002,0.423099651286,-101,-101.0,5,3,0.972223221277,1.0,byCorr,1.0
8870,54329,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-97.0,1435904355902,Andrey,1435904316,0.12,98,99,828403345.0,099-098-201507030918-Andrey-move.csv,37.6076162795,55.7245208385,7736-1000,099-098,25002,0.435015354152,-97,-97.0,5,3,0.965937670627,1.0,byCorr,1.0
9011,54582,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-101.0,1435916126486,Andrey,1435916076,0.15,98,99,244724959.0,099-098-201507031234-Andrey-move.csv,37.6076276271,55.7249270871,7736-1000,099-098,25002,0.470879203374,-101,-101.0,5,2,0.989953791424,1.0,byCorr,1.0
9278,56169,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435851367296,Andrey,1435851320,0.138,100,99,597905036.0,099-100-201507021835-Andrey-move.csv,37.6053477467,55.7143582204,7736-1000,099-100,25002,0.303154399169,-103,-103.0,3,3,0.975446282985,1.0,byCorr,1.0
9414,56476,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435915357124,Andrey,1435915305,0.153,100,99,244724959.0,099-100-201507031221-Andrey-move.csv,37.6047063912,55.7140164214,7736-1000,099-100,25002,0.329129774123,-105,-105.0,3,2,0.98536114164,1.0,byCorr,1.0
9498,56620,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-101.0,1435916476516,Andrey,1435916431,0.135,100,99,244724959.0,099-100-201507031240-Andrey-move.csv,37.6060412489,55.7147278068,7736-1000,099-100,25002,0.275067048999,-101,-101.0,3,2,0.991484025506,1.0,byCorr,1.0
9908,58154,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435904195324,Andrey,1435904128,0.198,99,100,828403345.0,100-099-201507030915-Andrey-move.csv,37.5977541178,55.7102356476,7736-1010,100-099,25002,0.384395204856,-105,-105.0,3,3,0.988140176268,1.0,byCorr,1.0
9822,58068,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-75.0,1435904124734,vlad,1435904128,0.189,99,100,828403345.0,100-099-201507030914-vlad-move.csv,37.5972576426,55.7100745512,7736-1010,100-099,25002,0.367680712267,-99,-75.0,3,3,0.716273979329,1.0,byCorr,1.0
10069,58565,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435915950841,Andrey,1435915883,0.195,99,100,244724959.0,100-099-201507031231-Andrey-move.csv,37.5980801044,55.7103660425,7736-1010,100-099,25002,0.395991316952,-103,-103.0,3,2,0.980988596293,1.0,byCorr,1.0
10202,59005,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-101.0,1435915531475,Andrey,1435915497,0.102,101,100,244724959.0,100-101-201507031224-Andrey-move.csv,37.5815741768,55.7046069751,7736-1010,100-101,25002,0.18347935575,-101,-101.0,1,2,0.984830455096,1.0,byCorr,1.0
10314,59876,1,1020,,7736,250,2,ServiceLog,2G,EDGE,-1,-87.0,1435903839157,vlad,1435903861,0.126,100,101,828403345.0,101-100-201507030909-vlad-move.csv,37.5755218326,55.6912510598,7736-1020,101-100,25002,0.171046632298,-85,-87.0,2,2,0.986337218335,1.0,byCorr,1.0
10427,60427,1,1020,,7736,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435915740851,Andrey,1435915698,0.126,100,101,244724959.0,101-100-201507031228-Andrey-move.csv,37.5760805174,55.6927454058,7736-1020,101-100,25002,0.242268555001,-105,-105.0,2,2,0.996518636276,1.0,byCorr,1.0
14945,89776,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-107.0,1435909509598,Andrey,1435909460,0.147,219,151,77603657.0,151-219-201507031044-Andrey-move.csv,37.6517202831,55.7614549594,7763-160,151-219,25002,0.352113838873,-105,-107.0,5,2,0.994875980599,1.0,byCorr,1.0
15619,90738,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-113.0,1435913237598,Anna,1435909946,0.123,219,151,77603657.0,151-219-201507031146-Anna-move.csv,37.6526292676,55.7607311376,7763-160,151-219,25002,0.290007922818,-107,-113.0,5,2,0.967662464078,1.0,byCorr,1.0
15210,90041,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-107.0,1435910453072,Andrey,1435910406,0.141,219,151,77603657.0,151-219-201507031100-Andrey-move.csv,37.652124822,55.7611381528,7763-160,151-219,25002,0.324781855319,-107,-107.0,5,2,0.991279431446,1.0,byCorr,1.0
