,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,NumRaces,NumUsers,PSC,Power,Power_before,TimeStamp,User,coeffs,controls,index,laccid,maxCorrMinDelta,method,netOperators,quality,race_id,ratio,ratio_before,rawPower,segment,segment_end_id,segment_start_id,session_id,source_file,x,y
88,,250,,7763,,,,2G,EDGE,2,,,-101.0,-104.0,,Andrey,0.997330313497,1.0,,7763-250,1.0,byCorr,,0.7,,0.743444077208,0.454811352495,-101.0,068-069,69,68,,,,
66,,250,,7763,,,,2G,EDGE,2,,,-107.0,-108.0,,Anna,0.9260172768,1.0,,7763-250,1.0,byCorr,,0.8,,0.548779078324,0.311096429267,-107.0,068-069,69,68,,,,
2459,1,275,,7763,250.0,2.0,ServiceLog,2G,EDGE,1,3.0,-1.0,-103.86803551,-103.0,1.43584317534e+12,Andrey,0.953093887436,1.0,27154.0,7763-275,1.0,byCorr,25002.0,,1435843136.0,0.30714621164,0.318737083242,-103.86803551,069-068,68,69,449805108.0,069-068-201507021618-Andrey-move.csv,37.6231670992,55.7801584442
173,,350,,7736,,,,2G,EDGE,3,,,-93.0,-86.0,,Anna,0.980419347162,1.0,,7736-350,1.0,byCorr,,0.88,,2.27469190769,1.0359717347,-93.0,073-074,74,73,,,,
80,,370,,7736,,,,2G,EDGE,2,,,-90.1941008732,-101.0,,Andrey,0.785671063427,1.0,,7736-370,1.0,byCorr,,0.88,,0.935457459457,0.489831381691,-92.0,073-074,74,73,,,,
3617,1,350,,7736,250.0,2.0,ServiceLog,2G,EDGE,1,2.0,-1.0,-91.5776837678,-97.0,1.43591737375e+12,Anna,0.87516318138,1.0,32432.0,7736-350,1.0,byCorr,25002.0,,1435914537.0,0.616389079712,0.597196518974,-91.5776837678,074-073,73,74,244724959.0,074-073-201507031255-Anna-move.csv,37.6320019283,55.7296431841
78,,350,,7736,,,,2G,EDGE,2,,,-59.2818984696,-111.0,,Anna,0.549675707078,1.0,,7736-350,1.0,byCorr,,0.77,,0.927314214929,0.445662666105,-58.8223546597,074-075,75,74,,,,
80,,341,,7736,,,,2G,EDGE,2,,,-66.0708762754,-82.0,,Andrey,0.557061251036,1.0,,7736-341,1.0,byCorr,,0.83,,1.41029784124,0.983615087451,-66.0708762754,074-075,75,74,,,,
67,,341,,7736,,,,2G,EDGE,2,,,-85.0,-105.0,,Andrey,0.761868222767,1.0,,7736-341,1.0,byCorr,,0.82,,0.87834832927,0.441505678855,-85.7494053531,075-074,74,75,,,,
53,,341,,7736,,,,2G,EDGE,2,,,-97.0,-97.0,,vlad,0.784163281601,1.0,,7736-341,1.0,byCorr,,0.84,,0.732337983575,0.732558112487,-97.0,075-074,74,75,,,,
139,,350,,7736,,,,2G,EDGE,2,,,-99.5341826989,-62.0,,Anna,0.890994509053,1.0,,7736-350,1.0,byCorr,,0.94,,1.87691163404,0.943513793645,-99.5341826989,075-074,74,75,,,,
117,,340,,7736,,,,2G,EDGE,7,,,-75.666479198,-82.0,,Andrey,0.915282427756,1.0,,7736-340,1.0,byCorr,,0.82,,1.02178765575,0.113035470043,-75.666479198,098-099,99,98,,,,
169,,340,,7736,,,,2G,EDGE,7,,,-90.0,-113.0,,Anna,0.987595946922,1.0,,7736-340,1.0,byCorr,,0.81,,1.65391398086,0.338253852182,-90.0,098-099,99,98,,,,
235,,1000,,7736,,,,2G,EDGE,5,,,-66.315479204,-99.0,,Andrey,0.745348027753,1.0,,7736-1000,1.0,byCorr,,0.92,,2.51891039956,0.509401894366,-66.315479204,099-098,98,99,,,,
208,,1000,,7736,,,,2G,EDGE,5,,,-65.6940828609,-81.0,,vlad,0.657947580632,1.0,,7736-1000,1.0,byCorr,,0.66,,2.16545305105,0.594067249315,-65.6940828609,099-098,98,99,,,,
89,,340,,7736,,,,2G,EDGE,5,,,-76.0,-65.0,,Andrey,0.897294156797,1.0,,7736-340,1.0,byCorr,,0.58,,1.38849123285,0.817322619265,-76.0,099-098,98,99,,,,
152,,1000,,7736,,,,2G,EDGE,3,,,-60.0,-103.0,,Andrey,0.469690257473,1.0,,7736-1000,1.0,byCorr,,0.94,,0.993105987806,0.346034575387,-60.0,099-100,100,99,,,,
113,,1000,,7736,,,,2G,EDGE,3,,,-71.9777242861,-112.0,,Anna,0.641465567201,1.0,,7736-1000,1.0,byCorr,,0.86,,0.732343445207,0.248930405567,-71.9777242861,099-100,100,99,,,,
109,,1010,,7736,,,,2G,EDGE,3,,,-74.0,-98.0,,Andrey,0.955257274814,1.0,,7736-1010,1.0,byCorr,,0.63,,0.816363248241,0.393149839812,-74.0,100-099,99,100,,,,
121,,1010,,7736,,,,2G,EDGE,3,,,-88.0,-113.0,,Anna,0.948898425193,1.0,,7736-1010,1.0,byCorr,,0.88,,0.747108935172,0.352094130653,-88.0,100-099,99,100,,,,
10200,1,1010,,7736,250.0,2.0,ServiceLog,2G,EDGE,1,2.0,-1.0,-101.0,-101.0,1.43591552946e+12,Andrey,0.97358236856,1.0,59003.0,7736-1010,1.0,byCorr,25002.0,,1435915497.0,0.171901391637,0.170621698624,-101.0,100-101,101,100,244724959.0,100-101-201507031224-Andrey-move.csv,37.5818694248,55.7048304871
89,,1020,,7736,,,,2G,EDGE,2,,,-65.0,-104.0,,Andrey,0.571238409238,1.0,,7736-1020,1.0,byCorr,,0.73,,0.344060485803,0.169053489311,-69.0778408718,101-100,100,101,,,,
44,,1020,,7736,,,,2G,EDGE,2,,,-85.0,-87.0,,vlad,0.983319536381,1.0,,7736-1020,1.0,byCorr,,0.68,,0.216395413684,0.180533698215,-85.0,101-100,100,101,,,,
394,,640,,7763,,,,2G,EDGE,5,,,-76.0,-71.0,,Anna,0.984197082529,1.0,,7763-640,1.0,byCorr,,0.79,,3.26854791619,1.00127630831,-76.0,151-219,219,151,,,,
248,,640,,7763,,,,2G,EDGE,3,,,-52.0,-79.0,,Andrey,0.969929539874,1.0,,7763-640,1.0,byCorr,,0.89,,1.73684776502,0.593658035053,-52.0,219-151,151,219,,,,
228,,160,,7763,,,,2G,EDGE,3,,,-90.0,-62.0,,Anna,0.984425813084,1.0,,7763-160,1.0,byCorr,,0.94,,1.6757441703,0.653847864047,-90.0,219-151,151,219,,,,
