,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,NumRaces,NumUsers,PSC,Power,Power_before,TimeStamp,User,coeffs,controls,index,laccid,maxCorrMinDelta,method,netOperators,quality,race_id,ratio,ratio_before,rawPower,segment,segment_end_id,segment_start_id,session_id,source_file,x,y
112,,250,,7763,,,,2G,EDGE,2,,,-99.0,,,,0.992225120303,1.0,,7763-250,1.0,byCorr,,0.4,1435842924,0.329480897853,,,068-069,69,68,,,,
2247,1,275,,7763,250.0,2.0,ServiceLog,2G,EDGE,2,1.0,-1.0,-77.0,-73.0,1.43584339965e+12,Andrey,0.955169135944,1.0,26516.0,7763-275,1.0,byCorr,25002.0,,1435843291,0.854274638742,0.968866575444,-77.0,068-069,69,68,449805108.0,068-069-201507021621-Andrey-move.csv,37.6322305269,55.7797558212
66,,275,,7763,,,,2G,EDGE,2,,,-106.0,,,,0.980121714877,1.0,,7763-275,1.0,byCorr,,0.41,1435843136,0.275314998171,,,069-068,68,69,,,,
49,,350,,7736,,,,2G,EDGE,3,,,-68.0,,,,0.962165500441,1.0,,7736-350,1.0,byCorr,,0.51,1435914142,0.688704770917,,,073-074,74,73,,,,
107,,350,,7736,,,,2G,EDGE,3,,,-65.0,,,,0.950259854529,1.0,,7736-350,1.0,byCorr,,0.89,1435914799,0.888335512668,,,073-074,74,73,,,,
63,,370,,7736,,,,2G,EDGE,2,,,-104.0,,,,0.990826838492,1.0,,7736-370,1.0,byCorr,,0.8,1435914142,0.351550866515,,,073-074,74,73,,,,
84,,350,,7736,,,,2G,EDGE,3,,,-91.0,,,,0.927371922056,1.0,,7736-350,1.0,byCorr,,0.67,1435914913,0.485675206837,,,074-075,75,74,,,,
78,,341,,7736,,,,2G,EDGE,2,,,-101.0,,,,0.982833039084,1.0,,7736-341,1.0,byCorr,,0.78,1435904753,0.482960803307,,,075-074,74,75,,,,
91,,350,,7736,,,,2G,EDGE,2,,,-62.0,,,,0.996479415904,1.0,,7736-350,1.0,byCorr,,0.88,1435904753,0.918373400281,,,075-074,74,75,,,,
7071,1,340,,7736,250.0,2.0,ServiceLog,2G,EDGE,7,1.0,-1.0,-97.0,-97.0,1.43582840602e+12,Andrey,0.898251492795,1.0,51567.0,7736-340,1.0,byCorr,25002.0,,1435828371,0.303801744011,0.318416295734,-97.0,098-099,99,98,321756903.0,098-099-201507021212-Andrey-move.csv,37.6073896682,55.7274725228
28,,340,,7736,,,,2G,EDGE,7,,,-76.0,,,,0.975565200976,1.0,,7736-340,1.0,byCorr,,0.43,1435850611,0.115779735582,,,098-099,99,98,,,,
91,,340,,7736,,,,2G,EDGE,7,,,-98.0,,,,0.98095718223,1.0,,7736-340,1.0,byCorr,,0.48,1435850918,0.218585130678,,,098-099,99,98,,,,
98,,340,,7736,,,,2G,EDGE,7,,,-101.0,,,,0.980297455319,1.0,,7736-340,1.0,byCorr,,0.67,1435851203,0.280771512094,,,098-099,99,98,,,,
48,,340,,7736,,,,2G,EDGE,7,,,-89.0,,,,0.983051811765,1.0,,7736-340,1.0,byCorr,,0.7,1435915183,0.171136921657,,,098-099,99,98,,,,
55,,340,,7736,,,,2G,EDGE,7,,,-102.0,,,,0.9614535684,1.0,,7736-340,1.0,byCorr,,0.62,1435916299,0.253009734676,,,098-099,99,98,,,,
49,,1000,,7736,,,,2G,EDGE,6,,,-71.0,,,,0.721576643896,1.0,,7736-1000,1.0,byCorr,,-0.85,1435850333,0.800821384817,,,098-099,99,98,,,,
7884,1,1000,,7736,250.0,2.0,ServiceLog,2G,EDGE,6,1.0,-1.0,-71.8733621976,-65.0,1.43591527627e+12,Andrey,0.864222426415,1.0,52741.0,7736-1000,1.0,byCorr,25002.0,,1435915183,0.902730133778,0.965737408582,-71.8733621976,098-099,99,98,244724959.0,098-099-201507031219-Andrey-move.csv,37.6078443541,55.7199289272
101,,1000,,7736,,,,2G,EDGE,5,,,-87.0,,,,0.944235508869,1.0,,7736-1000,1.0,byCorr,,0.23,1435850455,0.332855181788,,,099-098,98,99,,,,
86,,1000,,7736,,,,2G,EDGE,5,,,-80.0,,,,0.958671649923,1.0,,7736-1000,1.0,byCorr,,-0.26,1435850763,0.259915734797,,,099-098,98,99,,,,
99,,1000,,7736,,,,2G,EDGE,5,,,-87.0,,,,0.817680439398,1.0,,7736-1000,1.0,byCorr,,0.33,1435851060,0.293503711419,,,099-098,98,99,,,,
96,,1000,,7736,,,,2G,EDGE,5,,,-88.0,,,,0.943591496499,1.0,,7736-1000,1.0,byCorr,,0.58,1435904316,0.30715272652,,,099-098,98,99,,,,
8258,1,340,,7736,250.0,2.0,ServiceLog,2G,EDGE,5,1.0,-1.0,-65.0,-75.0,1.43585054287e+12,Andrey,0.9640622666,1.0,53513.0,7736-340,1.0,byCorr,25002.0,,1435850455,0.885749072943,0.954059349465,-65.0,099-098,98,99,597905036.0,099-098-201507021820-Andrey-move.csv,37.611344884,55.7294866752
8579,1,340,,7736,250.0,2.0,ServiceLog,2G,EDGE,5,1.0,-1.0,-63.0,-71.0,1.43585114477e+12,Andrey,0.965452540829,1.0,53854.0,7736-340,1.0,byCorr,25002.0,,1435851060,0.870518499301,0.96294075497,-63.0,099-098,98,99,597905036.0,099-098-201507021831-Andrey-move.csv,37.6114618671,55.7295627144
9046,1,340,,7736,250.0,2.0,ServiceLog,2G,EDGE,5,1.0,-1.0,-77.0,-81.0,1.43591617434e+12,Andrey,0.960978668368,1.0,54629.0,7736-340,1.0,byCorr,25002.0,,1435916076,0.913607828979,0.96495547843,-77.0,099-098,98,99,244724959.0,099-098-201507031234-Andrey-move.csv,37.6114884044,55.7295799637
33,,1010,,7736,,,,2G,EDGE,5,,,-65.0,,,,0.741283450985,1.0,,7736-1010,1.0,byCorr,,0.67,1435915305,0.869325772607,,,099-100,100,99,,,,
9530,1,1010,,7736,250.0,2.0,ServiceLog,2G,EDGE,5,1.0,-1.0,-67.0,-67.0,1.43591657451e+12,Andrey,0.948514207486,1.0,56716.0,7736-1010,1.0,byCorr,25002.0,,1435916431,0.918189744629,0.965486809106,-67.0,099-100,100,99,244724959.0,099-100-201507031240-Andrey-move.csv,37.5868036103,55.7081806391
111,,1000,,7736,,,,2G,EDGE,3,,,-93.0,,,,0.955523156084,1.0,,7736-1000,1.0,byCorr,,0.32,1435851320,0.20881360112,,,099-100,100,99,,,,
85,,1000,,7736,,,,2G,EDGE,3,,,-102.0,,,,0.986883628096,1.0,,7736-1000,1.0,byCorr,,0.88,1435915305,0.252222527779,,,099-100,100,99,,,,
143,,1010,,7736,,,,2G,EDGE,3,,,-93.0,,,,0.923405171428,1.0,,7736-1010,1.0,byCorr,,0.86,1435904128,0.275865238294,,,100-099,99,100,,,,
125,,1010,,7736,,,,2G,EDGE,3,,,-105.0,,,,0.961441276489,1.0,,7736-1010,1.0,byCorr,,0.91,1435915883,0.375997716724,,,100-099,99,100,,,,
82,,1020,,7736,,,,2G,EDGE,2,,,-86.0,,,,0.977725769837,1.0,,7736-1020,1.0,byCorr,,0.34,1435903861,0.20390681218,,,101-100,100,101,,,,
70,,160,,7763,,,,2G,EDGE,5,,,-89.0,,,,0.830853122336,1.0,,7763-160,1.0,byCorr,,0.76,1435909460,0.227573785934,,,151-219,219,151,,,,
68,,160,,7763,,,,2G,EDGE,5,,,-91.0,,,,0.797427116631,1.0,,7763-160,1.0,byCorr,,0.79,1435909946,0.235766879922,,,151-219,219,151,,,,
70,,160,,7763,,,,2G,EDGE,5,,,-93.0,,,,0.754265806178,1.0,,7763-160,1.0,byCorr,,0.82,1435910406,0.227276547832,,,151-219,219,151,,,,
