,index,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,session_id,source_file,x,y,laccid,segment,netOperators,time,rawPower,NumRaces,NumUsers,coeffs,controls,method,maxCorrMinDelta
2104,26336,1,250,,7763,250,2,ServiceLog,2G,EDGE,-1,-97.0,1435842966252,Andrey,1435842924,0.339736902477,69,68,449805108.0,068-069-201507021615-Andrey-move.csv,37.612503358,55.7805780349,7763-250,068-069,25002,41733,-97,2,3,0.965790285615,1.0,byCorr,1.0
2035,26267,1,250,,7763,250,2,ServiceLog,2G,EDGE,-1,-101.0,1435842926187,vlad,1435842924,0.585105719569,69,68,449805108.0,068-069-201507021614-vlad-move.csv,37.6201808461,55.7801253709,7763-250,068-069,25002,67429,-101,2,3,0.949456229891,1.0,byCorr,1.0
2333,26762,1,250,,7763,250,2,ServiceLog,2G,EDGE,-1,-109.0,1435846571182,Anna,1435843291,0.260247234707,69,68,449805108.0,068-069-201507021715-Anna-move.csv,37.6100118845,55.7805418756,7763-250,068-069,25002,32960,-109,2,2,0.936182143869,1.0,byCorr,1.0
2462,27157,1,275,,7763,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435843178563,Andrey,1435843136,0.350734460272,68,69,449805108.0,069-068-201507021618-Andrey-move.csv,37.622163442,55.7802177512,7763-275,069-068,25002,41585,-105,2,3,0.787317989944,1.0,byCorr,1.0
3319,32007,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-81.0,1435917002461,Anna,1435914142,0.880287937009,74,73,244724959.0,073-074-201507031248-Anna-move.csv,37.6241359194,55.7288569736,7736-350,073-074,25002,37401,-81,3,2,0.92656672011,1.0,byCorr,1.0
3451,32139,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-85.0,1435917672084,Anna,1435914799,0.967904789608,74,73,244724959.0,073-074-201507031259-Anna-move.csv,37.6226671441,55.7287522948,7736-350,073-074,25002,80424,-79,3,2,0.943433151809,1.0,byCorr,1.0
3266,31949,1,370,,7736,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435916957807,Anna,1435914142,0.220457864545,74,73,244724959.0,073-074-201507031248-Anna-move.csv,37.6344171494,55.7308315335,7736-370,073-074,25002,23843,-107,2,2,0.983960002465,1.0,byCorr,1.0
3194,31853,1,370,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435914838736,Andrey,1435914799,0.45331672437,74,73,244724959.0,073-074-201507031213-Andrey-move.csv,37.6311746809,55.7296431718,7736-370,073-074,25002,38844,-103,2,2,0.925584345783,1.0,byCorr,1.0
3621,32436,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-95.0,1435917375840,Anna,1435914537,0.63146539815,73,74,244724959.0,074-073-201507031255-Anna-move.csv,37.6325403436,55.7297643274,7736-350,074-073,25002,46545,-95,1,2,0.938578179139,1.0,byCorr,1.0
3875,33299,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-97.0,1435917079321,Anna,1435914255,0.345091671039,75,74,244724959.0,074-075-201507031250-Anna-move.csv,37.617514732,55.7283949136,7736-350,074-075,25002,31895,-91,3,2,0.80331832996,1.0,byCorr,1.0
