,index,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,session_id,source_file,x,y,laccid,segment,netOperators,rawPower,NumRaces,NumUsers,coeffs,controls,method,maxCorrMinDelta
2105,26337,1,250,,7763,250,2,ServiceLog,2G,EDGE,-1,-97.0,1435842967260,Andrey,1435842924,0.342105263158,69,68,449805108.0,068-069-201507021615-Andrey-move.csv,37.6128059871,55.7805616131,7763-250,068-069,25002,-97.0,2,3,0.940957436715,1.0,byCorr,1.0
2035,26267,1,250,,7763,250,2,ServiceLog,2G,EDGE,-1,-101.0,1435842926187,vlad,1435842924,0.578947368421,69,68,449805108.0,068-069-201507021614-vlad-move.csv,37.6201808461,55.7801253709,7763-250,068-069,25002,-101.0,2,3,0.921619729795,1.0,byCorr,1.0
2341,26778,1,250,,7763,250,2,ServiceLog,2G,EDGE,-1,-109.0,1435846579546,Anna,1435843291,0.333333333333,69,68,449805108.0,068-069-201507021715-Anna-move.csv,37.6125511656,55.7805754406,7763-250,068-069,25002,-109.0,2,2,0.904417661433,1.0,byCorr,1.0
2165,26408,1,275,,7763,250,2,ServiceLog,2G,EDGE,-1,-63.0,1435843040670,Andrey,1435842924,0.991228070175,69,68,449805108.0,068-069-201507021615-Andrey-move.csv,37.6329460931,55.7797589056,7763-275,068-069,25002,-71.2280915665,2,3,0.940155482539,1.0,byCorr,1.0
2229,26498,1,275,,7763,250,2,ServiceLog,2G,EDGE,-1,-85.9144073281,1435843381839,Andrey,1435843291,0.80701754386,69,68,449805108.0,068-069-201507021621-Andrey-move.csv,37.6272853261,55.7798361361,7763-275,068-069,25002,-85.9144073281,2,2,0.935757985418,1.0,byCorr,1.0
2464,27159,1,275,,7763,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435843180643,Andrey,1435843136,0.362831858407,68,69,449805108.0,069-068-201507021618-Andrey-move.csv,37.6215153181,55.7802560494,7763-275,069-068,25002,-105.0,2,3,0.835079223614,1.0,byCorr,1.0
3319,32007,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-69.0,1435917002461,Anna,1435914142,0.871794871795,74,73,244724959.0,073-074-201507031248-Anna-move.csv,37.6241359194,55.7288569736,7736-350,073-074,25002,-66.203987127,3,2,0.931074797106,1.0,byCorr,1.0
3443,32131,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-71.0,1435917663773,Anna,1435914799,0.884615384615,74,73,244724959.0,073-074-201507031259-Anna-move.csv,37.6238789649,55.7288405722,7736-350,073-074,25002,-71.0,3,2,0.947449694833,1.0,byCorr,1.0
3194,31853,1,370,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435914838736,Andrey,1435914799,0.448717948718,74,73,244724959.0,073-074-201507031213-Andrey-move.csv,37.6311746809,55.7296431718,7736-370,073-074,25002,-103.0,2,2,0.914831183659,1.0,byCorr,1.0
3882,33306,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-113.0,1435917086636,Anna,1435914255,0.433734939759,75,74,244724959.0,074-075-201507031250-Anna-move.csv,37.6162173682,55.7283199325,7736-350,074-075,25002,-113.0,3,2,0.711125771726,1.0,byCorr,1.0
3802,33226,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-94.0604786514,1435914961882,Andrey,1435914913,0.530120481928,75,74,244724959.0,074-075-201507031215-Andrey-move.csv,37.6148927061,55.7283159693,7736-350,074-075,25002,-99.0,3,2,0.934422889433,1.0,byCorr,1.0
4211,33900,1,341,,7736,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435908029903,Anna,1435904753,0.338028169014,74,75,828403345.0,075-074-201507031020-Anna-move.csv,37.6133470742,55.728237484,7736-341,075-074,25002,-105.0,2,3,0.863321856599,1.0,byCorr,1.0
4041,33730,1,341,,7736,250,2,ServiceLog,2G,EDGE,-1,-95.0,1435904714429,vlad,1435904753,0.352112676056,74,75,828403345.0,075-074-201507030924-vlad-move.csv,37.6135231711,55.7282157734,7736-341,075-074,25002,-95.0,2,3,0.96380251478,1.0,byCorr,1.0
4290,33984,1,341,,7736,250,2,ServiceLog,2G,EDGE,-1,-96.1258729973,1435914461893,Andrey,1435914434,0.338028169014,74,75,244724959.0,075-074-201507031207-Andrey-move.csv,37.6132815061,55.7282455678,7736-341,075-074,25002,-96.1258729973,2,2,0.951919763146,1.0,byCorr,1.0
4246,33935,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-69.0,1435908059029,Anna,1435904753,0.830985915493,74,75,828403345.0,075-074-201507031020-Anna-move.csv,37.6200330211,55.7283790109,7736-350,075-074,25002,-69.0,2,2,0.980690893599,1.0,byCorr,1.0
7286,51844,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435850653107,Andrey,1435850611,0.397959183673,99,98,597905036.0,098-099-201507021823-Andrey-move.csv,37.6072596415,55.7264321412,7736-340,098-099,25002,-103.0,7,3,0.94658453593,1.0,byCorr,1.0
7366,51947,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-95.0,1435850902366,vlad,1435850918,0.459183673469,99,98,597905036.0,098-099-201507021827-vlad-move.csv,37.6072500005,55.7257360753,7736-340,098-099,25002,-95.0,7,3,0.837305728965,1.0,byCorr,1.0
7316,51897,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-63.0,1435850708141,Andrey,1435850611,0.989795918367,99,98,597905036.0,098-099-201507021823-Andrey-move.csv,37.6078934409,55.7196306293,7736-1000,098-099,25002,-63.0,6,3,0.693538370861,1.0,byCorr,1.0
7673,52379,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-71.695580446,1435853949121,Anna,1435850611,0.908163265306,99,98,597905036.0,098-099-201507021917-Anna-move.csv,37.6077472344,55.720498115,7736-1000,098-099,25002,-67.0006382777,6,3,0.892340593105,1.0,byCorr,1.0
7581,52213,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-67.0,1435851297979,Andrey,1435851203,0.989795918367,99,98,597905036.0,098-099-201507021833-Andrey-move.csv,37.6078962146,55.7196137737,7736-1000,098-099,25002,-67.0,6,3,0.909112193366,1.0,byCorr,1.0
8227,53471,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-95.0,1435850500827,Andrey,1435850455,0.461538461538,98,99,597905036.0,099-098-201507021820-Andrey-move.csv,37.6076268533,55.724899385,7736-1000,099-098,25002,-95.0,5,3,0.981771390707,1.0,byCorr,1.0
8145,53389,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-89.0,1435850436589,vlad,1435850455,0.461538461538,98,99,597905036.0,099-098-201507021819-vlad-move.csv,37.6076267458,55.7248955395,7736-1000,099-098,25002,-89.0,5,3,0.981479601571,1.0,byCorr,1.0
8313,53568,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-85.0,1435850745602,vlad,1435850763,0.494505494505,98,99,597905036.0,099-098-201507021824-vlad-move.csv,37.6076364851,55.7252442064,7736-1000,099-098,25002,-85.0,5,3,0.939072804795,1.0,byCorr,1.0
8548,53816,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-101.0,1435851106483,Andrey,1435851060,0.494505494505,98,99,597905036.0,099-098-201507021831-Andrey-move.csv,37.6076367942,55.7252552723,7736-1000,099-098,25002,-101.0,5,3,0.977512958,1.0,byCorr,1.0
8463,53731,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-89.0,1435851041211,vlad,1435851060,0.472527472527,98,99,597905036.0,099-098-201507021829-vlad-move.csv,37.6076304039,55.725026499,7736-1000,099-098,25002,-89.0,5,3,0.951258869632,1.0,byCorr,1.0
8876,54335,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-97.0,1435904362118,Andrey,1435904316,0.505494505495,98,99,828403345.0,099-098-201507030918-Andrey-move.csv,37.6076419108,55.7254384485,7736-1000,099-098,25002,-97.0,5,3,0.964969167083,1.0,byCorr,1.0
9013,54584,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-101.0,1435916128536,Andrey,1435916076,0.483516483516,98,99,244724959.0,099-098-201507031234-Andrey-move.csv,37.6076346491,55.7251784766,7736-1000,099-098,25002,-101.0,5,2,0.984872175776,1.0,byCorr,1.0
8585,53860,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-68.8463526283,1435851151162,Andrey,1435851060,0.989010989011,98,99,597905036.0,099-098-201507021831-Andrey-move.csv,37.611832004,55.7298033031,7736-340,099-098,25002,-68.8463526283,5,3,0.864216985982,1.0,byCorr,1.0
8899,54373,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-62.9118663729,1435904400102,Andrey,1435904316,0.978021978022,98,99,828403345.0,099-098-201507030918-Andrey-move.csv,37.6117198007,55.7297303712,7736-340,099-098,25002,-74.0803821009,5,3,0.905045935569,1.0,byCorr,1.0
9608,56914,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-62.4984816308,1435918231818,Anna,1435915305,0.933774834437,100,99,244724959.0,099-100-201507031308-Anna-move.csv,37.5875313773,55.7085965053,7736-1010,099-100,25002,-69.6756934573,5,2,0.988461958579,1.0,byCorr,1.0
9283,56174,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435851372493,Andrey,1435851320,0.337748344371,100,99,597905036.0,099-100-201507021835-Andrey-move.csv,37.6043738651,55.7138392063,7736-1000,099-100,25002,-103.0,3,3,0.98827993841,1.0,byCorr,1.0
9416,56478,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435915359151,Andrey,1435915305,0.337748344371,100,99,244724959.0,099-100-201507031221-Andrey-move.csv,37.6043425267,55.7138225049,7736-1000,099-100,25002,-105.0,3,2,0.963649152512,1.0,byCorr,1.0
9502,56624,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-101.0,1435916480616,Andrey,1435916431,0.298013245033,100,99,244724959.0,099-100-201507031240-Andrey-move.csv,37.6053211055,55.7143440225,7736-1000,099-100,25002,-101.0,3,2,0.981677968972,1.0,byCorr,1.0
9910,58156,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435904197407,Andrey,1435904128,0.393939393939,99,100,828403345.0,100-099-201507030915-Andrey-move.csv,37.5981303859,55.7103861551,7736-1010,100-099,25002,-105.0,3,3,0.984711162438,1.0,byCorr,1.0
10071,58567,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435915952894,Andrey,1435915883,0.406060606061,99,100,244724959.0,100-099-201507031231-Andrey-move.csv,37.5984575565,55.7105170231,7736-1010,100-099,25002,-103.0,3,2,0.979060605285,1.0,byCorr,1.0
10206,59009,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-101.0,1435915535547,Andrey,1435915497,0.205882352941,101,100,244724959.0,100-101-201507031224-Andrey-move.csv,37.5809781182,55.7041557364,7736-1010,100-101,25002,-101.0,1,2,0.986792190353,1.0,byCorr,1.0
10311,59873,1,1020,,7736,250,2,ServiceLog,2G,EDGE,-1,-85.0,1435903833025,vlad,1435903861,0.141025641026,100,101,828403345.0,101-100-201507030909-vlad-move.csv,37.5753083449,55.690680017,7736-1020,101-100,25002,-85.0,2,2,0.983299057081,1.0,byCorr,1.0
10430,60430,1,1020,,7736,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435915743897,Andrey,1435915698,0.25641025641,100,101,244724959.0,101-100-201507031228-Andrey-move.csv,37.5762408024,55.6931741186,7736-1020,101-100,25002,-105.0,2,2,0.988622425059,1.0,byCorr,1.0
14946,89777,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435909510624,Andrey,1435909460,0.357664233577,219,151,77603657.0,151-219-201507031044-Andrey-move.csv,37.6515945058,55.7615534958,7763-160,151-219,25002,-106.305971058,5,2,0.938197732865,1.0,byCorr,1.0
15618,90737,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435913236586,Anna,1435909946,0.277372262774,219,151,77603657.0,151-219-201507031146-Anna-move.csv,37.652745358,55.7606309168,7763-160,151-219,25002,-97.0,5,2,0.797256558383,1.0,byCorr,1.0
15749,90868,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-109.0,1435913694468,Anna,1435910406,0.262773722628,219,151,77603657.0,151-219-201507031154-Anna-move.csv,37.6529955962,55.7604148853,7763-160,151-219,25002,-107.194774251,5,2,0.927886928808,1.0,byCorr,1.0
15159,89990,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-53.5010978909,1435910078997,Andrey,1435909946,0.992700729927,219,151,77603657.0,151-219-201507031052-Andrey-move.csv,37.6399612585,55.7670079112,7763-640,151-219,25002,-72.3399121324,5,2,0.877803967562,1.0,byCorr,1.0
15829,90948,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-58.7770133395,1435913777634,Anna,1435910406,0.92700729927,219,151,77603657.0,151-219-201507031154-Anna-move.csv,37.6416036536,55.7668886183,7763-640,151-219,25002,-58.7770133395,5,2,0.963128110767,1.0,byCorr,1.0
15975,91094,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-59.0,1435914283448,Anna,1435910902,0.934306569343,219,151,77603657.0,151-219-201507031202-Anna-move.csv,37.6413485429,55.7669075154,7763-640,151-219,25002,-59.0,5,2,0.97077832608,1.0,byCorr,1.0
