,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,NumRaces,NumUsers,PSC,Power,TimeStamp,User,coeffs,controls,index,laccid,maxCorrMinDelta,method,netOperators,quality,race_id,ratio,rawPower,segment,segment_end_id,segment_start_id,session_id,source_file,x,y
48,,250,,7763,,,,2G,EDGE,2,,,-103.0,,,0.9246,1.0,,7763-250,1.0,byCorr,,0.65,1435842924,0.129284750337,,068-069,69,68,,,,
38,,275,,7763,,,,2G,EDGE,2,,,-69.0,,,0.9019,1.0,,7763-275,1.0,byCorr,,-2.52,1435843291,1.16666666667,,068-069,69,68,,,,
47,,275,,7763,,,,2G,EDGE,2,,,-107.0,,,0.97278,1.0,,7763-275,1.0,byCorr,,0.3,1435843136,0.388529611981,,069-068,68,69,,,,
31,,370,,7736,,,,2G,EDGE,2,,,-105.0,,,0.99431,1.0,,7736-370,1.0,byCorr,,0.56,1435914142,0.356344510191,,073-074,74,73,,,,
75,,350,,7736,,,,2G,EDGE,2,,,-82.0,,,0.96075,1.0,,7736-350,1.0,byCorr,,0.91,1435914799,0.974358974359,,073-074,74,73,,,,
43,,350,,7736,,,,2G,EDGE,3,,,-101.0,,,0.90693,1.0,,7736-350,1.0,byCorr,,-0.13,1435914255,0.505488621151,,074-075,75,74,,,,
36,,341,,7736,,,,2G,EDGE,2,,,-98.0,,,0.96991,1.0,,7736-341,1.0,byCorr,,0.91,1435904753,0.514498757249,,075-074,74,75,,,,
63,,350,,7736,,,,2G,EDGE,2,,,-61.0,,,0.99583,1.0,,7736-350,1.0,byCorr,,0.92,1435914434,0.900183710961,,075-074,74,75,,,,
7075,1,340,,7736,250.0,2.0,ServiceLog,2G,EDGE,7,1.0,-1.0,-97.0,1.43582841025e+12,Andrey,0.94462,1.0,51571.0,7736-340,1.0,byCorr,25002.0,,1435828371,0.357142857143,-97.0,098-099,99,98,321756903.0,098-099-201507021212-Andrey-move.csv,37.6072665434,55.7269304455
7128,1,340,,7736,250.0,2.0,ServiceLog,2G,EDGE,7,1.0,-1.0,-99.0,1.43585037256e+12,Andrey,0.98821,1.0,51670.0,7736-340,1.0,byCorr,25002.0,,1435850333,0.377551020408,-99.0,098-099,99,98,597905036.0,098-099-201507021818-Andrey-move.csv,37.6072642441,55.7267644389
44,,340,,7736,,,,2G,EDGE,7,,,-100.0,,,0.98471,1.0,,7736-340,1.0,byCorr,,0.25,1435850918,0.315476190476,,098-099,99,98,,,,
42,,340,,7736,,,,2G,EDGE,7,,,-98.0,,,0.98609,1.0,,7736-340,1.0,byCorr,,0.58,1435851203,0.417480035492,,098-099,99,98,,,,
37,,340,,7736,,,,2G,EDGE,7,,,-107.0,,,0.98737,1.0,,7736-340,1.0,byCorr,,0.42,1435915183,0.335739173718,,098-099,99,98,,,,
39,,340,,7736,,,,2G,EDGE,7,,,-108.0,,,0.98914,1.0,,7736-340,1.0,byCorr,,0.73,1435916299,0.315597667638,,098-099,99,98,,,,
7153,1,1000,,7736,250.0,2.0,ServiceLog,2G,EDGE,6,1.0,-1.0,-57.4214366144,1.43585041593e+12,Andrey,0.96627,1.0,51711.0,7736-1000,1.0,byCorr,25002.0,,1435850333,0.877551020408,-57.0,098-099,99,98,597905036.0,098-099-201507021818-Andrey-move.csv,37.6076779577,55.7208747028
28,,1000,,7736,,,,2G,EDGE,6,,,-67.0,,,0.96369,1.0,,7736-1000,1.0,byCorr,,-0.1,1435850611,0.937229437229,,098-099,99,98,,,,
8025,1,1000,,7736,250.0,2.0,ServiceLog,2G,EDGE,6,1.0,-1.0,-69.2776708931,1.43591806545e+12,Anna,0.78164,1.0,52931.0,7736-1000,1.0,byCorr,25002.0,,1435915183,0.938775510204,-67.5186016728,098-099,99,98,244724959.0,098-099-201507031306-Anna-move.csv,37.6077947147,55.7202305809
8088,1,1000,,7736,250.0,2.0,ServiceLog,2G,EDGE,6,1.0,-1.0,-67.0,1.4359191803e+12,Anna,0.88881,1.0,53055.0,7736-1000,1.0,byCorr,25002.0,,1435916299,0.928571428571,-67.0,098-099,99,98,244724959.0,098-099-201507031324-Anna-move.csv,37.6077822808,55.72030614
44,,1000,,7736,,,,2G,EDGE,5,,,-93.0,,,0.99113,1.0,,7736-1000,1.0,byCorr,,0.34,1435850455,0.405085110967,,099-098,98,99,,,,
43,,1000,,7736,,,,2G,EDGE,5,,,-104.0,,,0.97413,1.0,,7736-1000,1.0,byCorr,,-0.42,1435850763,0.404691462384,,099-098,98,99,,,,
44,,1000,,7736,,,,2G,EDGE,5,,,-104.0,,,0.97591,1.0,,7736-1000,1.0,byCorr,,0.36,1435851060,0.382417582418,,099-098,98,99,,,,
46,,1000,,7736,,,,2G,EDGE,5,,,-99.0,,,0.98372,1.0,,7736-1000,1.0,byCorr,,0.63,1435904316,0.426943426943,,099-098,98,99,,,,
9033,1,340,,7736,250.0,2.0,ServiceLog,2G,EDGE,5,1.0,-1.0,-61.3589378729,1.43591616157e+12,Andrey,0.53999,1.0,54616.0,7736-340,1.0,byCorr,25002.0,,1435916076,0.846153846154,-61.3589378729,099-098,98,99,244724959.0,099-098-201507031234-Andrey-move.csv,37.60970603,55.7287720369
20,,1010,,7736,,,,2G,EDGE,5,,,-63.0,,,0.99219,1.0,,7736-1010,1.0,byCorr,,0.84,1435915305,0.911557359539,,099-100,100,99,,,,
9525,1,1010,,7736,250.0,2.0,ServiceLog,2G,EDGE,5,1.0,-1.0,-65.0,1.43591657024e+12,Andrey,0.97609,1.0,56711.0,7736-1010,1.0,byCorr,25002.0,,1435916431,0.940397350993,-65.0,099-100,100,99,244724959.0,099-100-201507031240-Andrey-move.csv,37.587368465,55.7085034131
49,,1000,,7736,,,,2G,EDGE,3,,,-108.0,,,0.98785,1.0,,7736-1000,1.0,byCorr,,0.77,1435851320,0.270523553667,,099-100,100,99,,,,
47,,1000,,7736,,,,2G,EDGE,3,,,-107.0,,,0.9914,1.0,,7736-1000,1.0,byCorr,,0.93,1435915305,0.271003765745,,099-100,100,99,,,,
63,,1010,,7736,,,,2G,EDGE,3,,,-105.0,,,0.94806,1.0,,7736-1010,1.0,byCorr,,0.61,1435904128,0.350832266325,,100-099,99,100,,,,
10162,1,1010,,7736,250.0,2.0,ServiceLog,2G,EDGE,3,1.0,-1.0,-109.186458735,1.43591873407e+12,Anna,0.92313,1.0,58777.0,7736-1010,1.0,byCorr,25002.0,,1435915883,0.333333333333,-112.47812358,100-099,99,100,244724959.0,100-099-201507031317-Anna-move.csv,37.5963323555,55.7098906338
9925,1,1000,,7736,250.0,2.0,ServiceLog,2G,EDGE,2,1.0,-1.0,-59.0,1.43590428176e+12,Andrey,0.9755,1.0,58237.0,7736-1000,1.0,byCorr,25002.0,,1435904128,0.933333333333,-59.0,100-099,99,100,828403345.0,100-099-201507030915-Andrey-move.csv,37.6085088597,55.7184514929
9925,1,1000,,7736,250.0,2.0,ServiceLog,2G,EDGE,2,1.0,-1.0,-59.0,1.43590428176e+12,Andrey,0.9755,1.0,58237.0,7736-1000,1.0,byCorr,25002.0,,1435904128,0.939393939394,-59.0,100-099,99,100,828403345.0,100-099-201507030915-Andrey-move.csv,37.6085088597,55.7184514929
35,,1020,,7736,,,,2G,EDGE,2,,,-110.0,,,0.98628,1.0,,7736-1020,1.0,byCorr,,0.93,1435915698,0.190992767916,,101-100,100,101,,,,
44,,160,,7763,,,,2G,EDGE,4,,,-108.0,,,0.99429,1.0,,7763-160,1.0,byCorr,,0.68,1435909460,0.290968942321,,151-219,219,151,,,,
43,,160,,7763,,,,2G,EDGE,4,,,-106.0,,,0.99063,1.0,,7763-160,1.0,byCorr,,0.68,1435909946,0.3050486618,,151-219,219,151,,,,
41,,160,,7763,,,,2G,EDGE,4,,,-105.0,,,0.99413,1.0,,7763-160,1.0,byCorr,,0.66,1435910902,0.276578863853,,151-219,219,151,,,,
88,,640,,7763,,,,2G,EDGE,4,,,-64.0,,,0.9933,1.0,,7763-640,1.0,byCorr,,0.81,1435909946,0.970562284431,,151-219,219,151,,,,
89,,640,,7763,,,,2G,EDGE,4,,,-63.0,,,0.9903,1.0,,7763-640,1.0,byCorr,,0.89,1435910406,0.963265629959,,151-219,219,151,,,,
84,,640,,7763,,,,2G,EDGE,4,,,-60.0,,,0.98612,1.0,,7763-640,1.0,byCorr,,0.88,1435910902,0.941119221411,,151-219,219,151,,,,
85,,640,,7763,,,,2G,EDGE,3,,,-81.0,,,0.98708,1.0,,7763-640,1.0,byCorr,,0.88,1435910194,0.5625,,219-151,151,219,,,,
84,,640,,7763,,,,2G,EDGE,3,,,-85.0,,,0.98775,1.0,,7763-640,1.0,byCorr,,0.8,1435910663,0.562184343434,,219-151,151,219,,,,
126,,160,,7763,,,,2G,EDGE,3,,,-68.0,,,0.98156,1.0,,7763-160,1.0,byCorr,,0.96,1435910194,0.979058159722,,219-151,151,219,,,,
123,,160,,7763,,,,2G,EDGE,3,,,-71.0,,,0.97874,1.0,,7763-160,1.0,byCorr,,0.98,1435910663,0.986111111111,,219-151,151,219,,,,
