,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,NumRaces,NumUsers,PSC,Power,TimeStamp,User,coeffs,controls,laccid,maxCorrMinDelta,method,netOperators,quality,race_id,ratio,rawPower,segment,segment_end_id,segment_start_id,session_id,source_file,x,y
51,,250,,7763,,,,2G,EDGE,2,,,-102.0,,,0.99042,1.0,7763-250,1.0,byCorr,,0.86,1435842924,0.446217189913,,068-069,69,68,,,,
40,,275,,7763,,,,2G,EDGE,2,,,-67.0,,,0.98318,1.0,7763-275,1.0,byCorr,,-4.51,1435843291,1.1724137931,,068-069,69,68,,,,
46,,275,,7763,,,,2G,EDGE,2,,,-108.0,,,0.98329,1.0,7763-275,1.0,byCorr,,0.03,1435843136,0.384806355511,,069-068,68,69,,,,
32009,1,350,,7736,250.0,2.0,ServiceLog,2G,EDGE,3,1.0,-1.0,-81.0,1.43591700455e+12,Anna,0.96769,1.0,7736-350,1.0,byCorr,25002.0,,1435914142,0.898734177215,-81.0,073-074,74,73,244724959.0,073-074-201507031248-Anna-move.csv,37.6236185975,55.728823953
71,,350,,7736,,,,2G,EDGE,3,,,-83.0,,,0.96964,1.0,7736-350,1.0,byCorr,,0.89,1435914799,1.01130801688,,073-074,74,73,,,,
37,,370,,7736,,,,2G,EDGE,2,,,-106.0,,,0.90166,1.0,7736-370,1.0,byCorr,,0.81,1435914799,0.417721518987,,073-074,74,73,,,,
41,,350,,7736,,,,2G,EDGE,3,,,-100.0,,,0.9514,1.0,7736-350,1.0,byCorr,,0.61,1435914913,0.438740079365,,074-075,75,74,,,,
37,,341,,7736,,,,2G,EDGE,2,,,-80.0,,,0.97213,1.0,7736-341,1.0,byCorr,,0.55,1435914913,0.951488095238,,074-075,75,74,,,,
34,,341,,7736,,,,2G,EDGE,2,,,-102.0,,,0.98129,1.0,7736-341,1.0,byCorr,,0.08,1435904753,0.423225308642,,075-074,74,75,,,,
60,,350,,7736,,,,2G,EDGE,2,,,-60.0,,,0.99229,1.0,7736-350,1.0,byCorr,,0.94,1435904753,0.845410628019,,075-074,74,75,,,,
46146,1,270,,7763,250.0,2.0,ServiceLog,2G,EDGE,2,1.0,-1.0,-81.0,1.42410218132e+12,Anna,0.4416,1.0,7763-270,1.0,byCorr,25002.0,,1424102061,0.756302521008,-71.0,092-093,93,92,,092-093-201502161854-Anna-move.csv,37.6337131797,55.7840913418
51571,1,340,,7736,250.0,2.0,ServiceLog,2G,EDGE,7,1.0,-1.0,-97.0,1.43582841025e+12,Andrey,0.93966,1.0,7736-340,1.0,byCorr,25002.0,,1435828371,0.36,-97.0,098-099,99,98,321756903.0,098-099-201507021212-Andrey-move.csv,37.6072665434,55.7269304455
51670,1,340,,7736,250.0,2.0,ServiceLog,2G,EDGE,7,1.0,-1.0,-99.0,1.43585037256e+12,Andrey,0.98322,1.0,7736-340,1.0,byCorr,25002.0,,1435850333,0.37,-99.0,098-099,99,98,597905036.0,098-099-201507021818-Andrey-move.csv,37.6072642441,55.7267644389
36,,340,,7736,,,,2G,EDGE,7,,,-101.0,,,0.99141,1.0,7736-340,1.0,byCorr,,-0.15,1435850918,0.337346938776,,098-099,99,98,,,,
40,,340,,7736,,,,2G,EDGE,7,,,-101.0,,,0.98427,1.0,7736-340,1.0,byCorr,,0.37,1435851203,0.308510638298,,098-099,99,98,,,,
38,,340,,7736,,,,2G,EDGE,7,,,-108.0,,,0.9902,1.0,7736-340,1.0,byCorr,,0.29,1435915183,0.339047619048,,098-099,99,98,,,,
39,,340,,7736,,,,2G,EDGE,7,,,-108.0,,,0.97868,1.0,7736-340,1.0,byCorr,,0.72,1435916299,0.309069767442,,098-099,99,98,,,,
51711,1,1000,,7736,250.0,2.0,ServiceLog,2G,EDGE,6,1.0,-1.0,-57.0,1.43585041593e+12,Andrey,0.97964,1.0,7736-1000,1.0,byCorr,25002.0,,1435850333,0.88,-57.0,098-099,99,98,597905036.0,098-099-201507021818-Andrey-move.csv,37.6076779577,55.7208747028
52383,1,1000,,7736,250.0,2.0,ServiceLog,2G,EDGE,6,1.0,-1.0,-70.8746879486,1.43585395227e+12,Anna,0.945,1.0,7736-1000,1.0,byCorr,25002.0,,1435850611,0.94,-67.0,098-099,99,98,597905036.0,098-099-201507021917-Anna-move.csv,37.6078083053,55.7201479925
52932,1,1000,,7736,250.0,2.0,ServiceLog,2G,EDGE,6,1.0,-1.0,-71.0,1.43591806652e+12,Anna,0.80128,1.0,7736-1000,1.0,byCorr,25002.0,,1435915183,0.94,-67.0,098-099,99,98,244724959.0,098-099-201507031306-Anna-move.csv,37.6078098089,55.7201388552
53055,1,1000,,7736,250.0,2.0,ServiceLog,2G,EDGE,6,1.0,-1.0,-67.0,1.4359191803e+12,Anna,0.89036,1.0,7736-1000,1.0,byCorr,25002.0,,1435916299,0.93,-67.0,098-099,99,98,244724959.0,098-099-201507031324-Anna-move.csv,37.6077822808,55.72030614
46,,1000,,7736,,,,2G,EDGE,5,,,-93.0,,,0.96964,1.0,7736-1000,1.0,byCorr,,0.66,1435850455,0.418300653595,,099-098,98,99,,,,
44,,1000,,7736,,,,2G,EDGE,5,,,-96.0,,,0.95855,1.0,7736-1000,1.0,byCorr,,-0.68,1435850763,0.396023534185,,099-098,98,99,,,,
47,,1000,,7736,,,,2G,EDGE,5,,,-100.0,,,0.96988,1.0,7736-1000,1.0,byCorr,,0.26,1435851060,0.396121351767,,099-098,98,99,,,,
48,,1000,,7736,,,,2G,EDGE,5,,,-97.0,,,0.9664,1.0,7736-1000,1.0,byCorr,,0.65,1435904316,0.449223416965,,099-098,98,99,,,,
