,alg,error,falseSeg,iter,trueSeg,unpr
0,lc,473.9,0,1,1,0
1,lcM,473.9,0,1,1,0
2,pc,409.7,0,1,1,0
3,pc-controls,409.7,0,1,1,0
4,pc-maxCorrMinDelta,409.7,0,1,1,0
5,lc,2236.6,3,2,1,0
6,lcM,658.6,0,2,1,0
7,pc,104.7,0,2,1,0
8,pc-controls,59.1,0,2,1,0
9,pc-maxCorrMinDelta,59.1,0,2,1,0
10,lc,1228.3,1,3,1,0
11,lcM,1228.3,1,3,1,0
12,pc,938.7,1,3,1,0
13,pc-controls,521.1,1,3,1,0
14,pc-maxCorrMinDelta,21.8,1,3,0,0
15,lc,414.5,1,4,1,0
16,lcM,414.5,1,4,1,0
17,pc,327.9,1,4,1,0
18,pc-controls,327.9,1,4,1,0
19,pc-maxCorrMinDelta,25.5,0,4,1,0
20,lc,592.9,1,5,1,0
21,lcM,592.9,1,5,1,0
22,pc,592.9,1,5,1,0
23,pc-controls,592.9,1,5,1,0
24,pc-maxCorrMinDelta,592.9,1,5,1,0
25,lc,614.4,1,6,1,0
26,lcM,614.4,1,6,1,0
27,pc,614.4,1,6,1,0
28,pc-controls,614.4,1,6,1,0
29,pc-maxCorrMinDelta,614.4,1,6,1,0
30,lc,1253.2,1,7,1,0
31,lcM,451.6,0,7,1,0
32,pc,69.5,0,7,1,0
33,pc-controls,69.5,0,7,1,0
34,pc-maxCorrMinDelta,69.5,0,7,1,0
35,lc,1391.4,3,8,1,0
36,lcM,1391.4,3,8,1,0
37,pc,1231.7,1,8,1,0
38,pc-controls,1107.5,1,8,1,0
39,pc-maxCorrMinDelta,719.1,0,8,1,0
40,lc,1147.0,1,9,1,0
41,lcM,1147.0,1,9,1,0
42,pc,980.4,1,9,1,0
43,pc-controls,980.4,1,9,1,0
44,pc-maxCorrMinDelta,980.4,1,9,0,0
45,lc,921.1,1,10,1,0
46,lcM,921.1,1,10,1,0
47,pc,10.7,0,10,1,0
48,pc-controls,10.7,0,10,1,0
49,pc-maxCorrMinDelta,10.7,0,10,1,0
50,lc,543.2,1,11,1,0
51,lcM,543.2,1,11,1,0
52,pc,529.9,1,11,1,0
53,pc-controls,529.9,1,11,1,0
54,pc-maxCorrMinDelta,529.9,1,11,0,0
55,lc,964.5,3,12,1,0
56,lcM,964.5,3,12,1,0
57,pc,826.3,2,12,1,0
58,pc-controls,743.6,2,12,1,0
59,pc-maxCorrMinDelta,743.6,1,12,0,0
60,lc,707.6,3,13,1,0
61,lcM,707.6,3,13,1,0
62,pc,707.6,3,13,1,0
63,pc-controls,506.3,3,13,1,0
64,pc-maxCorrMinDelta,262.3,1,13,0,0
65,lc,1896.7,3,14,1,0
66,lcM,1896.7,3,14,1,0
67,pc,1896.7,3,14,1,0
68,pc-controls,1707.0,3,14,1,0
69,pc-maxCorrMinDelta,1707.0,1,14,0,0
70,lc,1860.7,3,15,1,0
71,lcM,1860.7,3,15,1,0
72,pc,1710.4,1,15,1,0
73,pc-controls,1710.4,1,15,1,0
74,pc-maxCorrMinDelta,1710.4,1,15,0,0
75,lc,1016.7,3,16,1,0
76,lcM,1016.7,3,16,1,0
77,pc,932.6,2,16,1,0
78,pc-controls,932.6,2,16,1,0
79,pc-maxCorrMinDelta,78.0,0,16,1,0
80,lc,2132.4,3,17,1,0
81,lcM,2132.4,3,17,1,0
82,pc,1476.2,3,17,1,0
83,pc-controls,1098.9,3,17,1,0
84,pc-maxCorrMinDelta,69.0,0,17,1,0
85,lc,2546.4,3,18,1,0
86,lcM,2546.4,3,18,1,1
87,pc,140.0,1,18,0,0
88,pc-controls,140.0,1,18,0,0
89,pc-maxCorrMinDelta,140.0,1,18,0,0
90,lc,1068.2,3,19,1,0
91,lcM,1068.2,3,19,1,0
92,pc,1068.2,3,19,1,0
93,pc-controls,1068.2,3,19,1,0
94,pc-maxCorrMinDelta,1068.2,3,19,1,0
95,lc,753.5,1,20,1,0
96,lcM,753.5,1,20,1,0
97,pc,568.4,1,20,1,0
98,pc-controls,568.4,1,20,1,0
99,pc-maxCorrMinDelta,125.8,0,20,1,0
100,lc,1994.9,3,21,1,0
101,lcM,1994.9,3,21,1,0
102,pc,1915.9,3,21,1,0
103,pc-controls,1915.9,3,21,1,0
104,pc-maxCorrMinDelta,1915.9,1,21,0,0
105,lc,966.3,1,22,1,0
106,lcM,966.3,1,22,1,0
107,pc,185.4,1,22,0,0
108,pc-controls,185.4,1,22,0,0
109,pc-maxCorrMinDelta,185.4,1,22,0,0
110,lc,1730.7,3,23,1,0
111,lcM,1730.7,3,23,1,0
112,pc,1712.9,2,23,1,0
113,pc-controls,1712.9,2,23,1,0
114,pc-maxCorrMinDelta,1.0,0,23,1,0
115,lc,2236.6,3,24,1,0
116,lcM,658.6,0,24,1,0
117,pc,104.7,0,24,1,0
118,pc-controls,59.1,0,24,1,0
119,pc-maxCorrMinDelta,59.1,0,24,1,0
120,lc,1659.7,3,25,1,0
121,lcM,1659.7,3,25,1,0
122,pc,1659.7,1,25,1,0
123,pc-controls,1659.7,1,25,1,0
124,pc-maxCorrMinDelta,1659.7,1,25,0,0
125,lc,473.9,0,26,1,0
126,lcM,473.9,0,26,1,0
127,pc,425.6,0,26,1,0
128,pc-controls,425.6,0,26,1,0
129,pc-maxCorrMinDelta,425.6,0,26,1,0
130,lc,2373.0,3,27,1,0
131,lcM,2373.0,3,27,1,0
132,pc,2211.2,1,27,1,0
133,pc-controls,1959.8,1,27,1,0
134,pc-maxCorrMinDelta,117.0,0,27,1,0
135,lc,402.3,0,28,1,0
136,lcM,402.3,0,28,1,0
137,pc,38.4,0,28,1,0
138,pc-controls,26.8,0,28,1,0
139,pc-maxCorrMinDelta,26.8,0,28,1,0
140,lc,1688.0,3,29,1,0
141,lcM,1688.0,3,29,1,0
142,pc,1652.5,2,29,1,0
143,pc-controls,1652.5,2,29,1,0
144,pc-maxCorrMinDelta,12.3,0,29,1,0
145,lc,1760.6,3,30,1,0
146,lcM,1760.6,3,30,1,0
147,pc,1576.5,1,30,1,0
148,pc-controls,1576.5,1,30,1,0
149,pc-maxCorrMinDelta,1576.5,1,30,0,0
