,Active,CID,DateTime,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,NumRaces,NumUsers,PSC,Power,TimeStamp,User,coeffs,controls,index,laccid,maxCorrMinDelta,method,netOperators,quality,race_id,ratio,rawPower,segment,segment_end_id,segment_start_id,session_id,source_file,x,y
73,,22667,,,7803,,,,2G,,2,,,-51.0,,,0.94997,1.0,,7803-22667,1.0,byCorr,,0.82,1445582536,1.05029535865,,010-011,11,10,,,,
70,,22632,,,7803,,,,2G,,2,,,-85.0,,,0.95357,1.0,,7803-22632,1.0,byCorr,,0.74,1445582536,0.922899884925,,010-011,11,10,,,,
76,,22667,,,7803,,,,2G,,3,,,-79.0,,,0.8615,1.0,,7803-22667,1.0,byCorr,,0.11,1445575995,0.883269476373,,011-010,10,11,,,,
8633,250-2-7803-22632,22667,23.10.2015 9:50:27,,7803,250.0,2.0,ServiceLog,2G,GPRS,3,1.0,-1.0,-79.6669990928,1.44558302795e+12,natalie,0.95159,1.0,10911.0,7803-22667,1.0,byCorr,25002.0,,1445582954,0.885057471264,-79.6669990928,011-010,10,11,587761451.0,011-010-201510230949-natalie-move.csv,30.3319468795,59.9212258392
104,,22632,,,7803,,,,2G,,3,,,-52.0,,,0.8921,1.0,,7803-22632,1.0,byCorr,,-0.59,1445575995,1.19458128079,,011-010,10,11,,,,
73,,22632,,,7803,,,,2G,,3,,,-58.0,,,0.9186,1.0,,7803-22632,1.0,byCorr,,0.76,1445582954,0.977011494253,,011-010,10,11,,,,
49,,22632,,,7803,,,,2G,,2,,,-106.0,,,0.78765,1.0,,7803-22632,1.0,byCorr,,-0.33,1445578674,0.550702426564,,011-012,12,11,,,,
8959,1,22667,23.10.2015 8:39:24,,7803,250.0,2.0,ServiceLog,2G,GPRS,2,1.0,-1.0,-81.0,1.44557876486e+12,natalie,0.88138,1.0,11439.0,7803-22667,1.0,byCorr,25002.0,,1445578674,0.866666666667,-81.0,011-012,12,11,587761451.0,011-012-201510230837-natalie-move.csv,30.3601622127,59.9304079902
9624,250-2-7803-22668,14121,23.10.2015 9:39:33,,7803,250.0,2.0,ServiceLog,2G,GPRS,3,1.0,-1.0,-108.997952574,1.44558237300e+12,natalie,0.95382,1.0,12609.0,7803-14121,1.0,byCorr,25002.0,,1445582309,0.807692307692,-109.0,012-011,11,12,587761451.0,012-011-201510230938-natalie-move.csv,30.3509681347,59.9281808298
74,,22668,,,7803,,,,2G,,3,,,-93.0,,,0.9587,1.0,,7803-22668,1.0,byCorr,,-0.73,1445582309,0.960727036676,,012-011,11,12,,,,
