,index,Active,CID,DateTime,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,session_id,source_file,x,y,laccid,segment,netOperators,rawPower,NumRaces,NumUsers,coeffs,controls,method,maxCorrMinDelta
122,300,1,22621,23 Окт 2015 г. 8:18:35,,7803,250,2,ServiceLog,2G,EDGE,-1,-63.0,1445577515950, julia,1445577416,0.917431192661,4,3,103961951.0,003-004-201510230816- julia-move.csv,30.2684565728,59.8495815866,7803-22621,003-004,25002,-63.0,1,3,0.94135,1.0,byCorr,1.0
310,488,1,22621,23.10.2015 8:18:39,,7803,250,2,ServiceLog,2G,GPRS,-1,-57.0,1445577519923,natalie,1445577416,0.97247706422,4,3,103961951.0,003-004-201510230816-natalie-move.csv,30.2684486288,59.8502531856,7803-22621,003-004,25002,-57.0,1,3,0.96119,1.0,byCorr,1.0
249,427,1,22619,23.10.2015 8:18:07,,7803,250,2,ServiceLog,2G,GPRS,-1,-83.0,1445577487264,natalie,1445577416,0.642201834862,4,3,103961951.0,003-004-201510230816-natalie-move.csv,30.2679391569,59.8455678465,7803-22619,003-004,25002,-83.0,1,2,0.79046,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-69.4454943936,1357065828459,gsmart,1445577095,0.118055555556,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-69.4454943936,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-69.8946039777,1357065828459,gsmart,1445577095,0.125,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-69.8946039777,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-70.3437135619,1357065828459,gsmart,1445577095,0.131944444444,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-70.3437135619,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-70.792823146,1357065828459,gsmart,1445577095,0.138888888889,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-70.792823146,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-71.2419327302,1357065828459,gsmart,1445577095,0.145833333333,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-71.2419327302,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-71.6910423143,1357065828459,gsmart,1445577095,0.152777777778,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-71.6910423143,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-72.1401518985,1357065828459,gsmart,1445577095,0.159722222222,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-72.1401518985,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-72.5892614826,1357065828459,gsmart,1445577095,0.166666666667,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-72.5892614826,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-73.0383710668,1357065828459,gsmart,1445577095,0.173611111111,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-73.0383710668,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-73.4874806509,1357065828459,gsmart,1445577095,0.180555555556,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-73.4874806509,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-73.9365902351,1357065828459,gsmart,1445577095,0.1875,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-73.9365902351,1,3,0.98349,1.0,byCorr,1.0
