segment,pathTime,stdev
003-004,108.8,23.03
004-003,144.1,0.45
004-005,123.2,32.46
005-004,145.8,4.78
005-006,121.3,13.96
006-005,129.8,7.62
006-007,176.1,3.8
007-006,164.6,12.07
007-008,152.5,6.43
008-007,144.0,3.18
008-009,118.9,6.89
009-008,104.3,1.63
009-010,94.9,3.43
010-009,98.0,1.49
010-011,79.3,18.91
011-010,87.2,1.61
011-012,90.6,15.49
012-011,78.1,13.99
012-013,119.2,1.26
013-012,122.7,24.21
013-014,139.3,8.19
014-013,136.2,0.03
014-015,127.8,4.56
015-014,115.3,34.71
015-016,130.7,12.42
016-015,146.4,1.71
016-017,155.9,45.27
017-016,157.7,25.3
017-018,108.0,4.1
018-017,108.3,0.44
018-019,122.0,10.74
019-018,96.8,0.58
019-020,230.7,46.96
020-019,175.3,14.58
020-021,235.1,0.26
021-020,178.9,3.6
023-024,123.7,41.83
024-023,251.9,0.43
024-025,199.2,53.55
025-024,183.1,75.36
025-026,135.8,34.35
026-025,128.0,51.32
026-027,109.8,7.74
027-026,84.8,27.81
027-028,110.4,17.17
028-027,117.8,5.84
028-029,112.2,4.55
029-028,107.6,19.68
029-030,103.6,2.57
030-029,107.6,4.41
030-031,56.1,29.32
031-030,71.0,41.68
031-032,94.6,24.64
032-031,86.7,23.84
032-033,164.0,10.65
033-032,167.4,40.12
033-034,111.1,30.03
034-033,86.6,6.72
034-035,179.4,58.78
035-034,54.9,58.56
035-036,134.8,39.31
036-035,60.4,37.07
036-037,91.1,34.3
037-036,136.0,39.71
037-038,139.4,0.32
038-037,106.7,34.11
038-039,213.2,38.08
039-038,109.2,2.38
039-040,205.5,0.23
040-039,174.3,4.09
042-043,247.6,13.48
043-042,257.1,89.27
043-044,137.6,40.29
044-043,143.7,1.2
044-045,157.2,57.15
045-044,164.1,55.25
045-046,177.8,0.65
046-045,176.7,1.3
046-047,239.3,65.31
047-046,161.7,87.01
047-048,144.9,1.76
048-047,147.0,47.7
048-049,144.8,44.03
049-048,136.4,6.61
052-049,376.7,10.25
063-064,119.9,24.25
064-063,116.3,0.25
064-065,123.7,0.67
065-064,109.0,0.09
065-066,119.1,4.01
066-065,122.4,32.67
066-067,174.1,0.0
067-066,148.0,43.25
067-068,117.2,2.57
068-067,139.0,0.0
068-069,79.5,2.51
069-068,78.7,0.0
069-070,130.6,0.0
083-084,112.3,0.25
084-085,119.1,0.8
085-084,80.2,34.75
085-086,127.7,0.27
086-085,136.7,32.4
086-087,133.9,3.4
087-086,125.6,1.58
087-088,109.3,25.75
088-087,101.5,1.21
088-089,99.1,0.77
089-088,87.7,15.5
089-090,167.5,0.0
090-089,176.3,60.64
090-091,86.7,0.42
091-090,86.5,2.28
091-092,164.0,0.12
092-091,182.2,20.91
092-093,159.3,0.93
093-092,132.6,5.55
093-094,182.1,0.0
094-093,181.0,6.94
