ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power
43,Уральская 3,nl,1436707123980,3G,HSPAP,1,250,2,6608,14013209,55,-81
,ServiceLog,nl,1436707124865,3G,HSPAP,1,250,2,6608,14013209,55,-81
,ServiceLog,nl,1436707125903,3G,HSPAP,1,250,2,6608,14013209,55,-81
,ServiceLog,nl,1436707126928,3G,HSPAP,1,250,2,6608,14013209,55,-81
,ServiceLog,nl,1436707127949,3G,HSPAP,1,250,2,6608,14013209,55,-81
,ServiceLog,nl,1436707128959,3G,HSPAP,1,250,2,6608,14013209,55,-81
,ServiceLog,nl,1436707129998,3G,HSPA,1,250,2,6608,14013209,55,-81
,ServiceLog,nl,1436707131022,3G,HSPA,1,250,2,6608,14013209,55,-81
,ServiceLog,nl,1436707132065,3G,HSPA,1,250,2,6608,14013209,55,-81
,ServiceLog,nl,1436707133088,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-111
,ServiceLog,nl,1436707133088,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-111
,ServiceLog,nl,1436707133088,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-111
,ServiceLog,nl,1436707133088,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-107
,ServiceLog,nl,1436707133088,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-103
,ServiceLog,nl,1436707133088,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-103
,ServiceLog,nl,1436707133088,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-103
,ServiceLog,nl,1436707133088,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-65
,ServiceLog,nl,1436707133088,3G,HSPA,1,250,2,6608,14013209,55,-89
44,Уральская 4,nl,1436707133540,3G,HSPA,1,250,2,6608,14013209,55,-89
44,Уральская 4,nl,1436707133540,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-65
44,Уральская 4,nl,1436707133540,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-103
44,Уральская 4,nl,1436707133540,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-103
44,Уральская 4,nl,1436707133540,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-103
44,Уральская 4,nl,1436707133540,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-107
44,Уральская 4,nl,1436707133540,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-111
44,Уральская 4,nl,1436707133540,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-111
44,Уральская 4,nl,1436707133540,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-111
,ServiceLog,nl,1436707134156,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-107
,ServiceLog,nl,1436707134156,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-111
,ServiceLog,nl,1436707134156,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-111
,ServiceLog,nl,1436707134156,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-103
,ServiceLog,nl,1436707134156,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-103
,ServiceLog,nl,1436707134156,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-111
,ServiceLog,nl,1436707134156,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-65
,ServiceLog,nl,1436707134156,3G,HSPA,1,250,2,6608,14013209,55,-89
,ServiceLog,nl,1436707134156,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-103
,ServiceLog,nl,1436707135206,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-103
,ServiceLog,nl,1436707135206,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-111
,ServiceLog,nl,1436707135206,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-111
,ServiceLog,nl,1436707135206,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-111
,ServiceLog,nl,1436707135206,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-107
,ServiceLog,nl,1436707135206,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-103
,ServiceLog,nl,1436707135206,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-103
,ServiceLog,nl,1436707135206,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-65
,ServiceLog,nl,1436707135206,3G,HSPA,1,250,2,6608,14013209,55,-89
,ServiceLog,nl,1436707136231,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-111
,ServiceLog,nl,1436707136231,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-111
,ServiceLog,nl,1436707136231,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-111
,ServiceLog,nl,1436707136231,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-107
,ServiceLog,nl,1436707136231,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-103
,ServiceLog,nl,1436707136231,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-103
,ServiceLog,nl,1436707136231,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-65
,ServiceLog,nl,1436707136231,3G,HSPA,1,250,2,6608,14013209,55,-89
,ServiceLog,nl,1436707136231,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-103
,ServiceLog,nl,1436707137243,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-107
,ServiceLog,nl,1436707137243,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-111
,ServiceLog,nl,1436707137243,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-111
,ServiceLog,nl,1436707137243,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-113
,ServiceLog,nl,1436707137243,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-107
,ServiceLog,nl,1436707137243,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-97
,ServiceLog,nl,1436707137243,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-97
,ServiceLog,nl,1436707137243,3G,HSPA,250-2-6608-14013209,-1,-1,-1,-1,-1,-51
,ServiceLog,nl,1436707137243,3G,HSPA,1,250,2,6608,14013209,55,-59
,ServiceLog,nl,1436707138278,3G,HSPA,1,250,2,6608,14013209,55,-59
