ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power,race_id
52,Динамо 2,nl,1436706987803,2G,EDGE,250-2-6608-14032,250,2,6608,14031,-1,-99,1436706897
52,Динамо 2,nl,1436706987803,2G,EDGE,1,250,2,6608,14032,-1,-55,1436706897
52,Динамо 2,nl,1436706987803,2G,EDGE,250-2-6608-14032,250,2,6608,14023,-1,-103,1436706897
,ServiceLog,nl,1436706988134,2G,EDGE,1,250,2,6608,14032,-1,-53,1436706897
,ServiceLog,nl,1436706988134,2G,EDGE,250-2-6608-14032,250,2,6608,14023,-1,-103,1436706897
,ServiceLog,nl,1436706988134,2G,EDGE,250-2-6608-14032,250,2,6608,14031,-1,-101,1436706897
,ServiceLog,nl,1436706989182,2G,EDGE,1,250,2,6608,14032,-1,-53,1436706897
,ServiceLog,nl,1436706989182,2G,EDGE,250-2-6608-14032,250,2,6608,14023,-1,-103,1436706897
,ServiceLog,nl,1436706989182,2G,EDGE,250-2-6608-14032,250,2,6608,14031,-1,-101,1436706897
,ServiceLog,nl,1436706990220,2G,EDGE,1,-1,-1,-1,-1,-1,-113,1436706897
,ServiceLog,nl,1436706991296,2G,EDGE,1,-1,-1,-1,-1,-1,-113,1436706897
,ServiceLog,nl,1436706992319,3G,HSPA,1,250,2,6608,14013200,507,-77,1436706897
,ServiceLog,nl,1436706993335,3G,HSPA,1,250,2,6608,14013200,507,-77,1436706897
,ServiceLog,nl,1436706994345,3G,HSPA,1,250,2,6608,14013200,507,-81,1436706897
,ServiceLog,nl,1436706995385,3G,HSPA,1,250,2,6608,14013200,507,-81,1436706897
,ServiceLog,nl,1436706996415,3G,HSPA,1,250,2,6608,14013200,507,-81,1436706897
,ServiceLog,nl,1436706997474,3G,HSPAP,1,250,2,6608,14013200,507,-81,1436706897
,ServiceLog,nl,1436706998499,3G,HSPAP,1,250,2,6608,14013200,507,-81,1436706897
,ServiceLog,nl,1436706999528,3G,HSPAP,1,250,2,6608,14013200,507,-81,1436706897
,ServiceLog,nl,1436707000536,3G,HSPAP,1,250,2,6608,14013200,507,-81,1436706897
,ServiceLog,nl,1436707001579,3G,HSPAP,1,250,2,6608,14013200,507,-81,1436706897
,ServiceLog,nl,1436707002620,3G,HSPAP,1,250,2,6608,14013200,507,-81,1436706897
,ServiceLog,nl,1436707003669,3G,HSPAP,1,250,2,6608,14013200,507,-81,1436706897
,ServiceLog,nl,1436707004692,3G,HSPA,1,250,2,6608,14013200,507,-81,1436706897
,ServiceLog,nl,1436707005736,3G,HSPA,1,250,2,6608,14013200,507,-81,1436706897
,ServiceLog,nl,1436707006763,3G,HSPA,1,250,2,6608,14013200,507,-81,1436706897
,ServiceLog,nl,1436707007816,3G,HSPA,1,250,2,6608,14013200,507,-81,1436706897
,ServiceLog,nl,1436707008850,3G,HSPA,1,250,2,6608,14013200,507,-71,1436706897
,ServiceLog,nl,1436707008850,3G,HSPA,250-2-6608-14013200,-1,-1,-1,-1,-1,-53,1436706897
,ServiceLog,nl,1436707008850,3G,HSPA,250-2-6608-14013200,-1,-1,-1,-1,-1,-97,1436706897
,ServiceLog,nl,1436707008850,3G,HSPA,250-2-6608-14013200,-1,-1,-1,-1,-1,-105,1436706897
,ServiceLog,nl,1436707008850,3G,HSPA,250-2-6608-14013200,-1,-1,-1,-1,-1,-107,1436706897
,ServiceLog,nl,1436707008850,3G,HSPA,250-2-6608-14013200,-1,-1,-1,-1,-1,-107,1436706897
,ServiceLog,nl,1436707008850,3G,HSPA,250-2-6608-14013200,-1,-1,-1,-1,-1,-111,1436706897
,ServiceLog,nl,1436707008850,3G,HSPA,250-2-6608-14013200,-1,-1,-1,-1,-1,-111,1436706897
,ServiceLog,nl,1436707009933,3G,HSPA,1,250,2,6608,14013200,507,-71,1436706897
,ServiceLog,nl,1436707009933,3G,HSPA,250-2-6608-14013200,-1,-1,-1,-1,-1,-53,1436706897
,ServiceLog,nl,1436707009933,3G,HSPA,250-2-6608-14013200,-1,-1,-1,-1,-1,-97,1436706897
,ServiceLog,nl,1436707009933,3G,HSPA,250-2-6608-14013200,-1,-1,-1,-1,-1,-105,1436706897
,ServiceLog,nl,1436707009933,3G,HSPA,250-2-6608-14013200,-1,-1,-1,-1,-1,-107,1436706897
,ServiceLog,nl,1436707009933,3G,HSPA,250-2-6608-14013200,-1,-1,-1,-1,-1,-107,1436706897
,ServiceLog,nl,1436707009933,3G,HSPA,250-2-6608-14013200,-1,-1,-1,-1,-1,-111,1436706897
,ServiceLog,nl,1436707009933,3G,HSPA,250-2-6608-14013200,-1,-1,-1,-1,-1,-111,1436706897
,ServiceLog,nl,1436707010982,3G,HSPA,1,250,2,6608,14013200,507,-71,1436706897
53,Динамо 3,nl,1436707011337,3G,HSPA,1,250,2,6608,14013200,507,-71,1436706897
