ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power
52,Динамо 2,nl,1436706987803,2G,EDGE,1,250,2,6608,14032,-1,-55
52,Динамо 2,nl,1436706987803,2G,EDGE,250-2-6608-14032,250,2,6608,14031,-1,-99
52,Динамо 2,nl,1436706987803,2G,EDGE,250-2-6608-14032,250,2,6608,14023,-1,-103
,ServiceLog,nl,1436706988134,2G,EDGE,1,250,2,6608,14032,-1,-53
,ServiceLog,nl,1436706988134,2G,EDGE,250-2-6608-14032,250,2,6608,14023,-1,-103
,ServiceLog,nl,1436706988134,2G,EDGE,250-2-6608-14032,250,2,6608,14031,-1,-101
,ServiceLog,nl,1436706989182,2G,EDGE,1,250,2,6608,14032,-1,-53
,ServiceLog,nl,1436706989182,2G,EDGE,250-2-6608-14032,250,2,6608,14023,-1,-103
,ServiceLog,nl,1436706989182,2G,EDGE,250-2-6608-14032,250,2,6608,14031,-1,-101
,ServiceLog,nl,1436706990220,2G,EDGE,1,-1,-1,-1,-1,-1,-113
,ServiceLog,nl,1436706991296,2G,EDGE,1,-1,-1,-1,-1,-1,-113
,ServiceLog,nl,1436706992319,3G,HSPA,1,250,2,6608,14013200,507,-77
,ServiceLog,nl,1436706993335,3G,HSPA,1,250,2,6608,14013200,507,-77
,ServiceLog,nl,1436706994345,3G,HSPA,1,250,2,6608,14013200,507,-81
,ServiceLog,nl,1436706995385,3G,HSPA,1,250,2,6608,14013200,507,-81
,ServiceLog,nl,1436706996415,3G,HSPA,1,250,2,6608,14013200,507,-81
,ServiceLog,nl,1436706997474,3G,HSPAP,1,250,2,6608,14013200,507,-81
,ServiceLog,nl,1436706998499,3G,HSPAP,1,250,2,6608,14013200,507,-81
,ServiceLog,nl,1436706999528,3G,HSPAP,1,250,2,6608,14013200,507,-81
,ServiceLog,nl,1436707000536,3G,HSPAP,1,250,2,6608,14013200,507,-81
,ServiceLog,nl,1436707001579,3G,HSPAP,1,250,2,6608,14013200,507,-81
,ServiceLog,nl,1436707002620,3G,HSPAP,1,250,2,6608,14013200,507,-81
,ServiceLog,nl,1436707003669,3G,HSPAP,1,250,2,6608,14013200,507,-81
,ServiceLog,nl,1436707004692,3G,HSPA,1,250,2,6608,14013200,507,-81
,ServiceLog,nl,1436707005736,3G,HSPA,1,250,2,6608,14013200,507,-81
,ServiceLog,nl,1436707006763,3G,HSPA,1,250,2,6608,14013200,507,-81
,ServiceLog,nl,1436707007816,3G,HSPA,1,250,2,6608,14013200,507,-81
,ServiceLog,nl,1436707008850,3G,HSPA,1,250,2,6608,14013200,507,-71
,ServiceLog,nl,1436707008850,3G,HSPA,250-2-6608-14013200,-1,-1,-1,-1,-1,-53
,ServiceLog,nl,1436707008850,3G,HSPA,250-2-6608-14013200,-1,-1,-1,-1,-1,-97
,ServiceLog,nl,1436707008850,3G,HSPA,250-2-6608-14013200,-1,-1,-1,-1,-1,-105
,ServiceLog,nl,1436707008850,3G,HSPA,250-2-6608-14013200,-1,-1,-1,-1,-1,-107
,ServiceLog,nl,1436707008850,3G,HSPA,250-2-6608-14013200,-1,-1,-1,-1,-1,-107
,ServiceLog,nl,1436707008850,3G,HSPA,250-2-6608-14013200,-1,-1,-1,-1,-1,-111
,ServiceLog,nl,1436707008850,3G,HSPA,250-2-6608-14013200,-1,-1,-1,-1,-1,-111
,ServiceLog,nl,1436707009933,3G,HSPA,250-2-6608-14013200,-1,-1,-1,-1,-1,-111
,ServiceLog,nl,1436707009933,3G,HSPA,250-2-6608-14013200,-1,-1,-1,-1,-1,-111
,ServiceLog,nl,1436707009933,3G,HSPA,250-2-6608-14013200,-1,-1,-1,-1,-1,-107
,ServiceLog,nl,1436707009933,3G,HSPA,250-2-6608-14013200,-1,-1,-1,-1,-1,-105
,ServiceLog,nl,1436707009933,3G,HSPA,250-2-6608-14013200,-1,-1,-1,-1,-1,-107
,ServiceLog,nl,1436707009933,3G,HSPA,250-2-6608-14013200,-1,-1,-1,-1,-1,-53
,ServiceLog,nl,1436707009933,3G,HSPA,250-2-6608-14013200,-1,-1,-1,-1,-1,-97
,ServiceLog,nl,1436707009933,3G,HSPA,1,250,2,6608,14013200,507,-71
,ServiceLog,nl,1436707010982,3G,HSPA,1,250,2,6608,14013200,507,-71
53,Динамо 3,nl,1436707011337,3G,HSPA,1,250,2,6608,14013200,507,-71
