ID,Name,User,TimeStamp,Type,Accel_X,Accel_Y,Accel_Z,Azimuth,Pitch,Roll,Magnetic,Gyro_X,Gyro_Y,Gyro_Z,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Accuracy,GPS_Speed,GPS_Bearing
22,Уралмаш 2,nl,1436707437884,Raw,-0.6512229,4.596867,8.762778,238.98438,-29.3125,-2.859375,43.2,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,nl,1436707438325,Raw,0.29688102,4.3287168,8.829816,239.375,-26.0625,1.671875,42.84,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,nl,1436707439366,Raw,-0.22984336,3.5625722,10.0269165,238.32813,-21.3125,-1.34375,38.219997,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,nl,1436707440407,Raw,0.22984336,3.3135753,9.768343,230.04688,-18.234375,1.28125,40.32,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,nl,1436707441448,Raw,0.50757074,3.3039982,9.3182335,235.95313,-18.53125,0.53125,44.52,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,nl,1436707442506,Raw,-1.0821792,3.016694,9.030929,235.09375,-18.328125,-6.453125,37.079998,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,nl,1436707443536,Raw,-0.7661445,2.7006595,9.768343,234.15625,-16.015625,-6.59375,37.079998,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,nl,1436707444590,Raw,-0.7661445,2.5187001,9.931149,234.35938,-14.125,-4.25,38.7,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,nl,1436707445623,Raw,-1.13964,2.3654714,9.825804,233.67188,-14.296875,-5.515625,35.34,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,nl,1436707446671,Raw,-1.4460979,2.2984335,10.697293,232.375,-15.609375,-4.421875,31.14,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,nl,1436707447686,Raw,-1.0726024,2.4229321,9.222465,231.0,-13.984375,-6.453125,32.64,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,nl,1436707448724,Raw,-0.5554548,2.5570073,10.065224,230.60938,-15.984375,-2.40625,33.18,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,nl,1436707449754,Raw,-0.6799533,2.6048915,9.77792,230.48438,-14.484375,-4.28125,34.02,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,nl,1436707450804,Raw,-0.4405331,2.7964275,9.615114,234.84375,-13.53125,-5.546875,36.239998,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,nl,1436707451811,Raw,0.37349546,3.4763808,9.414001,236.39063,-21.234375,1.703125,41.1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,nl,1436707452835,Raw,0.45968673,4.2904096,8.599973,238.20313,-25.1875,3.1875,42.54,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,nl,1436707453857,Raw,0.51714754,3.9073372,8.858546,239.90625,-23.8125,3.25,42.48,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,nl,1436707454892,Raw,0.46926352,3.667917,9.184157,240.70313,-22.21875,2.15625,41.64,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
23,Уралмаш 3,nl,1436707455556,Raw,0.4213795,2.5378537,9.653421,245.01563,-14.96875,6.28125,38.579998,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
