ID,Name,User,TimeStamp,Type,Accel_X,Accel_Y,Accel_Z,Azimuth,Pitch,Roll,Magnetic,Gyro_X,Gyro_Y,Gyro_Z,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Accuracy,GPS_Speed,GPS_Bearing,race_id
52,Динамо 2,nl,1436706987803,Raw,-0.21068975,5.315128,8.485051,268.32813,-32.078125,-1.171875,35.82,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1436706897
,ServiceLog,nl,1436706988134,Raw,-0.019153614,5.2959743,7.73806,268.10938,-32.453125,0.0,35.579998,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1436706897
,ServiceLog,nl,1436706989182,Raw,-0.11492168,5.2959743,8.532935,267.10938,-31.765625,-0.5625,35.46,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1436706897
,ServiceLog,nl,1436706990220,Raw,-0.076614454,5.3438582,8.437167,266.40625,-32.625,-0.3125,35.04,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1436706897
,ServiceLog,nl,1436706991296,Raw,-0.038307227,5.410896,8.322245,266.26563,-33.078125,-0.5625,34.86,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1436706897
,ServiceLog,nl,1436706992319,Raw,-0.22026655,5.4204726,8.590396,266.17188,-33.046875,-1.265625,34.559998,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1436706897
,ServiceLog,nl,1436706993335,Raw,-0.18195933,5.8705826,8.063671,265.6875,-36.203125,-1.171875,34.38,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1436706897
,ServiceLog,nl,1436706994345,Raw,-0.06703765,7.1155677,5.353435,266.32813,-37.046875,-1.40625,33.96,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1436706897
,ServiceLog,nl,1436706995385,Raw,0.05746084,6.8761473,6.253655,275.25,-47.671875,0.34375,36.36,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1436706897
,ServiceLog,nl,1436706996415,Raw,-1.1204864,5.6790466,7.07726,270.17188,-36.59375,1.984375,35.219997,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1436706897
,ServiceLog,nl,1436706997474,Raw,1.0534488,6.0621185,11.224017,266.51563,-28.265625,4.703125,33.96,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1436706897
,ServiceLog,nl,1436706998499,Raw,-0.91937345,5.0757074,8.676587,263.25,-52.375,6.1875,38.7,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1436706897
,ServiceLog,nl,1436706999528,Raw,-5.104438,4.855441,6.397307,261.98438,-45.78125,-28.421875,4.62,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1436706897
,ServiceLog,nl,1436707000536,Raw,-0.1340753,4.2999864,8.552089,203.4375,-25.96875,-3.046875,2.46,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1436706897
,ServiceLog,nl,1436707001579,Raw,-0.038307227,3.5529952,8.772355,183.17188,-21.03125,-0.953125,-1.4399999,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1436706897
,ServiceLog,nl,1436707002620,Raw,-1.8674773,4.4340615,8.207323,186.9375,-27.765625,-11.328125,-4.44,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1436706897
,ServiceLog,nl,1436707003669,Raw,0.29688102,3.4955344,9.385271,161.1875,-20.90625,0.640625,-14.16,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1436706897
,ServiceLog,nl,1436707004692,Raw,0.1436521,3.4380736,9.260772,172.54688,-19.890625,-0.21875,-1.62,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1436706897
,ServiceLog,nl,1436707005736,Raw,0.1340753,3.3997664,9.3182335,173.65625,-20.1875,0.34375,-2.7,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1436706897
,ServiceLog,nl,1436707006763,Raw,-0.05746084,3.6583402,9.624691,174.34375,-20.53125,-1.515625,-3.36,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1436706897
,ServiceLog,nl,1436707007816,Raw,-0.19153613,3.86903,7.9966335,174.78125,-25.8125,-1.234375,-8.099999,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1436706897
,ServiceLog,nl,1436707008850,Raw,-0.9864111,3.4380736,9.758766,174.71875,-21.140625,-3.140625,-5.58,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1436706897
,ServiceLog,nl,1436707009933,Raw,0.047884032,2.7485435,9.165004,174.78125,-16.421875,-0.59375,-4.3199997,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1436706897
,ServiceLog,nl,1436707010982,Raw,-0.21068975,2.528277,9.691729,176.29688,-14.59375,-1.171875,-0.17999999,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1436706897
53,Динамо 3,nl,1436707011337,Raw,-0.11492168,2.4037786,9.423578,180.48438,-13.671875,-1.0625,1.62,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1436706897
