ID,Name,User,TimeStamp,Type,Accel_X,Accel_Y,Accel_Z,Azimuth,Pitch,Roll,Magnetic,Gyro_X,Gyro_Y,Gyro_Z,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Accuracy,GPS_Speed,GPS_Bearing,race_id
73,Геологическая 3,nl,1436706793929,Raw,-1.4748282,6.0525417,8.264784,291.45313,-36.390625,-7.171875,37.92,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1436706793
,ServiceLog,nl,1436706794194,Raw,-1.8674773,5.717354,7.192182,295.67188,-37.546875,-11.484375,47.219997,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1436706793
,ServiceLog,nl,1436706795231,Raw,-1.4939818,5.631162,8.197746,296.89063,-33.890625,-8.0,55.32,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1436706793
,ServiceLog,nl,1436706796257,Raw,-1.436521,5.602432,8.341399,314.15625,-33.6875,-8.765625,31.5,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1436706793
,ServiceLog,nl,1436706797297,Raw,-1.2545617,5.4779334,8.494628,315.85938,-32.546875,-7.0625,31.019999,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1436706793
,ServiceLog,nl,1436706798339,Raw,-1.2162545,5.8705826,8.513782,317.09375,-34.15625,-7.71875,31.679998,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1436706793
,ServiceLog,nl,1436706799365,Raw,-1.2737153,5.592855,8.523358,316.92188,-32.984375,-7.09375,30.3,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1436706793
,ServiceLog,nl,1436706800391,Raw,-1.5897499,5.6407394,8.312668,316.96875,-32.875,-7.890625,34.2,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1436706793
,ServiceLog,nl,1436706801431,Raw,-1.8004397,5.985504,7.9966335,316.20313,-37.046875,-9.953125,31.5,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1436706793
74,Геологическая 4,nl,1436706801951,Raw,-1.7717092,5.707777,8.42759,316.10938,-34.59375,-10.4375,30.42,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1436706793
