ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power
2122,Оболонь 2,maxmal,1435825728900,unknown,unknown,1,255,6,10914,41990,-1,-75
,ServiceLog,maxmal,1435825729522,unknown,unknown,1,255,6,10914,41990,-1,-75
,ServiceLog,maxmal,1435825730579,unknown,unknown,1,255,6,10914,41990,-1,-75
,ServiceLog,maxmal,1435825731622,unknown,unknown,1,255,6,10914,41990,-1,-75
,ServiceLog,maxmal,1435825732659,unknown,unknown,1,255,6,10914,41990,-1,-75
,ServiceLog,maxmal,1435825733691,unknown,unknown,1,255,6,10914,41990,-1,-75
,ServiceLog,maxmal,1435825734718,unknown,unknown,1,255,6,10914,41990,-1,-75
,ServiceLog,maxmal,1435825735752,unknown,unknown,1,255,6,10914,41990,-1,-77
,ServiceLog,maxmal,1435825736800,unknown,unknown,1,255,6,10914,41990,-1,-77
,ServiceLog,maxmal,1435825737833,unknown,unknown,1,255,6,10914,41990,-1,-77
,ServiceLog,maxmal,1435825738862,unknown,unknown,1,255,6,10914,41990,-1,-77
,ServiceLog,maxmal,1435825739895,unknown,unknown,1,255,6,10914,41990,-1,-77
,ServiceLog,maxmal,1435825740924,unknown,unknown,1,255,6,10914,41990,-1,-77
,ServiceLog,maxmal,1435825741982,unknown,unknown,1,255,6,10914,41990,-1,-77
,ServiceLog,maxmal,1435825743016,unknown,unknown,1,255,6,10914,41990,-1,-81
,ServiceLog,maxmal,1435825744055,unknown,unknown,1,255,6,10914,41990,-1,-81
,ServiceLog,maxmal,1435825745092,unknown,unknown,1,255,6,10914,41990,-1,-81
,ServiceLog,maxmal,1435825746124,unknown,unknown,1,255,6,10914,41990,-1,-81
,ServiceLog,maxmal,1435825747180,unknown,unknown,1,255,6,10914,41990,-1,-81
,ServiceLog,maxmal,1435825748219,unknown,unknown,1,255,6,10914,41990,-1,-81
,ServiceLog,maxmal,1435825749252,unknown,unknown,1,255,6,10914,41990,-1,-81
,ServiceLog,maxmal,1435825750282,unknown,unknown,1,255,6,10914,41990,-1,-81
,ServiceLog,maxmal,1435825751315,unknown,unknown,1,255,6,10914,41990,-1,-81
,ServiceLog,maxmal,1435825752363,unknown,unknown,1,255,6,10914,41990,-1,-81
,ServiceLog,maxmal,1435825753400,unknown,unknown,1,255,6,10914,41990,-1,-81
,ServiceLog,maxmal,1435825754434,unknown,unknown,1,255,6,10914,41990,-1,-81
,ServiceLog,maxmal,1435825755493,unknown,unknown,1,255,6,10914,41990,-1,-81
,ServiceLog,maxmal,1435825756596,unknown,unknown,1,255,6,10914,41990,-1,-81
,ServiceLog,maxmal,1435825757648,unknown,unknown,1,255,6,10914,41990,-1,-81
,ServiceLog,maxmal,1435825758692,unknown,unknown,1,255,6,10914,41990,-1,-81
2123,Оболонь 3,maxmal,1435825759087,unknown,unknown,1,255,6,10914,41990,-1,-81
