ID,Name,User,TimeStamp,Type,Accel_X,Accel_Y,Accel_Z,Azimuth,Pitch,Roll,Magnetic,Gyro_X,Gyro_Y,Gyro_Z,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Accuracy,GPS_Speed,GPS_Bearing,race_id
1123,Святошин 3,maxmal,1435836975070,Raw,0.97982705,7.687183,6.8749504,304.99036,-50.268364,1.5165856,30.8,0.25379926,0.09534117,0.04474111,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1435836975
,ServiceLog,maxmal,1435836975817,Raw,1.5562311,7.809886,6.554127,295.47418,-50.298405,4.1902413,51.6,0.03568636,0.05752428,0.019973708,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1435836975
,ServiceLog,maxmal,1435836976847,Raw,1.2455834,7.704541,6.758233,298.96286,-48.80831,7.389597,33.4,0.09640643,-0.06924219,0.07590009,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1435836975
,ServiceLog,maxmal,1435836977881,Raw,1.6484078,7.6440873,6.6205664,280.46887,-48.081524,8.295672,88.5,0.014647386,0.0314253,0.009853696,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1435836975
,ServiceLog,maxmal,1435836978924,Raw,1.5711949,7.53994,7.9906483,285.07043,-47.352673,9.198169,82.1,-0.1520665,0.1571265,-0.0561927,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1435836975
,ServiceLog,maxmal,1435836979956,Raw,1.3335704,7.069479,7.395689,278.67432,-44.631084,8.537397,57.5,0.025300032,0.0026631611,-0.011984225,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1435836975
,ServiceLog,maxmal,1435836980993,Raw,0.94451255,7.5854297,6.933608,263.93,-44.290817,6.6951714,59.2,-0.0029294773,-0.046871636,-0.01571265,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1435836975
,ServiceLog,maxmal,1435836982029,Raw,0.9151836,7.4872675,6.9820905,258.94916,-46.67219,5.74912,54.6,0.03914847,0.104928546,-0.0063915867,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1435836975
,ServiceLog,maxmal,1435836983061,Raw,0.8265981,7.678205,6.4218473,251.09933,-48.299942,4.99348,52.5,0.03089267,0.010652645,-0.00958738,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1435836975
1124,Святошин 4,maxmal,1435836983639,Raw,0.4973954,7.77936,6.701969,242.3649,-48.613228,4.3382215,48.4,0.0974717,0.1768339,-0.05486112,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1435836975
,ServiceLog,maxmal,1435836984092,Raw,0.24899697,7.716512,6.8186865,242.89423,-49.152225,3.5678089,44.8,-0.020772656,-0.033023197,0.056459017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1435836975
,ServiceLog,maxmal,1435836985168,Raw,0.19931729,7.650073,7.017405,211.88234,-48.501556,2.8750844,24.6,0.0010652645,0.11451593,-0.039947417,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1435836975
,ServiceLog,maxmal,1435836986206,Raw,0.24480712,7.909844,7.0730705,218.03825,-48.1913,2.9451227,42.3,0.0127831735,0.041012682,0.00958738,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1435836975
,ServiceLog,maxmal,1435836987268,Raw,0.3333926,7.2622123,6.3979053,224.44891,-48.648575,1.9736537,53.8,-0.076166406,-0.041545313,-0.0058589545,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1435836975
,ServiceLog,maxmal,1435836988285,Raw,-0.6087258,8.605958,6.6079965,257.74554,-49.412323,0.025697714,34.9,-0.043675844,-0.21198763,0.15233281,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1435836975
,ServiceLog,maxmal,1435836989318,Raw,-0.56682724,7.2328835,6.8557963,309.00287,-49.00754,-2.0459225,178.6,0.05486112,-0.02396845,0.0031957934,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1435836975
,ServiceLog,maxmal,1435836990348,Raw,-0.7733272,7.3567834,6.429629,310.53342,-47.77224,-2.9729748,177.6,-0.024501082,-0.061252706,0.0029294773,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1435836975
,ServiceLog,maxmal,1435836991387,Raw,-0.41718966,8.298303,7.5088153,311.3339,-48.376877,-2.52587,173.5,0.036751624,0.060720075,0.02876214,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1435836975
,ServiceLog,maxmal,1435836992432,Raw,-0.44532153,7.937377,7.3418193,311.10492,-49.109592,-1.3315578,178.2,0.07376956,0.08841695,0.076166406,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1435836975
,ServiceLog,maxmal,1435836993460,Raw,-0.30166942,7.7374616,6.6983776,340.77838,-49.070396,-0.81690645,0.6,-0.022903185,0.058056913,0.011984225,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1435836975
,ServiceLog,maxmal,1435836994489,Raw,-0.054468088,7.8092875,6.63972,5.3219676,-48.78316,-1.4422286,-6.3,-0.02263687,0.02609898,0.021571605,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1435836975
,ServiceLog,maxmal,1435836995525,Raw,-0.14664486,7.101801,6.757634,6.8766217,-47.61728,-1.8620169,-6.1,0.06471482,0.046339005,-0.031158986,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1435836975
,ServiceLog,maxmal,1435836996555,Raw,-0.3585317,7.6680293,6.2752028,5.90019,-48.002846,-1.759657,-3.5,-0.018642128,-0.0037284256,0.008255799,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1435836975
,ServiceLog,maxmal,1435836997592,Raw,-0.47105917,7.752425,6.3099184,5.6110425,-49.69233,-1.4052392,-6.1,0.02876214,-0.0037284256,0.019441076,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1435836975
,ServiceLog,maxmal,1435836998627,Raw,-0.30107087,8.056489,6.6882024,5.1867747,-49.91187,-1.1061317,-5.2,0.030360037,0.03568636,0.0018642128,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1435836975
,ServiceLog,maxmal,1435836999657,Raw,-0.20649989,8.338406,6.2943563,6.46449,-50.19038,-1.1895363,-6.8,0.0039947415,-0.010652645,0.050866377,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1435836975
,ServiceLog,maxmal,1435837000695,Raw,0.0053869537,8.221688,6.542156,6.2430344,-50.099503,-0.781648,-6.8,0.07403588,0.030360037,-0.039947417,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1435836975
,ServiceLog,maxmal,1435837001723,Raw,-0.6619968,7.0784574,6.123171,79.01014,-49.78956,-1.2506956,-10.3,-0.061252706,-0.026631612,-0.03888215,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1435836975
,ServiceLog,maxmal,1435837002754,Raw,-0.29269117,7.2939353,6.740875,110.160194,-49.915527,-1.6736884,-10.8,0.082558,0.05752428,0.05486112,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1435836975
,ServiceLog,maxmal,1435837003795,Raw,-0.3417723,7.0886326,7.0664864,93.16853,-48.649334,-1.2926476,-11.7,0.072171666,0.055926383,-0.02743056,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1435836975
,ServiceLog,maxmal,1435837004827,Raw,0.26994625,7.997831,7.1227503,84.784485,-47.225494,-1.242936,-11.7,0.0005326322,0.099069595,-0.02743056,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1435836975
,ServiceLog,maxmal,1435837005859,Raw,-0.5662287,7.5644803,6.8665705,102.83256,-47.469845,-1.6139454,-10.5,0.103064336,0.007456851,0.050866377,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1435836975
