ID,Name,User,TimeStamp,Type,Accel_X,Accel_Y,Accel_Z,Azimuth,Pitch,Roll,Magnetic,Gyro_X,Gyro_Y,Gyro_Z,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Accuracy,GPS_Speed,GPS_Bearing
2193,Олимпийская 3,maxmal,1435826654337,Raw,-0.9672575,6.0022635,7.2089415,184.60289,-36.51455,-3.7621562,-0.2,-0.02263687,-0.004261058,-0.07350325,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435826654354,Raw,-0.9672575,6.0022635,7.2089415,184.60289,-36.51455,-3.7621562,-0.2,-0.02263687,-0.004261058,-0.07350325,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435826655377,Raw,-0.20350714,4.8578353,9.121908,216.3176,-35.234974,-3.8746028,19.6,0.18136127,0.33129725,0.024767399,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435826656406,Raw,0.89782566,4.9559975,8.408437,210.2697,-30.300426,-2.393144,13.7,-0.4383563,0.35633096,-0.23169503,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435826657455,Raw,-0.39025488,4.948815,9.045294,242.91501,-28.850418,-1.0366039,30.0,-0.008255799,0.105993815,0.04873585,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435826658486,Raw,-0.9888053,5.0541596,9.16261,272.4959,-28.98066,-1.3983353,46.9,0.018375812,-0.011185277,0.03542004,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435826659499,Raw,-0.6895301,5.0374002,9.217676,253.0801,-29.14801,-2.727254,66.0,-0.11638014,0.04261058,0.007190535,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435826660535,Raw,-0.10295067,5.446809,9.018958,312.2242,-30.0367,-2.6960492,72.0,0.03542004,-0.2615224,0.018375812,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2194,Олимпийская 4,maxmal,1435826660576,Raw,-0.10295067,5.446809,9.018958,312.2242,-30.0367,-2.6960492,72.0,0.03542004,-0.2615224,0.018375812,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435826661590,Raw,-0.090979666,5.8945246,7.9870567,317.66943,-31.438372,-2.216091,41.6,0.04314321,-0.020772656,0.03222425,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435826662626,Raw,0.18195933,5.3701944,7.8410106,312.22476,-33.754116,-1.173152,35.3,0.17496969,-0.03195793,0.086020105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435826663672,Raw,-0.33279404,6.1770406,5.9687448,296.81635,-36.07811,-1.2360222,32.9,-0.08442221,0.2790993,0.19867182,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435826664710,Raw,-0.35434186,5.647922,8.406042,290.73114,-37.699883,-1.4040718,29.6,-0.06551377,0.08628642,0.015446335,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435826665726,Raw,-0.79966336,5.535394,8.221688,288.85272,-36.15366,-2.4687898,36.4,0.1555286,0.053795855,0.059921127,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435826666759,Raw,0.24899697,6.3709707,8.042124,282.16623,-34.95205,-2.6625316,32.6,0.09534117,0.32384038,0.2034655,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435826667796,Raw,-0.62728083,5.544971,7.9631147,279.89377,-34.20595,-2.5302877,31.5,0.031158986,0.18801917,0.025033714,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435826668824,Raw,-0.10295067,5.3318872,8.14268,270.49173,-33.503647,-3.0430093,24.4,0.022370555,-0.17150758,-0.3139867,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435826669855,Raw,-0.3184288,6.126762,8.101978,268.2847,-35.635765,-1.9225318,40.1,-0.016511599,0.06764429,-0.03781689,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435826670897,Raw,-0.22266077,6.1985884,8.058883,220.24266,-36.7493,-1.5310293,21.2,0.0058589545,-0.008522116,0.054062173,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435826671929,Raw,-0.7733272,6.0381765,7.740454,229.31836,-36.379166,-2.1229465,23.7,-7.9894834E-4,-0.056991648,-0.019707393,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435826672960,Raw,-0.2657564,6.1770406,8.12592,270.24713,-37.001003,-2.198221,40.9,-0.05486112,0.12197278,-0.018109497,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435826673996,Raw,-0.5602432,5.475539,7.869741,270.4493,-36.122803,-2.8980403,20.8,0.10226539,0.00958738,0.018109497,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435826675036,Raw,-0.29448682,6.265626,8.307879,238.8952,-36.319168,-2.6291268,22.4,0.0077231675,0.06231797,0.018908445,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435826676078,Raw,-0.91937345,6.4523735,8.0924015,208.93376,-37.49398,-2.3849883,23.4,-0.0010652645,0.0644485,0.009853696,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435826677111,Raw,-0.58897364,6.1530986,7.8050976,213.99857,-37.65061,-3.1716256,27.2,-0.05139901,0.0644485,-0.018375812,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435826678141,Raw,-0.41180268,6.019023,7.6973586,209.70128,-37.86972,-2.886765,25.8,0.021038974,0.022370555,0.0037284256,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435826679177,Raw,-0.61530983,5.741296,8.329428,210.0223,-37.336773,-2.7362375,27.2,0.045540057,0.041012682,-0.009054748,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435826680206,Raw,-0.81402856,5.753267,7.819463,205.64542,-37.199432,-3.4685094,19.7,0.025300032,0.026631612,-0.02609898,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435826681236,Raw,-0.34476504,6.0621185,7.041347,211.6307,-38.342827,-3.6609814,26.7,0.06844324,0.13795175,-0.036751624,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435826682268,Raw,-0.90500826,5.4563856,7.419631,215.74576,-37.864334,-3.9484134,26.7,0.10705908,0.040480047,-0.007456851,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435826683295,Raw,-0.47165772,6.4619503,8.307879,213.98996,-37.339645,-4.550433,25.0,0.03834952,-0.036751624,-0.03701794,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435826684328,Raw,-1.1899183,6.1219735,8.89446,215.16565,-37.629013,-4.517892,25.7,0.0010652645,0.049002163,0.041545313,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435826685361,Raw,-0.770933,6.528988,8.147469,215.61226,-36.67935,-4.5110707,26.4,0.0053263223,0.08894958,0.040480047,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435826686408,Raw,-0.35673606,5.9064956,7.491457,213.10558,-37.185795,-3.6380525,26.0,0.107858025,0.1470065,0.009321064,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435826687444,Raw,-0.6943185,6.5816603,8.583213,211.86926,-37.20196,-3.250863,26.6,0.06870956,0.049534798,0.087085366,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435826688474,Raw,-0.9744401,6.775591,7.2831616,212.38953,-37.49411,-3.1241422,24.5,-0.3587278,0.23169503,-0.12809806,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435826689487,Raw,-1.0175357,6.1626754,8.056489,213.52649,-36.217804,-4.38551,22.9,-0.010918961,-0.03355583,0.04527374,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435826690516,Raw,-0.56982,5.506664,7.702147,214.17787,-35.484074,-3.8289013,23.7,0.1768339,0.034621093,0.0628506,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435826691562,Raw,-0.8643068,5.4180784,8.480263,215.72853,-34.69962,-4.0686903,22.8,-0.045540057,0.039414786,-0.009853696,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435826692598,Raw,-0.8595184,5.556942,8.48984,218.53314,-34.13989,-4.7629495,25.2,0.15606125,0.041012682,0.0077231675,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435826693629,Raw,-0.6967127,5.521029,7.7069354,217.36424,-34.787304,-4.228218,25.6,0.07243799,0.02609898,-0.032756884,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
