ID,Name,User,TimeStamp,Type,Accel_X,Accel_Y,Accel_Z,Azimuth,Pitch,Roll,Magnetic,Gyro_X,Gyro_Y,Gyro_Z,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Accuracy,GPS_Speed,GPS_Bearing
3212,Славутич 2,maxmal,1435831565206,Raw,-2.6671407,5.884948,8.166622,222.5643,-30.193773,-11.810504,46.6,-0.07749799,-0.009054748,0.031158986,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435831565231,Raw,-2.6671407,5.884948,8.166622,222.5643,-30.193773,-11.810504,46.6,-0.07749799,-0.009054748,0.031158986,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435831566263,Raw,-1.6663644,4.6399627,8.935161,223.705,-32.132942,-11.238298,47.8,0.04474111,0.018642128,-0.17710021,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435831567298,Raw,-2.2122424,5.542577,8.446744,223.84511,-30.447327,-10.605047,49.0,-0.20479709,0.011185277,0.039414786,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435831568352,Raw,-2.3343468,5.243302,8.47308,223.9924,-31.133158,-12.403304,50.6,0.15286545,0.099069595,0.03888215,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435831569395,Raw,-2.4875755,5.45878,8.42759,223.94936,-31.537111,-13.031527,49.8,-0.023435818,-0.03888215,0.098004326,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435831570413,Raw,-2.2960393,5.4180784,8.274361,224.08862,-31.673828,-12.964247,49.8,0.072171666,0.080960095,0.05486112,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435831571444,Raw,-3.4117374,5.303157,7.5920134,223.5106,-32.54753,-14.149452,48.2,0.08335695,0.28495824,-0.49667954,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435831572488,Raw,-2.906561,4.7070007,8.6334915,223.92725,-30.478128,-16.180237,49.0,-0.021571605,-0.0974717,-0.08948222,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435831573526,Raw,-2.8754363,4.711789,8.913613,223.48584,-28.132284,-16.806223,49.0,0.023702133,0.0015978967,-0.10705908,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435831574583,Raw,-2.6743233,4.771644,8.599973,223.4213,-27.967335,-15.865411,49.0,0.1387507,0.058056913,-0.034088463,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435831575623,Raw,-2.4756045,4.132392,8.810662,223.27437,-26.897993,-15.175253,49.0,0.03834952,-0.010652645,0.014114754,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435831576666,Raw,-2.5354595,4.7429137,8.535329,222.77415,-26.511593,-14.682855,47.4,0.01304949,0.05539375,0.09054748,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435831577697,Raw,-2.2625206,4.6902413,8.6095495,223.67053,-27.289648,-13.585186,45.4,0.15313177,0.07403588,-0.010918961,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435831578742,Raw,-2.4372973,4.7429137,8.736442,223.5968,-28.124992,-12.785836,45.4,0.06924219,0.12197278,0.022903185,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,maxmal,1435831579772,Raw,-0.5530606,4.120421,8.870518,214.54985,-27.727121,-11.459641,28.6,0.023169503,0.013848438,-2.663161E-4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3213,Славутич 3,maxmal,1435831579964,Raw,-1.0702082,4.733337,9.313444,213.66522,-27.578445,-10.735992,27.4,0.12916331,-0.02130529,-0.103064336,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
