ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power,race_id
53,Кремлёвская 3,KD,1435601763074,2G,GPRS,1,250,1,16102,14711,-1,-79,1435601763
,ServiceLog,KD,1435601763968,2G,GPRS,1,250,1,16102,14711,-1,-79,1435601763
,ServiceLog,KD,1435601765002,2G,GPRS,1,250,1,16102,14711,-1,-79,1435601763
,ServiceLog,KD,1435601766022,2G,GPRS,1,250,1,16102,14711,-1,-79,1435601763
,ServiceLog,KD,1435601767040,2G,GPRS,1,250,1,16102,14711,-1,-79,1435601763
,ServiceLog,KD,1435601768060,2G,GPRS,1,250,1,16102,14711,-1,-79,1435601763
,ServiceLog,KD,1435601769081,2G,GPRS,1,250,1,16102,14711,-1,-79,1435601763
,ServiceLog,KD,1435601770094,2G,GPRS,1,250,1,16102,14711,-1,-79,1435601763
,ServiceLog,KD,1435601771112,2G,GPRS,1,250,1,16102,14711,-1,-73,1435601763
,ServiceLog,KD,1435601772131,2G,GPRS,1,250,1,16102,14711,-1,-73,1435601763
,ServiceLog,KD,1435601773150,2G,GPRS,1,250,1,16102,14711,-1,-73,1435601763
,ServiceLog,KD,1435601774171,2G,GPRS,1,250,1,16102,14711,-1,-73,1435601763
,ServiceLog,KD,1435601775193,2G,GPRS,1,250,1,16102,14711,-1,-73,1435601763
,ServiceLog,KD,1435601776211,2G,GPRS,1,250,1,16102,14711,-1,-73,1435601763
54,Кремлёвская 4,KD,1435601777197,2G,GPRS,1,250,1,16102,14711,-1,-73,1435601763
,ServiceLog,KD,1435601777229,2G,GPRS,1,250,1,16102,14711,-1,-73,1435601763
,ServiceLog,KD,1435601778271,2G,GPRS,1,250,1,16102,14711,-1,-73,1435601763
,ServiceLog,KD,1435601779296,2G,GPRS,1,250,1,16102,14711,-1,-73,1435601763
,ServiceLog,KD,1435601780316,2G,GPRS,1,250,1,16102,14711,-1,-87,1435601763
,ServiceLog,KD,1435601781342,2G,GPRS,1,250,1,16102,14711,-1,-87,1435601763
,ServiceLog,KD,1435601782360,2G,GPRS,1,250,1,16102,14711,-1,-87,1435601763
,ServiceLog,KD,1435601783378,2G,GPRS,1,250,1,16102,14711,-1,-87,1435601763
,ServiceLog,KD,1435601784402,2G,GPRS,1,250,1,16102,14711,-1,-87,1435601763
,ServiceLog,KD,1435601785427,2G,GPRS,1,250,1,16102,14711,-1,-87,1435601763
,ServiceLog,KD,1435601786445,2G,GPRS,1,250,1,16102,14711,-1,-87,1435601763
,ServiceLog,KD,1435601787463,2G,GPRS,1,250,1,16102,14711,-1,-87,1435601763
,ServiceLog,KD,1435601788482,2G,GPRS,1,250,1,16102,14711,-1,-87,1435601763
,ServiceLog,KD,1435601789505,2G,GPRS,1,250,1,16102,14711,-1,-87,1435601763
,ServiceLog,KD,1435601790534,2G,GPRS,1,250,1,16102,14711,-1,-109,1435601763
,ServiceLog,KD,1435601791553,2G,GPRS,1,250,1,16102,14711,-1,-109,1435601763
,ServiceLog,KD,1435601792571,2G,GPRS,1,250,1,16102,14711,-1,-109,1435601763
,ServiceLog,KD,1435601793588,2G,GPRS,1,250,1,16102,14711,-1,-109,1435601763
,ServiceLog,KD,1435601794606,2G,GPRS,1,250,1,16102,14711,-1,-109,1435601763
,ServiceLog,KD,1435601795624,2G,GPRS,1,250,1,16102,14711,-1,-109,1435601763
,ServiceLog,KD,1435601796636,2G,GPRS,1,250,1,16102,14711,-1,-109,1435601763
,ServiceLog,KD,1435601797656,2G,GPRS,1,250,1,16102,14711,-1,-109,1435601763
,ServiceLog,KD,1435601798674,2G,GPRS,1,250,1,16102,14711,-1,-109,1435601763
,ServiceLog,KD,1435601799695,2G,GPRS,1,250,1,16102,14711,-1,-109,1435601763
,ServiceLog,KD,1435601800708,2G,GPRS,1,250,1,16102,14711,-1,-109,1435601763
,ServiceLog,KD,1435601801721,2G,GPRS,1,250,1,16102,14711,-1,-109,1435601763
,ServiceLog,KD,1435601802734,2G,GPRS,1,250,1,16102,14711,-1,-109,1435601763
,ServiceLog,KD,1435601803752,2G,GPRS,1,250,1,16102,14711,-1,-109,1435601763
,ServiceLog,KD,1435601804764,2G,GPRS,1,250,1,16102,14711,-1,-109,1435601763
,ServiceLog,KD,1435601805776,2G,GPRS,1,250,1,16102,14711,-1,-109,1435601763
,ServiceLog,KD,1435601806807,2G,GPRS,1,250,1,16102,14711,-1,-109,1435601763
,ServiceLog,KD,1435601807831,2G,GPRS,1,250,1,16102,14711,-1,-89,1435601763
,ServiceLog,KD,1435601809204,unknown,unknown,1,-1,-1,-1,-1,-1,0,1435601763
,ServiceLog,KD,1435601810223,unknown,unknown,1,-1,-1,-1,-1,-1,0,1435601763
