ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power
72,Суконная слобода 2,KD,1435600498888,2G,GPRS,1,250,1,16102,14713,-1,-77
,ServiceLog,KD,1435600499473,2G,GPRS,1,250,1,16102,14713,-1,-77
,ServiceLog,KD,1435600500497,2G,GPRS,1,250,1,16102,14713,-1,-77
,ServiceLog,KD,1435600501514,2G,GPRS,1,250,1,16102,14713,-1,-77
,ServiceLog,KD,1435600502538,2G,GPRS,1,250,1,16102,14713,-1,-77
,ServiceLog,KD,1435600503558,2G,GPRS,1,250,1,16102,14713,-1,-77
,ServiceLog,KD,1435600504576,2G,GPRS,1,250,1,16102,14713,-1,-77
,ServiceLog,KD,1435600505599,2G,GPRS,1,250,1,16102,14713,-1,-77
,ServiceLog,KD,1435600506615,2G,GPRS,1,250,1,16102,14713,-1,-75
,ServiceLog,KD,1435600507635,2G,GPRS,1,250,1,16102,14713,-1,-75
,ServiceLog,KD,1435600508707,2G,GPRS,1,250,1,16102,14713,-1,-75
,ServiceLog,KD,1435600509738,2G,GPRS,1,250,1,16102,14713,-1,-75
,ServiceLog,KD,1435600510762,2G,GPRS,1,250,1,16102,14713,-1,-75
,ServiceLog,KD,1435600511781,2G,GPRS,1,250,1,16102,14713,-1,-75
,ServiceLog,KD,1435600512800,2G,GPRS,1,250,1,16102,14713,-1,-75
,ServiceLog,KD,1435600513818,2G,GPRS,1,250,1,16102,14713,-1,-75
,ServiceLog,KD,1435600514837,2G,GPRS,1,250,1,16102,14713,-1,-75
,ServiceLog,KD,1435600515856,2G,GPRS,1,250,1,16102,14713,-1,-73
,ServiceLog,KD,1435600516877,2G,GPRS,1,250,1,16102,14713,-1,-73
73,Суконная слобода 3,KD,1435600517567,2G,GPRS,1,250,1,16102,14713,-1,-73
