ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power,race_id
92,Горки 2,KD,1435601190542,2G,GPRS,1,250,1,16102,14712,-1,-81,1435601069
,ServiceLog,KD,1435601191545,2G,GPRS,1,250,1,16102,14712,-1,-81,1435601069
,ServiceLog,KD,1435601192566,2G,GPRS,1,250,1,16102,14712,-1,-81,1435601069
,ServiceLog,KD,1435601193593,2G,GPRS,1,250,1,16102,14712,-1,-81,1435601069
,ServiceLog,KD,1435601194624,2G,GPRS,1,250,1,16102,14712,-1,-81,1435601069
,ServiceLog,KD,1435601195643,2G,GPRS,1,250,1,16102,14712,-1,-81,1435601069
,ServiceLog,KD,1435601196661,2G,GPRS,1,250,1,16102,14712,-1,-81,1435601069
,ServiceLog,KD,1435601197681,2G,GPRS,1,250,1,16102,14712,-1,-81,1435601069
,ServiceLog,KD,1435601198708,2G,GPRS,1,250,1,16102,14712,-1,-81,1435601069
,ServiceLog,KD,1435601199730,2G,GPRS,1,250,1,16102,14712,-1,-81,1435601069
,ServiceLog,KD,1435601200758,2G,GPRS,1,250,1,16102,14712,-1,-81,1435601069
,ServiceLog,KD,1435601201780,2G,GPRS,1,250,1,16102,14712,-1,-81,1435601069
,ServiceLog,KD,1435601202799,2G,GPRS,1,250,1,16102,14712,-1,-81,1435601069
,ServiceLog,KD,1435601203818,2G,GPRS,1,250,1,16102,14712,-1,-81,1435601069
,ServiceLog,KD,1435601204836,2G,GPRS,1,250,1,16102,14712,-1,-83,1435601069
,ServiceLog,KD,1435601205859,2G,GPRS,1,250,1,16102,14712,-1,-83,1435601069
,ServiceLog,KD,1435601206880,2G,GPRS,1,250,1,16102,14712,-1,-83,1435601069
,ServiceLog,KD,1435601207899,2G,GPRS,1,250,1,16102,14712,-1,-83,1435601069
93,Горки 3,KD,1435601207914,2G,GPRS,1,250,1,16102,14712,-1,-83,1435601069
