ID,Name,User,TimeStamp,Type,Accel_X,Accel_Y,Accel_Z,Azimuth,Pitch,Roll,Magnetic_X,Magnetic_Y,Magnetic_Z,Gyro_X,Gyro_Y,Gyro_Z,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Accuracy,GPS_Speed,GPS_Bearing,race_id
13,Авиастроительная 3,KD,1435599660544,Raw,0.114,5.047,9.012,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599661477,Raw,0.22,4.769,8.82,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599662494,Raw,0.871,3.955,9.289,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599663513,Raw,0.833,5.497,8.15,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599664536,Raw,0.277,5.114,7.91,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599665566,Raw,0.249,4.903,9.021,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599666585,Raw,0.325,4.242,8.561,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599667604,Raw,0.43,4.577,8.945,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599668624,Raw,-0.162,4.798,8.954,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599669642,Raw,-0.153,4.606,8.887,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599670659,Raw,-0.478,5.075,8.964,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599671678,Raw,-0.517,4.98,8.303,,,,,,,,,,,,,,,,1435599660
14,Авиастроительная 4,KD,1435599672064,Raw,-0.67,5.162,9.337,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599673227,Raw,0.057,4.587,9.213,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599674245,Raw,-0.507,3.533,9.931,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599675280,Raw,1.034,4.012,9.682,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599676306,Raw,1.139,3.706,9.874,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599677337,Raw,0.919,3.524,8.925,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599678361,Raw,1.857,4.213,12.21,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599679383,Raw,1.216,3.486,8.992,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599680401,Raw,1.254,3.85,10.056,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599681419,Raw,1.245,3.572,9.174,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599682443,Raw,0.756,3.275,9.529,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599683459,Raw,0.967,3.524,10.209,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599684475,Raw,0.986,3.313,10.467,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599685499,Raw,0.296,4.922,9.002,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599686513,Raw,0.335,4.731,9.567,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599687527,Raw,0.651,4.137,8.734,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599688545,Raw,-0.277,4.405,9.979,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599689558,Raw,-0.938,4.415,9.241,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599690576,Raw,-0.124,4.309,4.778,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599691593,Raw,-0.411,4.702,10.257,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599692606,Raw,0.153,4.644,8.772,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599693618,Raw,-0.114,4.654,10.123,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599694630,Raw,0.536,4.731,8.494,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599695642,Raw,-0.277,4.625,9.366,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599696654,Raw,-0.478,4.625,10.946,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599697666,Raw,-0.469,4.386,9.27,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599698679,Raw,0.153,4.137,9.596,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599699692,Raw,-0.469,4.348,9.098,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599700704,Raw,-0.335,4.041,8.571,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599701716,Raw,0.076,3.533,7.872,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599702727,Raw,0.316,4.539,8.925,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599703740,Raw,-0.105,3.869,9.912,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599704753,Raw,0.229,4.185,8.13,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599705769,Raw,0.067,4.549,9.031,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599706785,Raw,0.756,4.118,11.138,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599707800,Raw,0.574,4.233,8.743,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599708819,Raw,0.574,4.52,10.678,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599709837,Raw,-0.363,3.438,8.686,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599711120,Raw,-0.028,4.022,10.927,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599712131,Raw,0.124,4.003,8.37,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599713148,Raw,0.469,4.194,9.778,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599714168,Raw,1.024,3.917,10.477,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599715186,Raw,-0.105,3.715,9.519,,,,,,,,,,,,,,,,1435599660
