ID,Name,User,TimeStamp,Type,Accel_X,Accel_Y,Accel_Z,Azimuth,Pitch,Roll,Magnetic_X,Magnetic_Y,Magnetic_Z,Gyro_X,Gyro_Y,Gyro_Z,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Accuracy,GPS_Speed,GPS_Bearing
73,Суконная слобода 3,KD,1435600517567,Raw,-1.235,4.702,9.05,,,,,,,,,,,,,,,
,ServiceLog,KD,1435600517901,Raw,-0.766,4.769,8.964,,,,,,,,,,,,,,,
,ServiceLog,KD,1435600518919,Raw,-0.737,4.913,9.155,,,,,,,,,,,,,,,
,ServiceLog,KD,1435600519939,Raw,-0.852,5.037,8.724,,,,,,,,,,,,,,,
,ServiceLog,KD,1435600520962,Raw,-0.785,5.87,8.15,,,,,,,,,,,,,,,
,ServiceLog,KD,1435600521983,Raw,0.067,6.636,7.795,,,,,,,,,,,,,,,
,ServiceLog,KD,1435600523009,Raw,-0.057,6.502,7.661,,,,,,,,,,,,,,,
,ServiceLog,KD,1435600524028,Raw,0.086,6.531,7.977,,,,,,,,,,,,,,,
,ServiceLog,KD,1435600525047,Raw,-0.373,6.598,8.427,,,,,,,,,,,,,,,
,ServiceLog,KD,1435600526069,Raw,-0.335,6.694,7.795,,,,,,,,,,,,,,,
,ServiceLog,KD,1435600527092,Raw,-0.526,6.684,8.13,,,,,,,,,,,,,,,
,ServiceLog,KD,1435600528112,Raw,-0.555,6.684,8.025,,,,,,,,,,,,,,,
,ServiceLog,KD,1435600529131,Raw,-0.612,6.416,7.355,,,,,,,,,,,,,,,
74,Суконная слобода 4,KD,1435600529889,Raw,-0.679,6.091,7.929,,,,,,,,,,,,,,,
,ServiceLog,KD,1435600530151,Raw,-0.44,6.186,8.303,,,,,,,,,,,,,,,
,ServiceLog,KD,1435600531173,Raw,-0.67,5.717,8.466,,,,,,,,,,,,,,,
,ServiceLog,KD,1435600532205,Raw,0.153,5.775,8.044,,,,,,,,,,,,,,,
,ServiceLog,KD,1435600533226,Raw,-0.344,5.267,7.996,,,,,,,,,,,,,,,
