ID,Name,User,TimeStamp,Type,Accel_X,Accel_Y,Accel_Z,Azimuth,Pitch,Roll,Magnetic_X,Magnetic_Y,Magnetic_Z,Gyro_X,Gyro_Y,Gyro_Z,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Accuracy,GPS_Speed,GPS_Bearing
82,Аметьево 2,KD,1435601328149,Raw,-0.938,5.478,8.159,,,,,,,,,,,,,,,
,ServiceLog,KD,1435601328441,Raw,-0.239,5.64,9.04,,,,,,,,,,,,,,,
,ServiceLog,KD,1435601329470,Raw,0.114,5.037,11.023,,,,,,,,,,,,,,,
,ServiceLog,KD,1435601330487,Raw,-1.063,5.88,7.881,,,,,,,,,,,,,,,
,ServiceLog,KD,1435601331514,Raw,-0.411,6.043,8.293,,,,,,,,,,,,,,,
,ServiceLog,KD,1435601332536,Raw,-0.392,5.87,8.494,,,,,,,,,,,,,,,
,ServiceLog,KD,1435601333557,Raw,-0.383,5.861,8.408,,,,,,,,,,,,,,,
,ServiceLog,KD,1435601334578,Raw,-0.383,5.602,8.504,,,,,,,,,,,,,,,
,ServiceLog,KD,1435601335618,Raw,-0.287,5.593,8.485,,,,,,,,,,,,,,,
,ServiceLog,KD,1435601336633,Raw,-0.354,5.564,8.561,,,,,,,,,,,,,,,
,ServiceLog,KD,1435601337650,Raw,-0.344,5.612,8.456,,,,,,,,,,,,,,,
,ServiceLog,KD,1435601338674,Raw,-0.421,5.478,8.59,,,,,,,,,,,,,,,
,ServiceLog,KD,1435601339691,Raw,-0.555,5.248,8.648,,,,,,,,,,,,,,,
,ServiceLog,KD,1435601340709,Raw,-0.392,5.2,8.609,,,,,,,,,,,,,,,
,ServiceLog,KD,1435601341723,Raw,-0.335,5.19,8.925,,,,,,,,,,,,,,,
,ServiceLog,KD,1435601342738,Raw,-0.459,5.305,8.629,,,,,,,,,,,,,,,
,ServiceLog,KD,1435601343753,Raw,-0.421,5.277,8.724,,,,,,,,,,,,,,,
,ServiceLog,KD,1435601344772,Raw,-0.689,4.922,9.672,,,,,,,,,,,,,,,
83,Аметьево 3,KD,1435601344900,Raw,-0.172,5.487,8.734,,,,,,,,,,,,,,,
