ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power
2142,Pralietarskaja 2,Komzpa,1436096290253,3G,HSPAP,1,257,4,1000,9909140,-1,-81
,ServiceLog,Komzpa,1436096290793,3G,HSPAP,1,257,4,1000,9909140,-1,-81
,ServiceLog,Komzpa,1436096291815,3G,HSPAP,1,257,4,1000,9909140,-1,-81
,ServiceLog,Komzpa,1436096292848,3G,HSPAP,1,257,4,1000,9909140,-1,-81
,ServiceLog,Komzpa,1436096293865,3G,HSPAP,1,257,4,1000,9909140,-1,-81
,ServiceLog,Komzpa,1436096294884,3G,HSPAP,1,257,4,1000,9909140,-1,-81
,ServiceLog,Komzpa,1436096295900,3G,HSPAP,1,257,4,1000,9909140,-1,-81
,ServiceLog,Komzpa,1436096296922,3G,HSPAP,1,257,4,1000,9909140,-1,-81
,ServiceLog,Komzpa,1436096297943,3G,HSPAP,1,257,4,1000,9909140,-1,-81
,ServiceLog,Komzpa,1436096298966,3G,HSPAP,1,257,4,1000,9909140,-1,-81
,ServiceLog,Komzpa,1436096299985,3G,HSPAP,1,257,4,1000,9909140,-1,-81
,ServiceLog,Komzpa,1436096301003,3G,HSPAP,1,257,4,1000,9909140,-1,-81
,ServiceLog,Komzpa,1436096302019,3G,HSPAP,1,257,4,1000,9909140,-1,-81
,ServiceLog,Komzpa,1436096303038,3G,HSPAP,1,257,4,1000,9909140,-1,-81
,ServiceLog,Komzpa,1436096304059,3G,HSPAP,1,257,4,1000,9909140,-1,-81
,ServiceLog,Komzpa,1436096305123,3G,HSPAP,1,257,4,1000,9909140,-1,-81
,ServiceLog,Komzpa,1436096306143,3G,HSPAP,1,257,4,1000,9909140,-1,-81
,ServiceLog,Komzpa,1436096307167,3G,HSPAP,1,257,4,1000,9909140,-1,-81
,ServiceLog,Komzpa,1436096308218,3G,HSPAP,1,257,4,1000,9909140,-1,-81
,ServiceLog,Komzpa,1436096309241,3G,HSPAP,1,257,4,1000,9909140,-1,-79
,ServiceLog,Komzpa,1436096310272,3G,HSPAP,1,257,4,1000,9909140,-1,-79
,ServiceLog,Komzpa,1436096311297,3G,HSPAP,1,257,4,1000,9909140,-1,-79
,ServiceLog,Komzpa,1436096312317,3G,HSPAP,1,257,4,1000,9909140,-1,-79
,ServiceLog,Komzpa,1436096313338,3G,HSPAP,1,257,4,1000,9909140,-1,-79
,ServiceLog,Komzpa,1436096314358,3G,HSPAP,1,257,4,1000,9909140,-1,-79
2143,Pralietarskaja 3,Komzpa,1436096314508,3G,HSPAP,1,257,4,1000,9909140,-1,-79
