ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power,race_id
2133,Traktarny zavod 3,Komzpa,1436096152960,3G,HSDPA,1,257,4,1000,9909150,-1,-85,1436096152
,ServiceLog,Komzpa,1436096153565,3G,HSDPA,1,257,4,1000,9909150,-1,-87,1436096152
,ServiceLog,Komzpa,1436096154625,3G,HSDPA,1,257,4,1000,9909150,-1,-87,1436096152
,ServiceLog,Komzpa,1436096155639,3G,HSPAP,1,257,4,1000,9909150,-1,-87,1436096152
,ServiceLog,Komzpa,1436096156659,3G,HSPAP,1,257,4,1000,9909150,-1,-87,1436096152
,ServiceLog,Komzpa,1436096157677,3G,HSPAP,1,257,4,1000,9909150,-1,-89,1436096152
,ServiceLog,Komzpa,1436096158695,3G,HSPAP,1,257,4,1000,9909150,-1,-89,1436096152
,ServiceLog,Komzpa,1436096159715,3G,HSPAP,1,257,4,1000,9909150,-1,-89,1436096152
,ServiceLog,Komzpa,1436096160733,3G,HSPAP,1,257,4,1000,9909150,-1,-89,1436096152
,ServiceLog,Komzpa,1436096161749,3G,HSPAP,1,257,4,1000,9909150,-1,-89,1436096152
,ServiceLog,Komzpa,1436096162757,3G,HSDPA,1,257,4,1000,9909150,-1,-87,1436096152
2134,Traktarny zavod 4,Komzpa,1436096163121,3G,HSDPA,1,257,4,1000,9909150,-1,-87,1436096152
,ServiceLog,Komzpa,1436096163772,3G,HSDPA,1,257,4,1000,9909150,-1,-87,1436096152
,ServiceLog,Komzpa,1436096164784,3G,HSDPA,1,257,4,1000,9909150,-1,-87,1436096152
,ServiceLog,Komzpa,1436096165794,3G,HSDPA,1,257,4,1000,9909150,-1,-87,1436096152
,ServiceLog,Komzpa,1436096166812,3G,HSDPA,1,257,4,1000,9909150,-1,-85,1436096152
,ServiceLog,Komzpa,1436096167823,3G,HSPAP,1,257,4,1000,9909150,-1,-85,1436096152
,ServiceLog,Komzpa,1436096168833,3G,HSPAP,1,257,4,1000,9909150,-1,-85,1436096152
,ServiceLog,Komzpa,1436096169850,3G,HSPAP,1,257,4,1000,9909150,-1,-83,1436096152
,ServiceLog,Komzpa,1436096170904,3G,HSPAP,1,257,4,1000,9909150,-1,-79,1436096152
,ServiceLog,Komzpa,1436096171921,3G,HSPAP,1,257,4,1000,9909150,-1,-81,1436096152
