ID,Name,User,TimeStamp,Type,Accel_X,Accel_Y,Accel_Z,Azimuth,Pitch,Roll,Magnetic,Gyro_X,Gyro_Y,Gyro_Z,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Accuracy,GPS_Speed,GPS_Bearing,race_id
2132,Traktarny zavod 2,Komzpa,1436124763708,Raw,0.2873042,5.305551,8.590396,167.12492,-31.596476,0.53178716,-3.8999999,-0.028710667,0.113926366,-0.062002823,53.9100137989,27.494935451,255.603404863,6.0,1.1600642,130.12122,1436124629
,ServiceLog,Komzpa,1436124764318,Raw,0.19153613,5.2385135,8.446744,162.65942,-30.918013,1.4148557,-4.5,-0.028099801,0.057726767,0.016798794,53.9100137989,27.494935451,255.603404863,6.0,1.1600642,130.12122,1436124629
,ServiceLog,Komzpa,1436124765342,Raw,0.5650316,5.3247046,8.255207,169.16843,-32.11969,2.220664,-3.1799998,0.0021380284,-0.13439035,0.06505715,53.9100137989,27.494935451,255.603404863,6.0,1.1600642,130.12122,1436124629
,ServiceLog,Komzpa,1436124766361,Raw,0.40222588,5.0757074,8.571242,170.4212,-30.90496,2.8721488,-2.04,-0.030848695,-0.008552114,0.06352998,53.9100137989,27.494935451,255.603404863,6.0,1.1600642,130.12122,1436124629
,ServiceLog,Komzpa,1436124767377,Raw,0.60333884,5.0757074,8.628703,169.15457,-30.219704,3.588773,-2.22,-0.06505715,-0.07391469,0.057726767,53.9100137989,27.494935451,255.603404863,6.0,1.1600642,130.12122,1436124629
,ServiceLog,Komzpa,1436124768393,Raw,0.4405331,5.171476,8.504205,170.94315,-31.681627,3.0979805,-2.28,-0.025350908,-0.112399206,0.06872234,53.9100137989,27.494935451,255.603404863,6.0,1.1600642,130.12122,1436124629
,ServiceLog,Komzpa,1436124769410,Raw,0.51714754,5.401319,8.465898,169.76501,-32.523,3.0749052,-2.46,-0.040317107,-0.082161374,0.02076942,53.9100137989,27.494935451,255.603404863,6.0,1.1600642,130.12122,1436124629
,ServiceLog,Komzpa,1436124770428,Raw,0.41180268,5.315128,8.350976,168.0294,-32.37666,3.1576748,-3.06,-0.02076942,-0.008552114,0.02687807,53.9100137989,27.494935451,255.603404863,6.0,1.1600642,130.12122,1436124629
,ServiceLog,Komzpa,1436124771446,Raw,0.37349546,5.439626,8.513782,170.16139,-32.643173,3.053706,-2.22,-0.021380283,0.0027488936,0.0076358155,53.9100137989,27.494935451,255.603404863,6.0,1.1600642,130.12122,1436124629
,ServiceLog,Komzpa,1436124772465,Raw,0.37349546,5.401319,8.379706,168.73235,-32.60276,2.9224067,-2.76,-0.032070424,0.01740966,0.021991149,53.9100137989,27.494935451,255.603404863,6.0,1.1600642,130.12122,1436124629
,ServiceLog,Komzpa,1436124773482,Raw,0.41180268,5.410896,8.456321,168.9581,-32.566845,2.7809792,-2.6399999,-0.016798794,0.0290161,0.02565634,53.9100137989,27.494935451,255.603404863,6.0,1.1600642,130.12122,1436124629
,ServiceLog,Komzpa,1436124774499,Raw,0.2873042,5.391742,8.322245,169.70091,-32.71146,2.5392504,-2.52,-0.030848695,-0.009773844,0.021991149,53.9100137989,27.494935451,255.603404863,6.0,1.1600642,130.12122,1436124629
,ServiceLog,Komzpa,1436124775516,Raw,0.45968673,5.4204726,8.571242,170.957,-32.50663,2.6476498,-2.1599998,-0.028405234,0.03390302,0.01863139,53.9100137989,27.494935451,255.603404863,6.0,1.1600642,130.12122,1436124629
,ServiceLog,Komzpa,1436124776534,Raw,0.38307226,5.353435,8.312668,171.15788,-32.540382,2.5451539,-1.92,-0.022602014,0.018325957,0.005192355,53.9100137989,27.494935451,255.603404863,6.0,1.1600642,130.12122,1436124629
,ServiceLog,Komzpa,1436124777557,Raw,0.36391866,5.3821654,8.341399,168.88019,-32.477024,2.5143733,-2.46,-0.038789943,-0.00030543262,0.0290161,53.9100137989,27.494935451,255.603404863,6.0,1.1600642,130.12122,1436124629
,ServiceLog,Komzpa,1436124778596,Raw,0.39264908,5.439626,8.312668,162.7632,-32.34142,2.6480258,-7.8599997,-0.049480084,0.022907447,0.02076942,53.9100137989,27.494935451,255.603404863,6.0,1.1600642,130.12122,1436124629
,ServiceLog,Komzpa,1436124779614,Raw,1.484405,5.0661306,8.2169,81.58796,-32.807148,3.1854653,-55.92,0.058948494,-0.07422013,-0.03726278,53.9100137989,27.494935451,255.603404863,6.0,1.1600642,130.12122,1436124629
,ServiceLog,Komzpa,1436124780652,Raw,0.81402856,5.5641246,8.0445175,83.31971,-34.32359,7.19216,-52.86,-0.047036625,0.102319926,-0.0067195175,53.9100137989,27.494935451,255.603404863,6.0,1.1600642,130.12122,1436124629
2133,Traktarny zavod 3,Komzpa,1436124781279,Raw,1.6184803,5.4300494,7.833828,85.023186,-33.695694,11.233466,-49.5,0.15210545,0.29657507,0.002443461,53.9100137989,27.494935451,255.603404863,6.0,1.1600642,130.12122,1436124629
