ID,Name,User,TimeStamp,Type,Accel_X,Accel_Y,Accel_Z,Azimuth,Pitch,Roll,Magnetic,Gyro_X,Gyro_Y,Gyro_Z,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Accuracy,GPS_Speed,GPS_Bearing,race_id
2143,Pralietarskaja 3,Komzpa,1436096314508,Raw,-0.1340753,2.5761611,9.940725,31.511139,-15.379534,-1.8307569,-29.039999,0.044593163,-0.00030543262,-0.013439035,53.8727569351,27.619014582,201.573537243,24.0,0.0,-1.0,1436096314
,ServiceLog,Komzpa,1436096315380,Raw,0.81402856,2.231396,10.036493,13.73596,-13.546102,5.2982473,-27.06,-0.0711658,0.13591751,0.043066,53.8727569351,27.619014582,201.573537243,24.0,0.0,-1.0,1436096314
,ServiceLog,Komzpa,1436096316403,Raw,0.05746084,2.2984335,10.0269165,18.122774,-14.053266,0.3241182,-19.439999,-0.08735373,-0.0421497,0.04795292,53.8727569351,27.619014582,201.573537243,24.0,0.0,-1.0,1436096314
,ServiceLog,Komzpa,1436096317420,Raw,0.19153613,2.3942018,9.77792,17.54287,-13.693878,0.7330634,-19.32,-0.007941248,0.040317107,0.023518313,53.8727569351,27.619014582,201.573537243,24.0,0.0,-1.0,1436096314
,ServiceLog,Komzpa,1436096318437,Raw,0.11492168,2.5187001,9.643845,23.116476,-13.489727,0.68526596,-22.74,0.039095376,0.003970624,-0.004581489,53.8727569351,27.619014582,201.573537243,24.0,0.0,-1.0,1436096314
,ServiceLog,Komzpa,1436096319460,Raw,0.25857377,2.432509,9.864111,30.476608,-13.950688,0.59968424,-27.3,0.04337143,0.101098195,0.00030543262,53.8727569351,27.619014582,201.573537243,24.0,0.0,-1.0,1436096314
,ServiceLog,Komzpa,1436096320484,Raw,1.283292,2.72939,9.471462,242.03653,-13.551831,3.0939145,22.199999,-0.28313604,-0.122783914,0.24007004,53.8727569351,27.619014582,201.573537243,24.0,0.0,-1.0,1436096314
,ServiceLog,Komzpa,1436096321504,Raw,0.047884032,1.8962077,10.01734,23.480574,-12.328046,1.081832,-12.3,-0.106595986,0.04337143,0.03359759,53.8727569351,27.619014582,201.573537243,24.0,0.0,-1.0,1436096314
,ServiceLog,Komzpa,1436096322543,Raw,0.5650316,2.5187001,10.007763,60.97684,-14.970344,2.5874348,-21.359999,-0.13713925,0.18234327,0.1563815,53.8727569351,27.619014582,201.573537243,24.0,0.0,-1.0,1436096314
,ServiceLog,Komzpa,1436096323559,Raw,0.36391866,2.7006595,9.691729,40.725925,-13.522862,1.9776921,-15.0,0.0067195175,0.028099801,-0.045814894,53.8727569351,27.619014582,201.573537243,24.0,0.0,-1.0,1436096314
,ServiceLog,Komzpa,1436096324590,Raw,0.038307227,2.2409728,9.816227,1.656636,-12.6426,0.9795673,0.65999997,-0.008246681,0.026267206,0.047647487,53.8727569351,27.619014582,201.573537243,24.0,0.0,-1.0,1436096314
,ServiceLog,Komzpa,1436096325599,Raw,0.33518824,2.2218192,9.988609,25.231768,-11.991621,1.8790773,-13.32,-0.0030543262,-0.06352998,0.11026118,53.8727569351,27.619014582,201.573537243,24.0,0.0,-1.0,1436096314
2144,Pralietarskaja 4,Komzpa,1436096326132,Raw,0.4309563,2.825158,9.768343,39.06621,-13.619813,1.278292,-14.5199995,0.021685716,-0.16126843,0.038789943,53.8727569351,27.619014582,201.573537243,24.0,0.0,-1.0,1436096314
,ServiceLog,Komzpa,1436096326609,Raw,0.40222588,2.566584,9.739613,55.129818,-14.148112,1.8443825,-16.44,-0.04062254,-0.008552114,0.05681047,53.8727569351,27.619014582,201.573537243,24.0,0.0,-1.0,1436096314
,ServiceLog,Komzpa,1436096327627,Raw,-0.16280572,3.0454245,9.873688,110.60708,-17.626333,0.040472772,-19.14,0.044898596,0.22724187,-0.057421334,53.8727569351,27.619014582,201.573537243,24.0,0.0,-1.0,1436096314
,ServiceLog,Komzpa,1436096328648,Raw,-0.39264908,3.3039982,9.921572,89.592705,-19.434944,-1.3132302,-4.56,-0.17470746,-0.052839845,0.122478485,53.8727569351,27.619014582,201.573537243,24.0,0.0,-1.0,1436096314
,ServiceLog,Komzpa,1436096329674,Raw,0.1436521,2.2888567,9.940725,51.567585,-12.545383,2.2070231,-16.8,-0.03726278,0.0076358155,-0.00061086525,53.8727569351,27.619014582,201.573537243,24.0,0.0,-1.0,1436096314
,ServiceLog,Komzpa,1436096330693,Raw,-0.23942018,2.566584,9.9790325,40.42876,-14.636921,-0.75917757,-14.219999,-0.03573562,0.11362094,0.025045475,53.8727569351,27.619014582,201.573537243,24.0,0.0,-1.0,1436096314
,ServiceLog,Komzpa,1436096331727,Raw,0.33518824,2.6240451,10.141838,47.268337,-15.890077,1.0754569,-15.96,0.10842858,-0.15210545,-0.008246681,53.8727569351,27.619014582,201.573537243,24.0,0.0,-1.0,1436096314
,ServiceLog,Komzpa,1436096332743,Raw,-0.06703765,3.1124623,9.270349,108.91163,-19.731485,2.1274745,-34.62,-0.014966198,0.18051068,-0.07086037,53.8727569351,27.619014582,201.573537243,24.0,0.0,-1.0,1436096314
