ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power,race_id
53,Красносельская 3,yellow,1424850101265,3G,UMTS,1,250,1,660,6929880,-1,-85,1424850101
53,Красносельская 3,yellow,1424850101265,3G,UMTS,250-1-660-6929880,250,1,-1,-1,239,31,1424850101
,ServiceLog,yellow,1424850101708,3G,HSPAP,1,250,1,660,6929880,-1,-85,1424850101
,ServiceLog,yellow,1424850101708,3G,UMTS,250-1-660-6929880,250,1,-1,-1,239,31,1424850101
,ServiceLog,yellow,1424850103010,3G,HSPAP,1,250,1,660,6929880,-1,-91,1424850101
,ServiceLog,yellow,1424850103010,3G,UMTS,250-1-660-6929880,250,1,-1,-1,239,31,1424850101
,ServiceLog,yellow,1424850104033,3G,HSPAP,1,250,1,660,6929880,-1,-91,1424850101
,ServiceLog,yellow,1424850104033,3G,UMTS,250-1-660-6929880,250,1,-1,-1,239,27,1424850101
,ServiceLog,yellow,1424850105064,3G,HSPAP,1,250,1,660,6929880,-1,-85,1424850101
,ServiceLog,yellow,1424850105064,3G,UMTS,250-1-660-6929880,250,1,-1,-1,239,27,1424850101
,ServiceLog,yellow,1424850106095,3G,UMTS,1,250,1,660,6929880,-1,-85,1424850101
,ServiceLog,yellow,1424850106095,3G,UMTS,250-1-660-6929880,250,1,-1,-1,239,27,1424850101
,ServiceLog,yellow,1424850107124,3G,UMTS,1,250,1,660,6929880,-1,-85,1424850101
,ServiceLog,yellow,1424850107124,3G,UMTS,250-1-660-6929880,250,1,-1,-1,239,27,1424850101
,ServiceLog,yellow,1424850108150,3G,UMTS,1,250,1,660,6929880,-1,-91,1424850101
,ServiceLog,yellow,1424850108150,3G,UMTS,250-1-660-6929880,250,1,-1,-1,239,27,1424850101
,ServiceLog,yellow,1424850109187,3G,UMTS,1,250,1,660,6929880,-1,-91,1424850101
,ServiceLog,yellow,1424850109187,3G,UMTS,250-1-660-6929880,250,1,-1,-1,239,23,1424850101
,ServiceLog,yellow,1424850110221,3G,UMTS,1,250,1,660,6929880,-1,-91,1424850101
,ServiceLog,yellow,1424850110221,3G,UMTS,250-1-660-6929880,250,1,-1,-1,239,23,1424850101
,ServiceLog,yellow,1424850111256,3G,UMTS,1,250,1,660,6929880,-1,-91,1424850101
,ServiceLog,yellow,1424850111256,3G,UMTS,250-1-660-6929880,250,1,-1,-1,239,23,1424850101
,ServiceLog,yellow,1424850112289,3G,UMTS,1,250,1,660,6929880,-1,-91,1424850101
,ServiceLog,yellow,1424850112289,3G,UMTS,250-1-660-6929880,250,1,-1,-1,239,23,1424850101
,ServiceLog,yellow,1424850113326,3G,UMTS,1,250,1,660,6929880,-1,-91,1424850101
,ServiceLog,yellow,1424850113326,3G,UMTS,250-1-660-6929880,250,1,-1,-1,239,23,1424850101
54,Красносельская 4,yellow,1424850113995,3G,UMTS,1,250,1,660,6929880,-1,-91,1424850101
54,Красносельская 4,yellow,1424850113995,3G,UMTS,250-1-660-6929880,250,1,-1,-1,239,23,1424850101
,ServiceLog,yellow,1424850114365,3G,UMTS,1,250,1,660,6929880,-1,-91,1424850101
,ServiceLog,yellow,1424850114365,3G,UMTS,250-1-660-6929880,250,1,-1,-1,239,21,1424850101
,ServiceLog,yellow,1424850115401,3G,UMTS,1,250,1,660,6929880,-1,-91,1424850101
,ServiceLog,yellow,1424850115401,3G,UMTS,250-1-660-6929880,250,1,-1,-1,239,21,1424850101
,ServiceLog,yellow,1424850116428,3G,UMTS,1,250,1,660,6929880,-1,-91,1424850101
,ServiceLog,yellow,1424850116428,3G,UMTS,250-1-660-6929880,250,1,-1,-1,239,21,1424850101
,ServiceLog,yellow,1424850117448,3G,UMTS,1,250,1,660,6929880,-1,-91,1424850101
,ServiceLog,yellow,1424850117448,3G,UMTS,250-1-660-6929880,250,1,-1,-1,239,21,1424850101
,ServiceLog,yellow,1424850118474,3G,UMTS,1,250,1,660,6929880,-1,-91,1424850101
,ServiceLog,yellow,1424850118474,3G,UMTS,250-1-660-6929880,250,1,-1,-1,239,21,1424850101
,ServiceLog,yellow,1424850119502,3G,UMTS,1,250,1,660,6929880,-1,-91,1424850101
,ServiceLog,yellow,1424850119502,3G,UMTS,250-1-660-6929880,250,1,-1,-1,239,17,1424850101
,ServiceLog,yellow,1424850119502,3G,UMTS,250-1-660-6929880,250,1,-1,-1,239,11,1424850101
,ServiceLog,yellow,1424850120529,3G,UMTS,1,250,1,660,6929880,-1,-91,1424850101
,ServiceLog,yellow,1424850120529,3G,UMTS,250-1-660-6929880,250,1,-1,-1,239,17,1424850101
,ServiceLog,yellow,1424850120529,3G,UMTS,250-1-660-6929880,250,1,-1,-1,239,11,1424850101
,ServiceLog,yellow,1424850121562,3G,UMTS,1,250,1,660,6929880,-1,-91,1424850101
,ServiceLog,yellow,1424850121562,3G,UMTS,250-1-660-6929880,250,1,-1,-1,239,17,1424850101
,ServiceLog,yellow,1424850121562,3G,UMTS,250-1-660-6929880,250,1,-1,-1,239,11,1424850101
