ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power,race_id
163,Воробьёвы горы 3,User1,1435814728352,3G,HSDPA,1,250,99,65003,70611567,-1,-85,1435814728
,ServiceLog,User1,1435814729170,3G,HSDPA,1,250,99,65003,70611567,-1,-85,1435814728
,ServiceLog,User1,1435814730197,3G,HSDPA,1,250,99,65003,70611567,-1,-85,1435814728
,ServiceLog,User1,1435814731233,3G,HSDPA,1,250,99,65003,70611567,-1,-85,1435814728
,ServiceLog,User1,1435814732302,3G,HSDPA,1,250,99,65003,70611567,-1,-85,1435814728
,ServiceLog,User1,1435814733440,3G,HSDPA,1,250,99,65003,70611567,-1,-85,1435814728
,ServiceLog,User1,1435814734459,3G,HSDPA,1,250,99,65003,70611567,-1,-85,1435814728
,ServiceLog,User1,1435814735539,3G,HSDPA,1,250,99,65003,70611567,-1,-85,1435814728
,ServiceLog,User1,1435814736576,3G,HSDPA,1,250,99,65003,70611567,-1,-85,1435814728
,ServiceLog,User1,1435814737664,3G,HSDPA,1,250,99,65003,70611567,-1,-87,1435814728
,ServiceLog,User1,1435814738848,3G,HSDPA,1,250,99,65003,70611567,-1,-87,1435814728
,ServiceLog,User1,1435814739894,3G,HSDPA,1,250,99,65003,70611567,-1,-87,1435814728
,ServiceLog,User1,1435814740925,3G,HSDPA,1,250,99,65003,70611567,-1,-87,1435814728
,ServiceLog,User1,1435814741955,3G,HSDPA,1,250,99,65003,70611567,-1,-87,1435814728
,ServiceLog,User1,1435814743081,3G,HSDPA,1,250,99,65003,70611567,-1,-87,1435814728
,ServiceLog,User1,1435814744160,3G,HSDPA,1,250,99,65003,70611567,-1,-87,1435814728
,ServiceLog,User1,1435814745293,3G,HSDPA,1,250,99,65003,70611567,-1,-87,1435814728
,ServiceLog,User1,1435814746356,3G,HSDPA,1,250,99,65003,70611567,-1,-87,1435814728
,ServiceLog,User1,1435814747399,3G,HSDPA,1,250,99,65003,70611567,-1,-87,1435814728
,ServiceLog,User1,1435814748442,3G,HSDPA,1,250,99,65003,70611567,-1,-87,1435814728
164,Воробьёвы горы 4,User1,1435814749157,3G,HSDPA,1,250,99,65003,70611567,-1,-87,1435814728
,ServiceLog,User1,1435814749609,3G,HSDPA,1,250,99,65003,70611567,-1,-87,1435814728
,ServiceLog,User1,1435814750626,3G,HSDPA,1,250,99,65003,70611567,-1,-87,1435814728
,ServiceLog,User1,1435814751661,3G,HSDPA,1,250,99,65003,70611567,-1,-87,1435814728
,ServiceLog,User1,1435814752692,3G,HSDPA,1,250,99,65003,70611567,-1,-87,1435814728
,ServiceLog,User1,1435814753744,3G,HSDPA,1,250,99,65003,70611567,-1,-87,1435814728
,ServiceLog,User1,1435814754846,3G,HSDPA,1,250,99,65003,70611567,-1,-89,1435814728
,ServiceLog,User1,1435814755879,3G,HSDPA,1,250,99,65003,70619882,-1,-89,1435814728
,ServiceLog,User1,1435814756891,3G,HSDPA,1,250,99,65003,70619882,-1,-93,1435814728
,ServiceLog,User1,1435814757956,3G,HSDPA,1,250,99,65003,70611567,-1,-99,1435814728
,ServiceLog,User1,1435814759002,3G,HSDPA,1,250,99,65003,70611567,-1,-99,1435814728
,ServiceLog,User1,1435814760015,3G,HSDPA,1,250,99,65003,70611567,-1,-103,1435814728
,ServiceLog,User1,1435814761038,3G,HSDPA,1,250,99,65003,70611567,-1,-103,1435814728
,ServiceLog,User1,1435814762059,3G,HSDPA,1,250,99,65003,70611567,-1,-103,1435814728
,ServiceLog,User1,1435814763080,3G,HSDPA,1,250,99,65003,70611567,-1,-109,1435814728
,ServiceLog,User1,1435814764136,3G,HSDPA,1,250,99,65003,70611567,-1,-109,1435814728
,ServiceLog,User1,1435814765155,3G,HSDPA,1,250,99,65003,70611567,-1,-109,1435814728
,ServiceLog,User1,1435814766199,3G,HSDPA,1,250,99,65003,70611567,-1,-109,1435814728
,ServiceLog,User1,1435814767253,3G,HSDPA,1,250,99,65003,70611567,-1,-109,1435814728
,ServiceLog,User1,1435814768300,3G,HSDPA,1,250,99,65003,70611567,-1,-109,1435814728
,ServiceLog,User1,1435814769362,3G,HSDPA,1,250,99,65003,70611567,-1,-109,1435814728
,ServiceLog,User1,1435814770520,3G,HSDPA,1,250,99,65003,70611567,-1,-109,1435814728
,ServiceLog,User1,1435814771565,3G,HSDPA,1,250,99,65003,70611567,-1,-109,1435814728
,ServiceLog,User1,1435814772589,3G,HSDPA,1,250,99,65003,70611567,-1,-109,1435814728
,ServiceLog,User1,1435814773616,3G,HSDPA,1,250,99,65003,70611567,-1,-109,1435814728
,ServiceLog,User1,1435814774681,3G,HSDPA,1,250,99,65003,70611567,-1,-109,1435814728
,ServiceLog,User1,1435814775799,3G,HSDPA,1,250,99,65003,70611567,-1,-109,1435814728
,ServiceLog,User1,1435814776871,3G,HSDPA,1,250,99,65003,70611567,-1,-109,1435814728
,ServiceLog,User1,1435814777985,3G,HSDPA,1,250,99,65003,70611567,-1,-109,1435814728
,ServiceLog,User1,1435814779122,3G,HSDPA,1,250,99,65003,70611567,-1,-109,1435814728
,ServiceLog,User1,1435814780178,3G,HSDPA,1,250,99,65003,70611567,-1,-109,1435814728
,ServiceLog,User1,1435814781215,3G,HSDPA,1,250,99,65003,70611567,-1,-109,1435814728
,ServiceLog,User1,1435814782262,3G,HSDPA,1,250,99,65003,70611567,-1,-109,1435814728
,ServiceLog,User1,1435814783345,3G,HSDPA,1,250,99,65003,70611567,-1,-109,1435814728
,ServiceLog,User1,1435814784394,3G,HSDPA,1,250,99,65003,70611567,-1,-109,1435814728
,ServiceLog,User1,1435814785539,3G,HSDPA,1,250,99,65003,70611567,-1,-109,1435814728
,ServiceLog,User1,1435814786576,3G,HSDPA,1,250,99,65003,70611567,-1,-109,1435814728
,ServiceLog,User1,1435814787615,3G,HSDPA,1,250,99,65003,70611567,-1,-109,1435814728
