ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power,session_id,race_id
222,Орехово 2,Andrey,1435906834341,2G,EDGE,1,250,2,7765,1500,-1,-67,77603657,1435906670
,ServiceLog,Andrey,1435906834729,2G,EDGE,1,250,2,7765,1500,-1,-71,77603657,1435906670
,ServiceLog,Andrey,1435906835749,2G,EDGE,1,250,2,7765,1500,-1,-71,77603657,1435906670
,ServiceLog,Andrey,1435906836803,2G,EDGE,1,250,2,7765,1500,-1,-73,77603657,1435906670
,ServiceLog,Andrey,1435906837840,2G,EDGE,1,250,2,7765,1500,-1,-75,77603657,1435906670
,ServiceLog,Andrey,1435906838995,2G,EDGE,1,250,2,7765,1500,-1,-75,77603657,1435906670
,ServiceLog,Andrey,1435906840038,2G,EDGE,1,250,2,7765,1500,-1,-75,77603657,1435906670
,ServiceLog,Andrey,1435906841125,2G,EDGE,1,250,2,7765,1500,-1,-75,77603657,1435906670
,ServiceLog,Andrey,1435906842166,2G,EDGE,1,250,2,7765,1500,-1,-77,77603657,1435906670
,ServiceLog,Andrey,1435906843223,2G,EDGE,1,250,2,7765,1500,-1,-77,77603657,1435906670
,ServiceLog,Andrey,1435906844255,2G,EDGE,1,250,2,7765,1500,-1,-77,77603657,1435906670
,ServiceLog,Andrey,1435906845287,2G,EDGE,1,250,2,7765,1500,-1,-77,77603657,1435906670
,ServiceLog,Andrey,1435906846340,2G,EDGE,1,250,2,7765,1500,-1,-77,77603657,1435906670
,ServiceLog,Andrey,1435906847364,2G,EDGE,1,250,2,7765,1500,-1,-77,77603657,1435906670
,ServiceLog,Andrey,1435906848414,2G,EDGE,1,250,2,7765,1500,-1,-79,77603657,1435906670
,ServiceLog,Andrey,1435906849482,2G,EDGE,1,250,2,7765,1500,-1,-79,77603657,1435906670
,ServiceLog,Andrey,1435906850540,2G,EDGE,1,250,2,7765,1500,-1,-79,77603657,1435906670
,ServiceLog,Andrey,1435906851583,2G,EDGE,1,250,2,7765,1500,-1,-79,77603657,1435906670
,ServiceLog,Andrey,1435906852631,2G,EDGE,1,250,2,7765,1500,-1,-77,77603657,1435906670
,ServiceLog,Andrey,1435906853688,2G,EDGE,1,250,2,7765,1500,-1,-77,77603657,1435906670
,ServiceLog,Andrey,1435906854723,2G,EDGE,1,250,2,7765,1500,-1,-77,77603657,1435906670
,ServiceLog,Andrey,1435906855763,2G,EDGE,1,250,2,7765,1500,-1,-77,77603657,1435906670
,ServiceLog,Andrey,1435906856793,2G,EDGE,1,250,2,7765,1500,-1,-77,77603657,1435906670
,ServiceLog,Andrey,1435906857830,2G,EDGE,1,250,2,7765,1500,-1,-77,77603657,1435906670
223,Орехово 3,Andrey,1435906858440,2G,EDGE,1,250,2,7765,1500,-1,-77,77603657,1435906670
