ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power,race_id
503,Партизанская 3,taimyr,1424274323386,unknown,unknown,1,250,99,26627,4055,-1,-91,1424274323
,ServiceLog,taimyr,1424274323980,unknown,unknown,1,250,99,26627,4055,-1,-91,1424274323
,ServiceLog,taimyr,1424274325035,unknown,unknown,1,250,99,26627,4055,-1,-91,1424274323
,ServiceLog,taimyr,1424274326070,unknown,unknown,1,250,99,26627,4055,-1,-91,1424274323
,ServiceLog,taimyr,1424274327105,unknown,unknown,1,250,99,26627,4055,-1,-93,1424274323
,ServiceLog,taimyr,1424274328141,unknown,unknown,1,250,99,26627,4055,-1,-93,1424274323
,ServiceLog,taimyr,1424274329204,unknown,unknown,1,250,99,26627,4055,-1,-93,1424274323
,ServiceLog,taimyr,1424274330243,unknown,unknown,1,250,99,26627,4055,-1,-93,1424274323
,ServiceLog,taimyr,1424274331290,unknown,unknown,1,250,99,26627,4055,-1,-93,1424274323
,ServiceLog,taimyr,1424274332319,unknown,unknown,1,250,99,26627,4055,-1,-93,1424274323
,ServiceLog,taimyr,1424274333374,unknown,unknown,1,250,99,26627,4055,-1,-93,1424274323
,ServiceLog,taimyr,1424274334456,unknown,unknown,1,250,99,26627,4055,-1,-93,1424274323
,ServiceLog,taimyr,1424274335507,unknown,unknown,1,250,99,26627,4055,-1,-93,1424274323
,ServiceLog,taimyr,1424274336564,unknown,unknown,1,250,99,26627,4055,-1,-93,1424274323
,ServiceLog,taimyr,1424274337628,unknown,unknown,1,250,99,26627,4055,-1,-93,1424274323
,ServiceLog,taimyr,1424274338658,unknown,unknown,1,250,99,26627,4055,-1,-93,1424274323
,ServiceLog,taimyr,1424274339712,unknown,unknown,1,250,99,26627,4055,-1,-93,1424274323
,ServiceLog,taimyr,1424274340746,unknown,unknown,1,250,99,26627,4055,-1,-93,1424274323
,ServiceLog,taimyr,1424274341787,unknown,unknown,1,250,99,26627,4055,-1,-93,1424274323
504,Партизанская 4,taimyr,1424274342433,unknown,unknown,1,250,99,26627,4055,-1,-93,1424274323
,ServiceLog,taimyr,1424274342833,unknown,unknown,1,250,99,26627,4055,-1,-93,1424274323
,ServiceLog,taimyr,1424274343874,unknown,unknown,1,250,99,26627,4055,-1,-89,1424274323
,ServiceLog,taimyr,1424274344915,unknown,unknown,1,250,99,26627,4055,-1,-89,1424274323
,ServiceLog,taimyr,1424274345932,unknown,unknown,1,250,99,26627,4055,-1,-89,1424274323
,ServiceLog,taimyr,1424274346944,unknown,unknown,1,250,99,26627,4055,-1,-89,1424274323
,ServiceLog,taimyr,1424274347963,unknown,unknown,1,250,99,26627,4055,-1,-89,1424274323
,ServiceLog,taimyr,1424274348995,unknown,unknown,1,250,99,26627,4055,-1,-89,1424274323
,ServiceLog,taimyr,1424274350013,unknown,unknown,1,250,99,26627,4055,-1,-89,1424274323
,ServiceLog,taimyr,1424274351027,unknown,unknown,1,250,99,26627,4055,-1,-89,1424274323
,ServiceLog,taimyr,1424274352048,unknown,unknown,1,250,99,26627,4055,-1,-89,1424274323
,ServiceLog,taimyr,1424274353093,unknown,unknown,1,250,99,26627,4055,-1,-89,1424274323
,ServiceLog,taimyr,1424274354104,unknown,unknown,1,250,99,26627,4055,-1,-89,1424274323
,ServiceLog,taimyr,1424274355133,unknown,unknown,1,250,99,26627,4055,-1,-89,1424274323
,ServiceLog,taimyr,1424274356191,unknown,unknown,1,250,99,26627,4055,-1,-89,1424274323
,ServiceLog,taimyr,1424274357238,unknown,unknown,1,250,99,26627,4055,-1,-89,1424274323
,ServiceLog,taimyr,1424274358283,unknown,unknown,1,250,99,26627,4055,-1,-89,1424274323
,ServiceLog,taimyr,1424274359325,unknown,unknown,1,250,99,26627,4055,-1,-89,1424274323
,ServiceLog,taimyr,1424274360373,unknown,unknown,1,250,99,26627,4055,-1,-89,1424274323
,ServiceLog,taimyr,1424274361428,unknown,unknown,1,250,99,26627,4055,-1,-89,1424274323
,ServiceLog,taimyr,1424274362474,unknown,unknown,1,250,99,26627,4055,-1,-91,1424274323
,ServiceLog,taimyr,1424274363529,unknown,unknown,1,250,99,26627,4055,-1,-91,1424274323
,ServiceLog,taimyr,1424274364591,unknown,unknown,1,250,99,26627,4055,-1,-91,1424274323
,ServiceLog,taimyr,1424274365643,unknown,unknown,1,250,99,26627,4055,-1,-91,1424274323
,ServiceLog,taimyr,1424274366690,unknown,unknown,1,250,99,26627,4055,-1,-91,1424274323
,ServiceLog,taimyr,1424274367742,unknown,unknown,1,250,99,26627,4055,-1,-91,1424274323
,ServiceLog,taimyr,1424274368783,unknown,unknown,1,250,99,26627,4055,-1,-91,1424274323
,ServiceLog,taimyr,1424274369838,unknown,unknown,1,250,99,26627,4055,-1,-89,1424274323
,ServiceLog,taimyr,1424274370904,unknown,unknown,1,250,99,26627,4055,-1,-89,1424274323
