ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power
693,Проспект Мира (КЛЦ) 3,Kolka,1433357240215,3G,HSPA,1,250,99,26627,129593727,-1,-91
693,Проспект Мира (КЛЦ) 3,Kolka,1433357240215,3G,UMTS,250-99-26627-129593727,-1,-1,-1,-1,62,21
,ServiceLog,Kolka,1433357241161,3G,HSPA,1,250,99,26627,129593727,-1,-91
,ServiceLog,Kolka,1433357241161,3G,UMTS,250-99-26627-129593727,-1,-1,-1,-1,62,21
,ServiceLog,Kolka,1433357242191,3G,HSPA,1,250,99,26627,129593727,-1,-91
,ServiceLog,Kolka,1433357242191,3G,UMTS,250-99-26627-129593727,-1,-1,-1,-1,62,21
,ServiceLog,Kolka,1433357243227,3G,HSPA,1,250,99,26627,129593727,-1,-91
,ServiceLog,Kolka,1433357243227,3G,UMTS,250-99-26627-129593727,-1,-1,-1,-1,62,16
,ServiceLog,Kolka,1433357244263,3G,UMTS,250-99-26627-129593727,-1,-1,-1,-1,62,16
,ServiceLog,Kolka,1433357244263,3G,HSPA,1,250,99,26627,129593727,-1,-91
,ServiceLog,Kolka,1433357245306,3G,UMTS,250-99-26627-129593727,-1,-1,-1,-1,62,16
,ServiceLog,Kolka,1433357245306,3G,HSPA,1,250,99,26627,129593727,-1,-91
,ServiceLog,Kolka,1433357246343,3G,HSPA,1,250,99,26627,129593727,-1,-91
,ServiceLog,Kolka,1433357246343,3G,UMTS,250-99-26627-129593727,-1,-1,-1,-1,62,16
,ServiceLog,Kolka,1433357247382,3G,HSPA,1,250,99,26627,129593727,-1,-91
,ServiceLog,Kolka,1433357247382,3G,UMTS,250-99-26627-129593727,-1,-1,-1,-1,62,16
,ServiceLog,Kolka,1433357248422,3G,HSPA,1,250,99,26627,129593727,-1,-91
,ServiceLog,Kolka,1433357248422,3G,UMTS,250-99-26627-129593727,-1,-1,-1,-1,62,15
,ServiceLog,Kolka,1433357249463,3G,UMTS,250-99-26627-129593727,-1,-1,-1,-1,62,15
,ServiceLog,Kolka,1433357249463,3G,HSPA,1,250,99,26627,129593727,-1,-91
