ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power
712,Курская (КЛЦ) 2,balash,1433353843209,2G,EDGE,1,250,99,26627,19005,-1,-73
,ServiceLog,balash,1433353843646,2G,EDGE,1,250,99,26627,19005,-1,-73
,ServiceLog,balash,1433353844667,2G,EDGE,1,250,99,26627,19005,-1,-73
,ServiceLog,balash,1433353845703,2G,EDGE,1,250,99,26627,19005,-1,-73
,ServiceLog,balash,1433353846756,2G,EDGE,1,250,99,26627,19005,-1,-75
,ServiceLog,balash,1433353847800,2G,EDGE,1,250,99,26627,19005,-1,-75
,ServiceLog,balash,1433353848836,2G,EDGE,1,250,99,26627,19005,-1,-77
,ServiceLog,balash,1433353849884,2G,EDGE,1,250,99,26627,19005,-1,-77
,ServiceLog,balash,1433353850927,2G,EDGE,1,250,99,26627,19005,-1,-77
,ServiceLog,balash,1433353851959,2G,EDGE,1,250,99,26627,19005,-1,-79
,ServiceLog,balash,1433353852973,2G,EDGE,1,250,99,26627,19005,-1,-79
,ServiceLog,balash,1433353854002,2G,EDGE,1,250,99,26627,19005,-1,-79
,ServiceLog,balash,1433353855048,2G,EDGE,1,250,99,26627,19005,-1,-81
,ServiceLog,balash,1433353856084,2G,EDGE,1,250,99,26627,19005,-1,-81
,ServiceLog,balash,1433353857125,2G,EDGE,1,250,99,26627,19005,-1,-81
,ServiceLog,balash,1433353858168,2G,EDGE,1,250,99,26627,19005,-1,-81
,ServiceLog,balash,1433353859201,2G,EDGE,1,250,99,26627,19005,-1,-81
,ServiceLog,balash,1433353860247,2G,EDGE,1,250,99,26627,19005,-1,-81
,ServiceLog,balash,1433353861264,2G,EDGE,1,250,99,26627,19005,-1,-81
,ServiceLog,balash,1433353862307,2G,EDGE,1,250,99,26627,19005,-1,-81
,ServiceLog,balash,1433353863321,2G,EDGE,1,250,99,26627,19005,-1,-81
,ServiceLog,balash,1433353864359,2G,EDGE,1,250,99,26627,19005,-1,-81
,ServiceLog,balash,1433353865401,2G,EDGE,1,250,99,26627,19005,-1,-81
,ServiceLog,balash,1433353866418,2G,EDGE,1,250,99,26627,19005,-1,-81
,ServiceLog,balash,1433353867451,2G,EDGE,1,250,99,26627,19005,-1,-79
,ServiceLog,balash,1433353868488,2G,EDGE,1,250,99,26627,19005,-1,-79
,ServiceLog,balash,1433353869532,2G,EDGE,1,250,99,26627,19005,-1,-79
,ServiceLog,balash,1433353870565,2G,EDGE,1,250,99,26627,19005,-1,-79
,ServiceLog,balash,1433353871608,2G,EDGE,1,250,99,26627,19005,-1,-79
,ServiceLog,balash,1433353872648,2G,EDGE,1,250,99,26627,19005,-1,-79
,ServiceLog,balash,1433353873663,2G,EDGE,1,250,99,26627,19005,-1,-81
,ServiceLog,balash,1433353874697,2G,EDGE,1,250,99,26627,19005,-1,-81
,ServiceLog,balash,1433353875738,2G,EDGE,1,250,99,26627,19005,-1,-81
,ServiceLog,balash,1433353876783,2G,EDGE,1,250,99,26627,19005,-1,-81
,ServiceLog,balash,1433353877834,2G,EDGE,1,250,99,26627,19005,-1,-81
,ServiceLog,balash,1433353878878,2G,EDGE,1,250,99,26627,19005,-1,-81
713,Курская (КЛЦ) 3,balash,1433353879145,2G,EDGE,1,250,99,26627,19005,-1,-81
