ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power
712,Курская (КЛЦ) 2,Kolka,1433355814037,3G,HSPA,1,250,99,26627,129593677,-1,-91
712,Курская (КЛЦ) 2,Kolka,1433355814037,3G,UMTS,250-99-26627-129593677,-1,-1,-1,-1,66,16
,ServiceLog,Kolka,1433355814738,3G,HSPA,1,250,99,26627,129593677,-1,-91
,ServiceLog,Kolka,1433355814738,3G,UMTS,250-99-26627-129593677,-1,-1,-1,-1,66,16
,ServiceLog,Kolka,1433355815781,3G,HSPA,1,250,99,26627,129593677,-1,-91
,ServiceLog,Kolka,1433355815781,3G,UMTS,250-99-26627-129593677,-1,-1,-1,-1,66,16
,ServiceLog,Kolka,1433355816822,3G,UMTS,250-99-26627-129593677,-1,-1,-1,-1,66,16
,ServiceLog,Kolka,1433355816822,3G,HSPA,1,250,99,26627,129593677,-1,-91
,ServiceLog,Kolka,1433355817870,3G,HSPA,1,250,99,26627,129593677,-1,-91
,ServiceLog,Kolka,1433355817870,3G,UMTS,250-99-26627-129593677,-1,-1,-1,-1,66,16
,ServiceLog,Kolka,1433355818910,3G,UMTS,250-99-26627-129593677,-1,-1,-1,-1,66,16
,ServiceLog,Kolka,1433355818910,3G,HSPA,1,250,99,26627,129593677,-1,-91
,ServiceLog,Kolka,1433355819953,3G,HSPA,1,250,99,26627,129593677,-1,-91
,ServiceLog,Kolka,1433355819953,3G,UMTS,250-99-26627-129593677,-1,-1,-1,-1,66,16
,ServiceLog,Kolka,1433355820996,3G,HSPA,1,250,99,26627,129593677,-1,-91
,ServiceLog,Kolka,1433355820996,3G,UMTS,250-99-26627-129593677,-1,-1,-1,-1,66,16
,ServiceLog,Kolka,1433355822039,3G,UMTS,250-99-26627-129593677,-1,-1,-1,-1,66,16
,ServiceLog,Kolka,1433355822039,3G,HSPA,1,250,99,26627,129593677,-1,-91
,ServiceLog,Kolka,1433355823086,3G,UMTS,250-99-26627-129593677,-1,-1,-1,-1,66,16
,ServiceLog,Kolka,1433355823086,3G,HSPA,1,250,99,26627,129593677,-1,-91
,ServiceLog,Kolka,1433355824125,3G,HSPA,1,250,99,26627,129593677,-1,-91
,ServiceLog,Kolka,1433355824125,3G,UMTS,250-99-26627-129593677,-1,-1,-1,-1,66,16
,ServiceLog,Kolka,1433355825167,3G,HSPA,1,250,99,26627,129593677,-1,-91
,ServiceLog,Kolka,1433355825167,3G,UMTS,250-99-26627-129593677,-1,-1,-1,-1,66,16
,ServiceLog,Kolka,1433355826213,3G,HSPA,1,250,99,26627,129593677,-1,-91
,ServiceLog,Kolka,1433355826213,3G,UMTS,250-99-26627-129593677,-1,-1,-1,-1,66,16
,ServiceLog,Kolka,1433355827244,3G,HSPA,1,250,99,26627,129593677,-1,-91
,ServiceLog,Kolka,1433355827244,3G,UMTS,250-99-26627-129593677,-1,-1,-1,-1,66,16
,ServiceLog,Kolka,1433355828286,3G,UMTS,250-99-26627-129593677,-1,-1,-1,-1,66,16
,ServiceLog,Kolka,1433355828286,3G,HSPA,1,250,99,26627,129593677,-1,-91
,ServiceLog,Kolka,1433355829317,3G,HSPA,1,250,99,26627,129593677,-1,-91
,ServiceLog,Kolka,1433355829317,3G,UMTS,250-99-26627-129593677,-1,-1,-1,-1,66,16
,ServiceLog,Kolka,1433355830356,3G,HSPA,1,250,99,26627,129593677,-1,-91
,ServiceLog,Kolka,1433355830356,3G,UMTS,250-99-26627-129593677,-1,-1,-1,-1,66,16
,ServiceLog,Kolka,1433355831382,3G,HSPA,1,250,99,26627,129593677,-1,-91
,ServiceLog,Kolka,1433355831382,3G,UMTS,250-99-26627-129593677,-1,-1,-1,-1,66,16
,ServiceLog,Kolka,1433355832423,3G,HSPA,1,250,99,26627,129593677,-1,-91
,ServiceLog,Kolka,1433355832423,3G,UMTS,250-99-26627-129593677,-1,-1,-1,-1,66,16
,ServiceLog,Kolka,1433355833465,3G,UMTS,250-99-26627-129593677,-1,-1,-1,-1,66,16
,ServiceLog,Kolka,1433355833465,3G,HSPA,1,250,99,26627,129593677,-1,-91
,ServiceLog,Kolka,1433355834506,3G,UMTS,250-99-26627-129593677,-1,-1,-1,-1,66,17
,ServiceLog,Kolka,1433355834506,3G,HSPA,1,250,99,26627,129593677,-1,-91
,ServiceLog,Kolka,1433355835553,3G,HSPA,1,250,99,26627,129593677,-1,-91
