ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power
702,Комсомольская (КЛЦ) 2,sasfeat,1433356409114,3G,UMTS,1,250,1,660,6893118,-1,-113
,ServiceLog,sasfeat,1433356410343,3G,UMTS,1,250,1,660,6893118,-1,-113
,ServiceLog,sasfeat,1433356411583,3G,UMTS,1,250,1,660,6893119,-1,-113
,ServiceLog,sasfeat,1433356412791,3G,UMTS,1,250,1,660,6893119,-1,-113
,ServiceLog,sasfeat,1433356414043,3G,UMTS,1,250,1,660,6893119,-1,-113
,ServiceLog,sasfeat,1433356415412,3G,UMTS,1,250,1,660,6893119,-1,-113
,ServiceLog,sasfeat,1433356416645,3G,UMTS,1,250,1,660,6893119,-1,-113
,ServiceLog,sasfeat,1433356417925,3G,UMTS,1,250,1,660,6893119,-1,-113
,ServiceLog,sasfeat,1433356419193,3G,UMTS,1,250,1,660,6893119,-1,-113
,ServiceLog,sasfeat,1433356420420,3G,UMTS,1,250,1,660,6893119,-1,-113
,ServiceLog,sasfeat,1433356421671,3G,UMTS,1,250,1,660,6893119,-1,-113
,ServiceLog,sasfeat,1433356423224,3G,UMTS,1,250,1,660,6893119,-1,-113
,ServiceLog,sasfeat,1433356424457,3G,UMTS,1,250,1,660,6893119,-1,-113
,ServiceLog,sasfeat,1433356425688,3G,UMTS,1,250,1,660,6893119,-1,-113
,ServiceLog,sasfeat,1433356427560,3G,UMTS,1,250,1,660,6893119,-1,-113
,ServiceLog,sasfeat,1433356428864,3G,UMTS,1,250,1,660,6893119,-1,-113
,ServiceLog,sasfeat,1433356430322,3G,UMTS,1,250,1,660,6893119,-1,-113
,ServiceLog,sasfeat,1433356431596,3G,UMTS,1,250,1,660,6893119,-1,-113
,ServiceLog,sasfeat,1433356432901,3G,UMTS,1,250,1,660,6893119,-1,-113
,ServiceLog,sasfeat,1433356434191,3G,UMTS,1,250,1,660,6893119,-1,-113
,ServiceLog,sasfeat,1433356435419,3G,UMTS,1,250,1,660,6893119,-1,-113
,ServiceLog,sasfeat,1433356436712,3G,UMTS,1,250,1,660,6893119,-1,-113
,ServiceLog,sasfeat,1433356438008,3G,UMTS,1,250,1,660,6893119,-1,-113
,ServiceLog,sasfeat,1433356439264,3G,UMTS,1,250,1,660,6893119,-1,-113
,ServiceLog,sasfeat,1433356440496,3G,UMTS,1,250,1,660,6893118,-1,-113
703,Комсомольская (КЛЦ) 3,sasfeat,1433356440637,3G,UMTS,1,250,1,660,6893118,-1,-113
