ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power
722,Таганская (КЛЦ) 2,User1,1433357693040,3G,HSPA,1,250,99,26803,129598286,-1,-91
722,Таганская (КЛЦ) 2,User1,1433357693040,3G,UMTS,250-99-26803-129598286,-1,-1,-1,-1,68,17
,ServiceLog,User1,1433357693553,3G,HSPA,1,250,99,26803,129598286,-1,-91
,ServiceLog,User1,1433357693553,3G,UMTS,250-99-26803-129598286,-1,-1,-1,-1,68,17
,ServiceLog,User1,1433357694607,3G,HSPA,1,250,99,26803,129598286,-1,-91
,ServiceLog,User1,1433357694607,3G,UMTS,250-99-26803-129598286,-1,-1,-1,-1,68,17
,ServiceLog,User1,1433357695640,3G,HSPA,1,250,99,26803,129598286,-1,-91
,ServiceLog,User1,1433357695640,3G,UMTS,250-99-26803-129598286,-1,-1,-1,-1,68,16
,ServiceLog,User1,1433357696682,3G,HSPA,1,250,99,26803,129598286,-1,-91
,ServiceLog,User1,1433357696682,3G,UMTS,250-99-26803-129598286,-1,-1,-1,-1,68,16
,ServiceLog,User1,1433357697722,3G,HSPA,1,250,99,26803,129598286,-1,-91
,ServiceLog,User1,1433357697722,3G,UMTS,250-99-26803-129598286,-1,-1,-1,-1,68,16
,ServiceLog,User1,1433357698770,3G,UMTS,250-99-26803-129598286,-1,-1,-1,-1,68,16
,ServiceLog,User1,1433357698770,3G,HSPA,1,250,99,26803,129598286,-1,-91
,ServiceLog,User1,1433357699811,3G,HSPA,1,250,99,26803,129598286,-1,-91
,ServiceLog,User1,1433357699811,3G,UMTS,250-99-26803-129598286,-1,-1,-1,-1,68,16
,ServiceLog,User1,1433357700854,3G,HSPA,1,250,99,26803,129598286,-1,-91
,ServiceLog,User1,1433357700854,3G,UMTS,250-99-26803-129598286,-1,-1,-1,-1,68,12
,ServiceLog,User1,1433357701894,3G,HSPA,1,250,99,26803,129598286,-1,-91
,ServiceLog,User1,1433357701894,3G,UMTS,250-99-26803-129598286,-1,-1,-1,-1,68,12
,ServiceLog,User1,1433357702952,3G,HSPA,1,250,99,26803,129598286,-1,-91
,ServiceLog,User1,1433357702952,3G,UMTS,250-99-26803-129598286,-1,-1,-1,-1,68,12
,ServiceLog,User1,1433357703992,3G,HSPA,1,250,99,26803,129598286,-1,-91
,ServiceLog,User1,1433357703992,3G,UMTS,250-99-26803-129598286,-1,-1,-1,-1,68,12
,ServiceLog,User1,1433357705031,3G,HSPA,1,250,99,26803,129598286,-1,-91
,ServiceLog,User1,1433357705031,3G,UMTS,250-99-26803-129598286,-1,-1,-1,-1,68,12
,ServiceLog,User1,1433357706082,3G,HSPA,1,250,99,26803,129598286,-1,-91
,ServiceLog,User1,1433357706082,3G,UMTS,250-99-26803-129598286,-1,-1,-1,-1,68,11
,ServiceLog,User1,1433357707118,3G,UMTS,250-99-26803-129598286,-1,-1,-1,-1,68,11
,ServiceLog,User1,1433357707118,3G,HSPA,1,250,99,26803,129598286,-1,-91
,ServiceLog,User1,1433357708149,3G,HSPA,1,250,99,26803,129598286,-1,-91
,ServiceLog,User1,1433357708149,3G,UMTS,250-99-26803-129598286,-1,-1,-1,-1,68,11
,ServiceLog,User1,1433357709195,3G,UMTS,250-99-26803-129598286,-1,-1,-1,-1,68,11
,ServiceLog,User1,1433357709195,3G,HSPA,1,250,99,26803,129598286,-1,-91
,ServiceLog,User1,1433357710231,3G,HSPA,1,250,99,26803,129598286,-1,-97
,ServiceLog,User1,1433357710231,3G,UMTS,250-99-26803-129598286,-1,-1,-1,-1,68,9
,ServiceLog,User1,1433357711266,3G,HSPA,1,250,99,26803,129598286,-1,-97
,ServiceLog,User1,1433357711266,3G,UMTS,250-99-26803-129598286,-1,-1,-1,-1,68,9
,ServiceLog,User1,1433357712308,3G,HSPA,1,250,99,26803,129598286,-1,-97
,ServiceLog,User1,1433357712308,3G,UMTS,250-99-26803-129598286,-1,-1,-1,-1,68,9
,ServiceLog,User1,1433357713372,3G,HSPA,1,250,99,26803,129598286,-1,-97
,ServiceLog,User1,1433357713372,3G,UMTS,250-99-26803-129598286,-1,-1,-1,-1,68,9
,ServiceLog,User1,1433357714423,3G,HSPA,1,250,99,26803,129598286,-1,-97
,ServiceLog,User1,1433357714423,3G,UMTS,250-99-26803-129598286,-1,-1,-1,-1,68,9
,ServiceLog,User1,1433357715461,3G,UMTS,250-99-26803-129598286,-1,-1,-1,-1,68,8
,ServiceLog,User1,1433357715461,3G,HSPA,1,250,99,26803,129598286,-1,-97
,ServiceLog,User1,1433357716509,3G,HSPA,1,250,99,26803,129598286,-1,-97
,ServiceLog,User1,1433357716509,3G,UMTS,250-99-26803-129598286,-1,-1,-1,-1,68,8
,ServiceLog,User1,1433357717544,3G,HSPA,1,250,99,26803,129598286,-1,-97
,ServiceLog,User1,1433357717544,3G,UMTS,250-99-26803-129598286,-1,-1,-1,-1,68,8
,ServiceLog,User1,1433357718575,3G,HSPA,1,250,99,26803,129598286,-1,-97
,ServiceLog,User1,1433357718575,3G,UMTS,250-99-26803-129598286,-1,-1,-1,-1,68,8
,ServiceLog,User1,1433357719616,3G,HSPA,1,250,99,26803,129598286,-1,-97
,ServiceLog,User1,1433357719616,3G,UMTS,250-99-26803-129598286,-1,-1,-1,-1,68,8
,ServiceLog,User1,1433357720660,3G,HSPA,1,250,99,26803,129598286,-1,-97
,ServiceLog,User1,1433357720660,3G,UMTS,250-99-26803-129598286,-1,-1,-1,-1,68,8
,ServiceLog,User1,1433357721695,3G,HSPA,1,250,99,26803,129598286,-1,-97
,ServiceLog,User1,1433357721695,3G,UMTS,250-99-26803-129598286,-1,-1,-1,-1,68,8
,ServiceLog,User1,1433357722897,3G,UMTS,250-99-26803-129598286,-1,-1,-1,-1,68,8
,ServiceLog,User1,1433357722897,3G,HSPA,1,250,99,26803,129598286,-1,-97
,ServiceLog,User1,1433357723940,3G,UMTS,250-99-26803-129598286,-1,-1,-1,-1,68,8
,ServiceLog,User1,1433357723940,3G,HSPA,1,250,99,26803,129598286,-1,-97
,ServiceLog,User1,1433357724971,3G,HSPA,1,250,99,26803,129598286,-1,-97
,ServiceLog,User1,1433357724971,3G,UMTS,250-99-26803-129598286,-1,-1,-1,-1,68,8
723,Таганская (КЛЦ) 3,User1,1433357724995,3G,UMTS,250-99-26803-129598286,-1,-1,-1,-1,68,8
723,Таганская (КЛЦ) 3,User1,1433357724995,3G,HSPA,1,250,99,26803,129598286,-1,-97
