ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power,race_id
743,Добрынинская 3,md,1424412272639,2G,EDGE,1,250,1,660,11013,-1,-75,1424412272
,ServiceLog,md,1424412273559,2G,EDGE,1,250,1,660,11013,-1,-75,1424412272
,ServiceLog,md,1424412274592,2G,EDGE,1,250,1,660,11013,-1,-75,1424412272
,ServiceLog,md,1424412275620,2G,EDGE,1,250,1,660,11013,-1,-75,1424412272
,ServiceLog,md,1424412276650,2G,EDGE,1,250,1,660,11013,-1,-75,1424412272
,ServiceLog,md,1424412277688,2G,EDGE,1,250,1,660,11013,-1,-75,1424412272
,ServiceLog,md,1424412278723,2G,EDGE,1,250,1,660,11013,-1,-75,1424412272
,ServiceLog,md,1424412279763,2G,EDGE,1,250,1,660,11013,-1,-75,1424412272
,ServiceLog,md,1424412280816,2G,EDGE,1,250,1,660,11013,-1,-75,1424412272
,ServiceLog,md,1424412281856,2G,EDGE,1,250,1,660,11013,-1,-75,1424412272
,ServiceLog,md,1424412282897,2G,EDGE,1,250,1,660,11013,-1,-73,1424412272
,ServiceLog,md,1424412282897,2G,EDGE,250-1-660-11013,250,1,660,11012,-1,-103,1424412272
744,Добрынинская 4,md,1424412283499,2G,EDGE,1,250,1,660,11013,-1,-73,1424412272
744,Добрынинская 4,md,1424412283499,2G,EDGE,250-1-660-11013,250,1,660,11012,-1,-103,1424412272
,ServiceLog,md,1424412283932,2G,EDGE,1,250,1,660,11013,-1,-73,1424412272
,ServiceLog,md,1424412283932,2G,EDGE,250-1-660-11013,250,1,660,11012,-1,-103,1424412272
,ServiceLog,md,1424412284954,2G,EDGE,1,250,1,660,11013,-1,-73,1424412272
,ServiceLog,md,1424412284954,2G,EDGE,250-1-660-11013,250,1,660,11012,-1,-99,1424412272
,ServiceLog,md,1424412285969,2G,EDGE,1,250,1,660,11013,-1,-71,1424412272
,ServiceLog,md,1424412285969,2G,EDGE,250-1-660-11013,250,1,660,11012,-1,-99,1424412272
,ServiceLog,md,1424412287006,2G,EDGE,1,250,1,660,11013,-1,-71,1424412272
,ServiceLog,md,1424412287006,2G,EDGE,250-1-660-11013,250,1,660,11012,-1,-95,1424412272
,ServiceLog,md,1424412288024,2G,EDGE,1,250,1,660,11013,-1,-71,1424412272
,ServiceLog,md,1424412288024,2G,EDGE,250-1-660-11013,250,1,660,11012,-1,-95,1424412272
,ServiceLog,md,1424412289045,2G,EDGE,1,250,1,660,11013,-1,-69,1424412272
,ServiceLog,md,1424412289045,2G,EDGE,250-1-660-11013,250,1,660,11012,-1,-95,1424412272
,ServiceLog,md,1424412290081,2G,EDGE,1,250,1,660,11013,-1,-69,1424412272
,ServiceLog,md,1424412290081,2G,EDGE,250-1-660-11013,250,1,660,11012,-1,-93,1424412272
,ServiceLog,md,1424412291097,2G,EDGE,1,250,1,660,11013,-1,-69,1424412272
,ServiceLog,md,1424412291097,2G,EDGE,250-1-660-11013,250,1,660,11012,-1,-93,1424412272
,ServiceLog,md,1424412292137,2G,EDGE,1,250,1,660,11013,-1,-69,1424412272
,ServiceLog,md,1424412292137,2G,EDGE,250-1-660-11013,250,1,660,11012,-1,-91,1424412272
,ServiceLog,md,1424412293182,2G,EDGE,1,250,1,660,11013,-1,-69,1424412272
,ServiceLog,md,1424412293182,2G,EDGE,250-1-660-11013,250,1,660,11012,-1,-91,1424412272
,ServiceLog,md,1424412294219,2G,EDGE,1,250,1,660,11013,-1,-71,1424412272
,ServiceLog,md,1424412294219,2G,EDGE,250-1-660-11013,250,1,660,11012,-1,-95,1424412272
,ServiceLog,md,1424412295264,2G,EDGE,1,250,1,660,11013,-1,-71,1424412272
,ServiceLog,md,1424412295264,2G,EDGE,250-1-660-11013,250,1,660,11012,-1,-97,1424412272
,ServiceLog,md,1424412296280,2G,EDGE,1,250,1,660,11013,-1,-71,1424412272
,ServiceLog,md,1424412296280,2G,EDGE,250-1-660-11013,250,1,660,11012,-1,-97,1424412272
,ServiceLog,md,1424412297317,2G,EDGE,1,250,1,660,11013,-1,-73,1424412272
,ServiceLog,md,1424412297317,2G,EDGE,250-1-660-11013,250,1,660,11012,-1,-95,1424412272
,ServiceLog,md,1424412298354,2G,EDGE,1,250,1,660,11013,-1,-73,1424412272
,ServiceLog,md,1424412298354,2G,EDGE,250-1-660-11013,250,1,660,11012,-1,-95,1424412272
,ServiceLog,md,1424412299370,2G,EDGE,1,250,1,660,11013,-1,-73,1424412272
,ServiceLog,md,1424412299370,2G,EDGE,250-1-660-11013,250,1,660,11012,-1,-95,1424412272
,ServiceLog,md,1424412300415,2G,EDGE,1,250,1,660,11013,-1,-75,1424412272
,ServiceLog,md,1424412300415,2G,EDGE,250-1-660-11013,250,1,660,11012,-1,-95,1424412272
,ServiceLog,md,1424412301453,2G,EDGE,1,250,1,660,11013,-1,-75,1424412272
,ServiceLog,md,1424412301453,2G,EDGE,250-1-660-11013,250,1,660,11012,-1,-95,1424412272
,ServiceLog,md,1424412302488,2G,EDGE,1,250,1,660,11013,-1,-75,1424412272
