ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power
743,Добрынинская 3,User1,1433354291423,3G,HSDPA,1,250,99,26802,129593798,-1,-85
,ServiceLog,User1,1433354291464,3G,HSDPA,1,250,99,26802,129593798,-1,-85
,ServiceLog,User1,1433354292483,3G,HSDPA,1,250,99,26802,129593798,-1,-85
,ServiceLog,User1,1433354293526,3G,HSDPA,1,250,99,26802,129593798,-1,-85
,ServiceLog,User1,1433354294545,3G,HSDPA,1,250,99,26802,129593798,-1,-85
,ServiceLog,User1,1433354295577,3G,HSDPA,1,250,99,26802,129593798,-1,-85
,ServiceLog,User1,1433354296599,3G,HSDPA,1,250,99,26802,129593798,-1,-85
,ServiceLog,User1,1433354297633,3G,HSDPA,1,250,99,26802,129593798,-1,-83
,ServiceLog,User1,1433354298677,3G,HSDPA,1,250,99,26802,129593798,-1,-83
,ServiceLog,User1,1433354299694,3G,HSDPA,1,250,99,26802,129593798,-1,-83
,ServiceLog,User1,1433354300728,3G,HSDPA,1,250,99,26802,129593798,-1,-81
,ServiceLog,User1,1433354301765,3G,HSDPA,1,250,99,26802,129593798,-1,-81
,ServiceLog,User1,1433354302808,3G,HSDPA,1,250,99,26802,129593798,-1,-81
,ServiceLog,User1,1433354303850,3G,HSDPA,1,250,99,26802,129593798,-1,-79
744,Добрынинская 4,User1,1433354304697,3G,HSDPA,1,250,99,26802,129593798,-1,-79
,ServiceLog,User1,1433354304873,3G,HSDPA,1,250,99,26802,129593798,-1,-79
,ServiceLog,User1,1433354305892,3G,HSDPA,1,250,99,26802,129593798,-1,-79
,ServiceLog,User1,1433354306931,3G,HSDPA,1,250,99,26802,129593798,-1,-81
,ServiceLog,User1,1433354307968,3G,HSDPA,1,250,99,26802,129593798,-1,-81
,ServiceLog,User1,1433354309018,3G,HSDPA,1,250,99,26802,129593798,-1,-81
,ServiceLog,User1,1433354310040,3G,HSDPA,1,250,99,26802,129593798,-1,-85
,ServiceLog,User1,1433354311055,3G,HSDPA,1,250,99,26802,129593798,-1,-85
,ServiceLog,User1,1433354312099,3G,HSDPA,1,250,99,26802,129593798,-1,-85
,ServiceLog,User1,1433354313148,3G,HSDPA,1,250,99,26802,129593798,-1,-89
,ServiceLog,User1,1433354314208,3G,HSDPA,1,250,99,26802,129593798,-1,-89
,ServiceLog,User1,1433354315222,3G,HSDPA,1,250,99,26802,129593798,-1,-89
,ServiceLog,User1,1433354316272,3G,HSDPA,1,250,99,26802,129593798,-1,-89
,ServiceLog,User1,1433354317573,3G,HSDPA,1,250,99,26802,129593798,-1,-89
,ServiceLog,User1,1433354318628,3G,HSDPA,1,250,99,26802,129593798,-1,-83
,ServiceLog,User1,1433354319648,3G,HSDPA,1,250,99,26802,129593798,-1,-83
,ServiceLog,User1,1433354320686,3G,HSDPA,1,250,99,26802,129593798,-1,-83
,ServiceLog,User1,1433354321712,3G,HSDPA,1,250,99,26802,129593798,-1,-85
,ServiceLog,User1,1433354322734,3G,HSDPA,1,250,99,26802,129593798,-1,-85
,ServiceLog,User1,1433354323792,3G,HSDPA,1,250,99,26802,129593798,-1,-85
,ServiceLog,User1,1433354324845,3G,HSDPA,1,250,99,26802,129593798,-1,-89
,ServiceLog,User1,1433354325861,3G,HSDPA,1,250,99,26802,129593798,-1,-89
,ServiceLog,User1,1433354326908,3G,HSDPA,1,250,99,26802,129593798,-1,-89
,ServiceLog,User1,1433354327948,3G,HSDPA,1,250,99,26802,129593798,-1,-93
,ServiceLog,User1,1433354328985,2G,GPRS,1,250,99,26802,19126,-1,-75
,ServiceLog,User1,1433354330038,2G,GPRS,1,250,99,26802,19126,-1,-75
,ServiceLog,User1,1433354331057,2G,EDGE,1,250,99,26802,19126,-1,-75
,ServiceLog,User1,1433354332098,2G,EDGE,1,250,99,26802,19126,-1,-85
,ServiceLog,User1,1433354333125,2G,EDGE,1,250,99,26802,19126,-1,-85
,ServiceLog,User1,1433354334169,2G,EDGE,1,250,99,26802,19126,-1,-85
,ServiceLog,User1,1433354335214,2G,EDGE,1,250,99,26802,19126,-1,-91
,ServiceLog,User1,1433354336258,2G,EDGE,1,250,99,26802,19126,-1,-91
,ServiceLog,User1,1433354337299,2G,EDGE,1,250,99,26802,19126,-1,-91
,ServiceLog,User1,1433354338317,2G,EDGE,1,250,99,26802,19126,-1,-93
,ServiceLog,User1,1433354339332,2G,EDGE,1,250,99,26802,19126,-1,-93
,ServiceLog,User1,1433354339332,2G,EDGE,250-99-26802-19126,-1,-1,26802,19067,-1,-105
,ServiceLog,User1,1433354340358,2G,EDGE,1,250,99,26802,19126,-1,-93
,ServiceLog,User1,1433354340358,2G,EDGE,250-99-26802-19126,-1,-1,26802,19067,-1,-103
,ServiceLog,User1,1433354341403,2G,EDGE,250-99-26802-19126,-1,-1,26802,19126,-1,0
,ServiceLog,User1,1433354341403,2G,EDGE,1,250,99,26802,19126,-1,-97
,ServiceLog,User1,1433354342453,2G,EDGE,250-99-26802-19067,-1,-1,26802,19126,-1,0
,ServiceLog,User1,1433354342453,2G,EDGE,1,250,99,26802,19067,-1,-99
,ServiceLog,User1,1433354343500,2G,EDGE,1,250,99,26802,19067,-1,-99
,ServiceLog,User1,1433354344540,2G,EDGE,1,250,99,26802,19067,-1,-99
,ServiceLog,User1,1433354345585,2G,EDGE,1,250,99,26802,19067,-1,-81
,ServiceLog,User1,1433354346601,2G,EDGE,1,250,99,26802,19067,-1,-81
,ServiceLog,User1,1433354347638,2G,EDGE,1,250,99,26802,19067,-1,-81
,ServiceLog,User1,1433354348687,2G,EDGE,1,250,99,26802,19067,-1,-81
,ServiceLog,User1,1433354349704,2G,EDGE,1,250,99,26802,19067,-1,-81
,ServiceLog,User1,1433354350718,2G,EDGE,1,250,99,26802,19067,-1,-81
,ServiceLog,User1,1433354351739,2G,EDGE,1,250,99,26802,19067,-1,-75
,ServiceLog,User1,1433354352759,2G,EDGE,1,250,99,26802,19067,-1,-75
,ServiceLog,User1,1433354353781,2G,EDGE,1,250,99,26802,19067,-1,-75
,ServiceLog,User1,1433354354830,2G,EDGE,1,250,99,26802,19067,-1,-75
,ServiceLog,User1,1433354355857,2G,EDGE,1,250,99,26802,19067,-1,-75
,ServiceLog,User1,1433354356995,2G,EDGE,1,250,99,26802,19067,-1,-79
,ServiceLog,User1,1433354358010,2G,EDGE,1,250,99,26802,19067,-1,-79
,ServiceLog,User1,1433354359026,2G,EDGE,1,250,99,26802,19067,-1,-79
,ServiceLog,User1,1433354360042,2G,EDGE,1,250,99,26802,19067,-1,-83
,ServiceLog,User1,1433354361074,2G,EDGE,1,250,99,26802,19067,-1,-83
,ServiceLog,User1,1433354362099,2G,EDGE,1,250,99,26802,19067,-1,-83
,ServiceLog,User1,1433354363127,2G,EDGE,1,250,99,26802,19067,-1,-87
,ServiceLog,User1,1433354364153,2G,EDGE,1,250,99,26802,19067,-1,-87
,ServiceLog,User1,1433354365196,2G,EDGE,1,250,99,26802,19067,-1,-87
,ServiceLog,User1,1433354366222,2G,EDGE,1,250,99,26802,19067,-1,-89
,ServiceLog,User1,1433354367242,2G,EDGE,1,250,99,26802,19067,-1,-89
751,Октябрьская (КЛЦ) 1,User1,1433354368085,2G,EDGE,1,250,99,26802,19067,-1,-89
,ServiceLog,User1,1433354368269,2G,EDGE,1,250,99,26802,19067,-1,-89
,ServiceLog,User1,1433354369287,2G,EDGE,1,250,99,26802,19067,-1,-81
,ServiceLog,User1,1433354370303,2G,EDGE,1,250,99,26802,19067,-1,-81
,ServiceLog,User1,1433354371375,2G,EDGE,1,250,99,26802,19067,-1,-81
,ServiceLog,User1,1433354372388,2G,EDGE,1,250,99,26802,19067,-1,-81
,ServiceLog,User1,1433354373406,2G,EDGE,1,250,99,26802,19067,-1,-81
,ServiceLog,User1,1433354374441,2G,EDGE,1,250,99,26802,19067,-1,-81
,ServiceLog,User1,1433354375485,2G,EDGE,1,250,99,26802,19067,-1,-83
,ServiceLog,User1,1433354376789,2G,EDGE,1,250,99,26802,19067,-1,-83
,ServiceLog,User1,1433354377859,2G,EDGE,1,250,99,26802,19067,-1,-83
,ServiceLog,User1,1433354378908,2G,EDGE,1,250,99,26802,19067,-1,-83
,ServiceLog,User1,1433354379942,2G,EDGE,1,250,99,26802,19067,-1,-83
,ServiceLog,User1,1433354380987,2G,EDGE,1,250,99,26802,19067,-1,-85
752,Октябрьская (КЛЦ) 2,User1,1433354381152,2G,EDGE,1,250,99,26802,19067,-1,-85
