ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power,race_id
793,Новогиреево 3,Denis,1423650680308,2G,GPRS,1,250,99,26627,57825,-1,-87,1423650680
,ServiceLog,Denis,1423650681317,2G,GPRS,1,250,99,26627,57825,-1,-85,1423650680
,ServiceLog,Denis,1423650682368,2G,GPRS,1,250,99,26627,57825,-1,-85,1423650680
,ServiceLog,Denis,1423650683407,2G,GPRS,1,250,99,26627,57825,-1,-83,1423650680
,ServiceLog,Denis,1423650684443,2G,GPRS,1,250,99,26627,57825,-1,-83,1423650680
,ServiceLog,Denis,1423650685485,2G,GPRS,1,250,99,26627,57825,-1,-83,1423650680
,ServiceLog,Denis,1423650686532,2G,GPRS,1,250,99,26627,57825,-1,-83,1423650680
,ServiceLog,Denis,1423650687608,2G,GPRS,1,250,99,26627,57825,-1,-83,1423650680
,ServiceLog,Denis,1423650688642,2G,GPRS,1,250,99,26627,57825,-1,-83,1423650680
,ServiceLog,Denis,1423650689682,2G,GPRS,1,250,99,26627,57825,-1,-85,1423650680
,ServiceLog,Denis,1423650690715,2G,GPRS,1,250,99,26627,57825,-1,-87,1423650680
,ServiceLog,Denis,1423650691756,2G,GPRS,1,250,99,26627,57825,-1,-87,1423650680
,ServiceLog,Denis,1423650692796,2G,GPRS,1,250,99,26627,57825,-1,-87,1423650680
,ServiceLog,Denis,1423650693840,2G,GPRS,1,250,99,26627,57825,-1,-85,1423650680
,ServiceLog,Denis,1423650694882,2G,GPRS,1,250,99,26627,57825,-1,-81,1423650680
794,Новогиреево 4,Denis,1423650695278,2G,GPRS,1,250,99,26627,57825,-1,-81,1423650680
,ServiceLog,Denis,1423650695929,2G,GPRS,1,250,99,26627,57825,-1,-75,1423650680
,ServiceLog,Denis,1423650696970,2G,GPRS,1,250,99,26627,57825,-1,-75,1423650680
,ServiceLog,Denis,1423650698005,2G,GPRS,1,250,99,26627,57825,-1,-71,1423650680
,ServiceLog,Denis,1423650699066,2G,GPRS,1,250,99,26627,57825,-1,-69,1423650680
,ServiceLog,Denis,1423650700102,2G,GPRS,1,250,99,26627,57825,-1,-67,1423650680
,ServiceLog,Denis,1423650701143,2G,GPRS,1,250,99,26627,57825,-1,-67,1423650680
,ServiceLog,Denis,1423650702174,2G,GPRS,1,250,99,26627,57825,-1,-69,1423650680
,ServiceLog,Denis,1423650703212,2G,GPRS,1,250,99,26627,57825,-1,-73,1423650680
,ServiceLog,Denis,1423650704271,2G,GPRS,1,250,99,26627,57825,-1,-71,1423650680
,ServiceLog,Denis,1423650705317,2G,GPRS,1,250,99,26627,57825,-1,-71,1423650680
,ServiceLog,Denis,1423650706374,2G,GPRS,1,250,99,26627,57825,-1,-73,1423650680
,ServiceLog,Denis,1423650707412,2G,GPRS,1,250,99,26627,57825,-1,-73,1423650680
,ServiceLog,Denis,1423650708473,2G,GPRS,1,250,99,26627,57825,-1,-73,1423650680
,ServiceLog,Denis,1423650709512,2G,GPRS,1,250,99,26627,57825,-1,-73,1423650680
,ServiceLog,Denis,1423650710562,2G,GPRS,1,250,99,26627,57825,-1,-73,1423650680
,ServiceLog,Denis,1423650711609,2G,GPRS,1,250,99,26627,57825,-1,-73,1423650680
,ServiceLog,Denis,1423650712650,2G,GPRS,1,250,99,26627,57825,-1,-73,1423650680
,ServiceLog,Denis,1423650713688,2G,GPRS,1,250,99,26627,57825,-1,-67,1423650680
,ServiceLog,Denis,1423650714731,2G,GPRS,1,250,99,26627,57825,-1,-67,1423650680
,ServiceLog,Denis,1423650715769,2G,GPRS,1,250,99,26627,57825,-1,-65,1423650680
,ServiceLog,Denis,1423650716814,2G,GPRS,1,250,99,26627,57825,-1,-65,1423650680
,ServiceLog,Denis,1423650717869,2G,GPRS,1,250,99,26627,57825,-1,-63,1423650680
,ServiceLog,Denis,1423650718924,2G,GPRS,1,250,99,26627,57825,-1,-67,1423650680
,ServiceLog,Denis,1423650719971,2G,GPRS,1,250,99,26627,57825,-1,-69,1423650680
,ServiceLog,Denis,1423650721032,2G,GPRS,1,250,99,26627,57825,-1,-69,1423650680
,ServiceLog,Denis,1423650722091,2G,GPRS,1,250,99,26627,57825,-1,-67,1423650680
,ServiceLog,Denis,1423650723123,2G,GPRS,1,250,99,26627,57825,-1,-69,1423650680
,ServiceLog,Denis,1423650724160,2G,GPRS,1,250,99,26627,57825,-1,-69,1423650680
,ServiceLog,Denis,1423650725201,2G,GPRS,1,250,99,26627,57825,-1,-69,1423650680
,ServiceLog,Denis,1423650726252,2G,GPRS,1,250,99,26627,57825,-1,-69,1423650680
,ServiceLog,Denis,1423650727299,2G,GPRS,1,250,99,26627,57825,-1,-69,1423650680
,ServiceLog,Denis,1423650728354,2G,GPRS,1,250,99,26627,57825,-1,-65,1423650680
,ServiceLog,Denis,1423650729401,2G,GPRS,1,250,99,26627,57825,-1,-65,1423650680
,ServiceLog,Denis,1423650730462,2G,GPRS,1,250,99,26627,57825,-1,-65,1423650680
,ServiceLog,Denis,1423650731515,2G,GPRS,1,250,99,26627,57825,-1,-67,1423650680
,ServiceLog,Denis,1423650732564,2G,GPRS,1,250,99,26627,57825,-1,-65,1423650680
,ServiceLog,Denis,1423650733618,2G,GPRS,1,250,99,26627,57825,-1,-65,1423650680
,ServiceLog,Denis,1423650734687,2G,GPRS,1,250,99,26627,57825,-1,-63,1423650680
,ServiceLog,Denis,1423650735736,2G,GPRS,1,250,99,26627,57825,-1,-67,1423650680
,ServiceLog,Denis,1423650736770,2G,GPRS,1,250,99,26627,57825,-1,-65,1423650680
,ServiceLog,Denis,1423650737804,2G,GPRS,1,250,99,26627,57825,-1,-65,1423650680
,ServiceLog,Denis,1423650738852,2G,GPRS,1,250,99,26627,57825,-1,-63,1423650680
,ServiceLog,Denis,1423650739885,2G,GPRS,1,250,99,26627,57825,-1,-63,1423650680
,ServiceLog,Denis,1423650740913,2G,GPRS,1,250,99,26627,57825,-1,-63,1423650680
,ServiceLog,Denis,1423650741938,2G,GPRS,1,250,99,26627,57825,-1,-63,1423650680
,ServiceLog,Denis,1423650742972,2G,GPRS,1,250,99,26627,57825,-1,-63,1423650680
,ServiceLog,Denis,1423650744048,2G,GPRS,1,250,99,26627,57825,-1,-65,1423650680
,ServiceLog,Denis,1423650745078,2G,GPRS,1,250,99,26627,57825,-1,-65,1423650680
,ServiceLog,Denis,1423650746106,2G,GPRS,1,250,99,26627,57825,-1,-65,1423650680
,ServiceLog,Denis,1423650747156,2G,GPRS,1,250,99,26627,57825,-1,-67,1423650680
,ServiceLog,Denis,1423650748206,2G,GPRS,1,250,99,26627,57825,-1,-71,1423650680
,ServiceLog,Denis,1423650749237,2G,GPRS,1,250,99,26627,57825,-1,-71,1423650680
,ServiceLog,Denis,1423650750283,2G,GPRS,1,250,99,26627,57825,-1,-69,1423650680
,ServiceLog,Denis,1423650751333,2G,GPRS,1,250,99,26627,57825,-1,-69,1423650680
,ServiceLog,Denis,1423650752399,2G,GPRS,1,250,99,26627,57825,-1,-71,1423650680
,ServiceLog,Denis,1423650753432,2G,GPRS,1,250,99,26627,57825,-1,-71,1423650680
