ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power,race_id
842,Марксистская 2,Denis,1423647816553,2G,GPRS,1,250,99,26803,19003,-1,-77,1423647695
,ServiceLog,Denis,1423647816667,2G,GPRS,1,250,99,26803,19003,-1,-77,1423647695
,ServiceLog,Denis,1423647817701,2G,GPRS,1,250,99,26803,19003,-1,-79,1423647695
,ServiceLog,Denis,1423647818744,2G,GPRS,1,250,99,26803,19003,-1,-81,1423647695
,ServiceLog,Denis,1423647819790,2G,GPRS,1,250,99,26803,19003,-1,-79,1423647695
,ServiceLog,Denis,1423647820849,2G,GPRS,1,250,99,26803,19003,-1,-77,1423647695
,ServiceLog,Denis,1423647821911,2G,GPRS,1,250,99,26803,19003,-1,-79,1423647695
,ServiceLog,Denis,1423647822967,2G,GPRS,1,250,99,26803,19003,-1,-79,1423647695
,ServiceLog,Denis,1423647824019,2G,GPRS,1,250,99,26803,19003,-1,-81,1423647695
,ServiceLog,Denis,1423647825072,2G,GPRS,1,250,99,26803,19003,-1,-77,1423647695
,ServiceLog,Denis,1423647826134,2G,GPRS,1,250,99,26803,19003,-1,-77,1423647695
,ServiceLog,Denis,1423647827188,2G,GPRS,1,250,99,26803,19003,-1,-75,1423647695
,ServiceLog,Denis,1423647828217,2G,GPRS,1,250,99,26803,19003,-1,-75,1423647695
,ServiceLog,Denis,1423647829254,2G,GPRS,1,250,99,26803,19003,-1,-77,1423647695
,ServiceLog,Denis,1423647829254,2G,GPRS,250-99-26803-19003,250,99,26627,65535,-1,-59,1423647695
,ServiceLog,Denis,1423647830301,2G,GPRS,1,250,99,26803,19003,-1,-77,1423647695
,ServiceLog,Denis,1423647830301,2G,GPRS,250-99-26803-19003,250,99,26627,65535,-1,-59,1423647695
,ServiceLog,Denis,1423647831337,2G,GPRS,1,250,99,26803,19003,-1,-79,1423647695
,ServiceLog,Denis,1423647831337,2G,GPRS,250-99-26803-19003,250,99,26627,65535,-1,-61,1423647695
,ServiceLog,Denis,1423647832370,2G,GPRS,1,250,99,26803,19003,-1,-75,1423647695
,ServiceLog,Denis,1423647832370,2G,GPRS,250-99-26803-19003,250,99,26627,65535,-1,-61,1423647695
,ServiceLog,Denis,1423647833417,2G,GPRS,1,250,99,26803,19003,-1,-75,1423647695
,ServiceLog,Denis,1423647833417,2G,GPRS,250-99-26803-19003,250,99,26627,65535,-1,-61,1423647695
,ServiceLog,Denis,1423647834463,2G,GPRS,1,250,99,26803,19003,-1,-71,1423647695
,ServiceLog,Denis,1423647834463,2G,GPRS,250-99-26803-19003,250,99,26627,65535,-1,-61,1423647695
,ServiceLog,Denis,1423647835517,2G,GPRS,1,250,99,26803,19003,-1,-73,1423647695
,ServiceLog,Denis,1423647835517,2G,GPRS,250-99-26803-19003,250,99,26627,65535,-1,-67,1423647695
,ServiceLog,Denis,1423647836561,2G,GPRS,1,250,99,26803,19003,-1,-77,1423647695
,ServiceLog,Denis,1423647836561,2G,GPRS,250-99-26803-19003,250,99,26627,65535,-1,-71,1423647695
,ServiceLog,Denis,1423647837601,2G,GPRS,1,250,99,26803,19003,-1,-83,1423647695
,ServiceLog,Denis,1423647837601,2G,GPRS,250-99-26803-19003,250,99,26627,65535,-1,-75,1423647695
,ServiceLog,Denis,1423647838650,2G,GPRS,1,250,99,26803,19003,-1,-83,1423647695
,ServiceLog,Denis,1423647838650,2G,GPRS,250-99-26803-19003,250,99,26627,65535,-1,-77,1423647695
,ServiceLog,Denis,1423647839725,2G,GPRS,1,250,99,26803,19003,-1,-81,1423647695
,ServiceLog,Denis,1423647839725,2G,GPRS,250-99-26803-19003,250,99,26627,65535,-1,-79,1423647695
,ServiceLog,Denis,1423647840750,2G,GPRS,1,250,99,26803,19003,-1,-77,1423647695
,ServiceLog,Denis,1423647840750,2G,GPRS,250-99-26803-19003,250,99,26627,65535,-1,-75,1423647695
,ServiceLog,Denis,1423647841779,2G,GPRS,1,250,99,26803,19003,-1,-77,1423647695
,ServiceLog,Denis,1423647841779,2G,GPRS,250-99-26803-19003,250,99,26627,65535,-1,-75,1423647695
,ServiceLog,Denis,1423647842816,2G,GPRS,1,250,99,26803,19003,-1,-77,1423647695
,ServiceLog,Denis,1423647842816,2G,GPRS,250-99-26803-19003,250,99,26627,65535,-1,-75,1423647695
843,Марксистская 3,Denis,1423647843103,2G,GPRS,1,250,99,26803,19003,-1,-77,1423647695
