ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power,race_id
982,Октябрьская (КРЛ) 2,yellow,1424851116636,3G,UMTS,250-1-770-6920215,250,1,-1,-1,116,6,1424850976
982,Октябрьская (КРЛ) 2,yellow,1424851116636,3G,UMTS,1,250,1,770,6920215,-1,-85,1424850976
,ServiceLog,yellow,1424851117023,3G,UMTS,1,250,1,770,6920215,-1,-85,1424850976
,ServiceLog,yellow,1424851117023,3G,UMTS,250-1-770-6920215,250,1,-1,-1,116,6,1424850976
,ServiceLog,yellow,1424851118053,3G,UMTS,1,250,1,770,6920215,-1,-85,1424850976
,ServiceLog,yellow,1424851118053,3G,UMTS,250-1-770-6920215,250,1,-1,-1,116,6,1424850976
,ServiceLog,yellow,1424851119087,3G,UMTS,1,250,1,770,6920215,-1,-85,1424850976
,ServiceLog,yellow,1424851119087,3G,UMTS,250-1-770-6920215,250,1,-1,-1,116,6,1424850976
,ServiceLog,yellow,1424851120134,3G,UMTS,1,250,1,770,6920215,-1,-85,1424850976
,ServiceLog,yellow,1424851120134,3G,UMTS,250-1-770-6920215,250,1,-1,-1,116,6,1424850976
,ServiceLog,yellow,1424851121170,3G,UMTS,1,250,1,770,6920215,-1,-85,1424850976
,ServiceLog,yellow,1424851121170,3G,UMTS,250-1-770-6920215,250,1,-1,-1,116,6,1424850976
,ServiceLog,yellow,1424851122205,3G,UMTS,1,250,1,770,6920215,-1,-85,1424850976
,ServiceLog,yellow,1424851122205,3G,UMTS,250-1-770-6920215,250,1,-1,-1,116,6,1424850976
,ServiceLog,yellow,1424851123230,3G,UMTS,1,250,1,770,6920215,-1,-85,1424850976
,ServiceLog,yellow,1424851123230,3G,UMTS,250-1-770-6920215,250,1,-1,-1,116,6,1424850976
,ServiceLog,yellow,1424851124269,3G,UMTS,1,250,1,770,6920215,-1,-85,1424850976
,ServiceLog,yellow,1424851124269,3G,UMTS,250-1-770-6920215,250,1,-1,-1,116,6,1424850976
,ServiceLog,yellow,1424851125315,3G,UMTS,1,250,1,770,6920215,-1,-85,1424850976
,ServiceLog,yellow,1424851125315,3G,UMTS,250-1-770-6920215,250,1,-1,-1,116,6,1424850976
,ServiceLog,yellow,1424851126372,3G,UMTS,1,250,1,770,6920215,-1,-85,1424850976
,ServiceLog,yellow,1424851126372,3G,UMTS,250-1-770-6920215,250,1,-1,-1,116,6,1424850976
,ServiceLog,yellow,1424851127408,3G,UMTS,1,250,1,770,6920215,-1,-85,1424850976
,ServiceLog,yellow,1424851127408,3G,UMTS,250-1-770-6920215,250,1,-1,-1,116,6,1424850976
,ServiceLog,yellow,1424851128450,3G,UMTS,1,250,1,770,6920215,-1,-85,1424850976
,ServiceLog,yellow,1424851128450,3G,UMTS,250-1-770-6920215,250,1,-1,-1,116,6,1424850976
,ServiceLog,yellow,1424851129489,3G,UMTS,1,250,1,770,6920215,-1,-85,1424850976
,ServiceLog,yellow,1424851129489,3G,UMTS,250-1-770-6920215,250,1,-1,-1,116,6,1424850976
,ServiceLog,yellow,1424851130529,3G,UMTS,1,250,1,770,6920215,-1,-91,1424850976
,ServiceLog,yellow,1424851130529,3G,UMTS,250-1-770-6920215,250,1,-1,-1,116,6,1424850976
,ServiceLog,yellow,1424851131569,3G,UMTS,1,250,1,770,6920215,-1,-91,1424850976
,ServiceLog,yellow,1424851131569,3G,UMTS,250-1-770-6920215,250,1,-1,-1,116,6,1424850976
,ServiceLog,yellow,1424851132606,3G,UMTS,1,250,1,770,6920215,-1,-91,1424850976
,ServiceLog,yellow,1424851132606,3G,UMTS,250-1-770-6920215,250,1,-1,-1,116,6,1424850976
,ServiceLog,yellow,1424851133646,3G,UMTS,1,250,1,770,6920215,-1,-91,1424850976
,ServiceLog,yellow,1424851133646,3G,UMTS,250-1-770-6920215,250,1,-1,-1,116,6,1424850976
,ServiceLog,yellow,1424851134684,3G,UMTS,1,250,1,770,6920215,-1,-91,1424850976
,ServiceLog,yellow,1424851134684,3G,UMTS,250-1-770-6920215,250,1,-1,-1,116,6,1424850976
,ServiceLog,yellow,1424851135723,3G,UMTS,1,250,1,770,6920215,-1,-85,1424850976
,ServiceLog,yellow,1424851135723,3G,UMTS,250-1-770-6920215,250,1,-1,-1,116,6,1424850976
,ServiceLog,yellow,1424851136759,3G,UMTS,1,250,1,770,6920215,-1,-85,1424850976
,ServiceLog,yellow,1424851136759,3G,UMTS,250-1-770-6920215,250,1,-1,-1,116,6,1424850976
,ServiceLog,yellow,1424851137796,3G,UMTS,1,250,1,770,6920215,-1,-85,1424850976
,ServiceLog,yellow,1424851137796,3G,UMTS,250-1-770-6920215,250,1,-1,-1,116,6,1424850976
,ServiceLog,yellow,1424851138893,3G,HSPAP,1,250,1,770,6920215,-1,-85,1424850976
,ServiceLog,yellow,1424851138893,3G,UMTS,250-1-770-6920215,250,1,-1,-1,116,6,1424850976
983,Октябрьская (КРЛ) 3,yellow,1424851138926,3G,HSPAP,1,250,1,770,6920215,-1,-85,1424850976
