ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power
993,Шаболовская 3,Andrey,1435838981074,3G,HSDPA,1,250,2,7736,10292791,-1,-89
,ServiceLog,Andrey,1435838981276,3G,HSDPA,1,250,2,7736,10292791,-1,-89
,ServiceLog,Andrey,1435838982293,3G,HSDPA,1,250,2,7736,10292791,-1,-89
,ServiceLog,Andrey,1435838983330,3G,HSDPA,1,250,2,7736,10292791,-1,-89
,ServiceLog,Andrey,1435838984379,3G,HSDPA,1,250,2,7736,10292791,-1,-89
,ServiceLog,Andrey,1435838985416,3G,HSDPA,1,250,2,7736,10292791,-1,-89
,ServiceLog,Andrey,1435838986427,3G,HSDPA,1,250,2,7736,10292791,-1,-89
,ServiceLog,Andrey,1435838987469,3G,HSDPA,1,250,2,7736,10292791,-1,-89
,ServiceLog,Andrey,1435838988501,3G,HSDPA,1,250,2,7736,10292791,-1,-89
,ServiceLog,Andrey,1435838989555,3G,HSDPA,1,250,2,7736,10292791,-1,-89
,ServiceLog,Andrey,1435838990595,3G,HSDPA,1,250,2,7736,10292791,-1,-89
,ServiceLog,Andrey,1435838991615,3G,HSDPA,1,250,2,7736,10292791,-1,-91
,ServiceLog,Andrey,1435838992650,3G,HSDPA,1,250,2,7736,10292791,-1,-91
,ServiceLog,Andrey,1435838993776,3G,HSDPA,1,250,2,7736,10292791,-1,-89
,ServiceLog,Andrey,1435838994794,3G,HSDPA,1,250,2,7736,10292791,-1,-89
994,Шаболовская 4,Andrey,1435838995587,3G,HSDPA,1,250,2,7736,10292791,-1,-89
,ServiceLog,Andrey,1435838995827,3G,HSDPA,1,250,2,7736,10292791,-1,-89
,ServiceLog,Andrey,1435838996866,3G,HSDPA,1,250,2,7736,10292791,-1,-89
,ServiceLog,Andrey,1435838997911,3G,HSDPA,1,250,2,7736,10292791,-1,-89
,ServiceLog,Andrey,1435838998979,3G,HSDPA,1,250,2,7736,10292791,-1,-91
,ServiceLog,Andrey,1435838999990,3G,HSDPA,1,250,2,7736,10292791,-1,-91
,ServiceLog,Andrey,1435839001002,3G,HSDPA,1,250,2,7736,10292791,-1,-91
,ServiceLog,Andrey,1435839002055,3G,HSDPA,1,250,2,7736,10292791,-1,-87
,ServiceLog,Andrey,1435839003103,3G,HSDPA,1,250,2,7736,10292791,-1,-87
,ServiceLog,Andrey,1435839004143,3G,HSDPA,1,250,2,7736,10292791,-1,-85
,ServiceLog,Andrey,1435839005160,3G,HSDPA,1,250,2,7736,10292791,-1,-85
,ServiceLog,Andrey,1435839006218,3G,HSDPA,1,250,2,7736,10292791,-1,-85
,ServiceLog,Andrey,1435839007455,3G,HSDPA,1,250,2,7736,10292791,-1,-85
,ServiceLog,Andrey,1435839008471,3G,HSDPA,1,250,2,7736,10292791,-1,-85
