ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power
992,Шаболовская 2,vlad,1435838888242,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,vlad,1435838888767,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,vlad,1435838889781,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,vlad,1435838890793,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,vlad,1435838891805,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,vlad,1435838892841,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,vlad,1435838893856,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,vlad,1435838894871,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,vlad,1435838895884,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,vlad,1435838896898,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,vlad,1435838897912,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,vlad,1435838898951,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,vlad,1435838899995,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,vlad,1435838901035,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,vlad,1435838902077,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,vlad,1435838903116,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,vlad,1435838904147,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,vlad,1435838905198,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,vlad,1435838906211,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,vlad,1435838907232,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,vlad,1435838908269,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,vlad,1435838909308,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,vlad,1435838910329,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,vlad,1435838911363,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,vlad,1435838912378,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,vlad,1435838913415,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,vlad,1435838914450,unknown,unknown,1,-1,-1,-1,-1,-1,-1
993,Шаболовская 3,vlad,1435838914534,unknown,unknown,1,-1,-1,-1,-1,-1,-1
