ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,RSSI
1053,Беляево 3,bishop,1417189761018,2G,EDGE,1,250,1,770,563,-1,-73
,ServiceLog,bishop,1417189761845,2G,EDGE,1,250,1,770,563,-1,-73
,ServiceLog,bishop,1417189762863,2G,EDGE,1,250,1,770,563,-1,-75
,ServiceLog,bishop,1417189763895,2G,EDGE,1,250,1,770,563,-1,-75
,ServiceLog,bishop,1417189764927,2G,EDGE,1,250,1,770,563,-1,-75
,ServiceLog,bishop,1417189765944,2G,EDGE,1,250,1,770,563,-1,-75
,ServiceLog,bishop,1417189766972,2G,EDGE,1,250,1,770,563,-1,-75
,ServiceLog,bishop,1417189768003,2G,EDGE,1,250,1,770,563,-1,-75
,ServiceLog,bishop,1417189769046,2G,EDGE,1,250,1,770,563,-1,-75
,ServiceLog,bishop,1417189770074,2G,EDGE,1,250,1,770,563,-1,-75
,ServiceLog,bishop,1417189771102,2G,EDGE,1,250,1,770,563,-1,-75
,ServiceLog,bishop,1417189772132,2G,EDGE,1,250,1,770,563,-1,-77
1054,Беляево 4,bishop,1417189773016,2G,EDGE,1,250,1,770,563,-1,-77
,ServiceLog,bishop,1417189773155,2G,EDGE,1,250,1,770,563,-1,-77
,ServiceLog,bishop,1417189774168,2G,EDGE,1,250,1,770,563,-1,-77
,ServiceLog,bishop,1417189775185,2G,EDGE,1,250,1,770,563,-1,-77
,ServiceLog,bishop,1417189776213,2G,EDGE,1,250,1,770,563,-1,-75
,ServiceLog,bishop,1417189777240,2G,EDGE,1,250,1,770,563,-1,-77
,ServiceLog,bishop,1417189778271,2G,EDGE,1,250,1,770,563,-1,-77
,ServiceLog,bishop,1417189779310,2G,EDGE,1,250,1,770,563,-1,-77
,ServiceLog,bishop,1417189780336,2G,EDGE,1,250,1,770,563,-1,-77
,ServiceLog,bishop,1417189781350,2G,EDGE,1,250,1,770,563,-1,-77
,ServiceLog,bishop,1417189782374,2G,EDGE,1,250,1,770,563,-1,-77
,ServiceLog,bishop,1417189783405,2G,EDGE,1,250,1,770,563,-1,-77
,ServiceLog,bishop,1417189784453,2G,EDGE,1,250,1,770,563,-1,-77
,ServiceLog,bishop,1417189785469,2G,EDGE,1,250,1,770,563,-1,-77
,ServiceLog,bishop,1417189786498,2G,EDGE,1,250,1,770,563,-1,-77
,ServiceLog,bishop,1417189787515,2G,EDGE,1,250,1,770,563,-1,-77
,ServiceLog,bishop,1417189788527,2G,EDGE,1,250,1,770,563,-1,-77
