ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power,race_id
1212,Улица 1905 года 2,Anna,1423846809265,unknown,unknown,1,0,0,0,-1,-1,-113,1423846710
,ServiceLog,Anna,1423846810338,unknown,unknown,1,0,0,0,-1,-1,-113,1423846710
,ServiceLog,Anna,1423846811367,unknown,unknown,1,0,0,0,-1,-1,-113,1423846710
,ServiceLog,Anna,1423846812473,unknown,unknown,1,0,0,0,-1,-1,-113,1423846710
,ServiceLog,Anna,1423846813487,unknown,unknown,1,0,0,0,-1,-1,-113,1423846710
,ServiceLog,Anna,1423846814573,unknown,unknown,1,0,0,0,-1,-1,-113,1423846710
,ServiceLog,Anna,1423846815588,unknown,unknown,1,0,0,0,-1,-1,-113,1423846710
,ServiceLog,Anna,1423846816667,unknown,unknown,1,0,0,0,-1,-1,-113,1423846710
,ServiceLog,Anna,1423846817677,unknown,unknown,1,0,0,0,-1,-1,-113,1423846710
,ServiceLog,Anna,1423846818767,unknown,unknown,1,0,0,0,-1,-1,-113,1423846710
,ServiceLog,Anna,1423846819799,unknown,unknown,1,0,0,0,-1,-1,-113,1423846710
,ServiceLog,Anna,1423846820900,unknown,unknown,1,0,0,0,-1,-1,-113,1423846710
,ServiceLog,Anna,1423846821965,unknown,unknown,1,0,0,0,-1,-1,-113,1423846710
,ServiceLog,Anna,1423846823073,unknown,unknown,1,0,0,0,-1,-1,-113,1423846710
1213,Улица 1905 года 3,Anna,1423846823885,unknown,unknown,1,0,0,0,-1,-1,-113,1423846710
