ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power,race_id
1223,Беговая 3,Anna,1423135603675,2G,EDGE,1,250,2,7743,590,-1,-79,1423135603
,ServiceLog,Anna,1423135604721,2G,EDGE,1,250,2,7743,590,-1,-79,1423135603
,ServiceLog,Anna,1423135605732,2G,EDGE,1,250,2,7743,590,-1,-77,1423135603
,ServiceLog,Anna,1423135606767,2G,EDGE,1,250,2,7743,590,-1,-77,1423135603
,ServiceLog,Anna,1423135607778,2G,EDGE,1,250,2,7743,590,-1,-69,1423135603
,ServiceLog,Anna,1423135608860,2G,EDGE,1,250,2,7743,590,-1,-69,1423135603
,ServiceLog,Anna,1423135609874,2G,EDGE,1,0,0,0,-1,-1,-113,1423135603
,ServiceLog,Anna,1423135610903,2G,EDGE,1,0,0,0,-1,-1,-113,1423135603
,ServiceLog,Anna,1423135611916,3G,HSDPA,1,0,0,0,10224211,0,-97,1423135603
,ServiceLog,Anna,1423135612964,3G,HSDPA,1,0,0,0,10224211,0,-97,1423135603
,ServiceLog,Anna,1423135613987,3G,HSDPA,1,250,2,7743,10224211,491,-97,1423135603
1224,Беговая 4,Anna,1423135614735,3G,HSDPA,1,250,2,7743,10224211,491,-97,1423135603
,ServiceLog,Anna,1423135615064,3G,HSDPA,1,250,2,7743,10224211,491,-97,1423135603
,ServiceLog,Anna,1423135616080,3G,HSDPA,1,250,2,7743,10224211,491,-85,1423135603
,ServiceLog,Anna,1423135617187,3G,HSDPA,1,250,2,7743,10224211,491,-85,1423135603
,ServiceLog,Anna,1423135618212,3G,HSDPA,1,250,2,7743,10224211,491,-105,1423135603
,ServiceLog,Anna,1423135618212,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-57,1423135603
,ServiceLog,Anna,1423135618212,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-111,1423135603
,ServiceLog,Anna,1423135618212,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-111,1423135603
,ServiceLog,Anna,1423135618212,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-113,1423135603
,ServiceLog,Anna,1423135618212,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-113,1423135603
,ServiceLog,Anna,1423135618212,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-113,1423135603
,ServiceLog,Anna,1423135618212,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-113,1423135603
,ServiceLog,Anna,1423135618212,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-113,1423135603
,ServiceLog,Anna,1423135619261,3G,HSDPA,1,250,2,7743,10224211,491,-105,1423135603
,ServiceLog,Anna,1423135619261,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-57,1423135603
,ServiceLog,Anna,1423135619261,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-111,1423135603
,ServiceLog,Anna,1423135619261,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-111,1423135603
,ServiceLog,Anna,1423135619261,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-113,1423135603
,ServiceLog,Anna,1423135619261,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-113,1423135603
,ServiceLog,Anna,1423135619261,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-113,1423135603
,ServiceLog,Anna,1423135619261,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-113,1423135603
,ServiceLog,Anna,1423135619261,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-113,1423135603
,ServiceLog,Anna,1423135620314,3G,HSDPA,1,250,2,7743,10224211,491,-105,1423135603
,ServiceLog,Anna,1423135620314,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-57,1423135603
,ServiceLog,Anna,1423135620314,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-111,1423135603
,ServiceLog,Anna,1423135620314,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-111,1423135603
,ServiceLog,Anna,1423135620314,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-113,1423135603
,ServiceLog,Anna,1423135620314,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-113,1423135603
,ServiceLog,Anna,1423135620314,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-113,1423135603
,ServiceLog,Anna,1423135620314,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-113,1423135603
,ServiceLog,Anna,1423135620314,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-113,1423135603
,ServiceLog,Anna,1423135621381,3G,HSDPA,1,250,2,7743,10224211,491,-105,1423135603
,ServiceLog,Anna,1423135621381,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-57,1423135603
,ServiceLog,Anna,1423135621381,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-111,1423135603
,ServiceLog,Anna,1423135621381,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-111,1423135603
,ServiceLog,Anna,1423135621381,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-113,1423135603
,ServiceLog,Anna,1423135621381,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-113,1423135603
,ServiceLog,Anna,1423135621381,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-113,1423135603
,ServiceLog,Anna,1423135621381,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-113,1423135603
,ServiceLog,Anna,1423135621381,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-113,1423135603
,ServiceLog,Anna,1423135622402,3G,HSDPA,1,250,2,7743,10224211,491,-69,1423135603
,ServiceLog,Anna,1423135622402,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-57,1423135603
,ServiceLog,Anna,1423135622402,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-111,1423135603
,ServiceLog,Anna,1423135622402,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-111,1423135603
,ServiceLog,Anna,1423135622402,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-113,1423135603
,ServiceLog,Anna,1423135622402,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-113,1423135603
,ServiceLog,Anna,1423135622402,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-113,1423135603
,ServiceLog,Anna,1423135622402,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-113,1423135603
,ServiceLog,Anna,1423135622402,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-113,1423135603
,ServiceLog,Anna,1423135623521,3G,HSDPA,1,250,2,7743,10224211,491,-69,1423135603
,ServiceLog,Anna,1423135623521,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-57,1423135603
,ServiceLog,Anna,1423135623521,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-111,1423135603
,ServiceLog,Anna,1423135623521,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-111,1423135603
,ServiceLog,Anna,1423135623521,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-113,1423135603
,ServiceLog,Anna,1423135623521,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-113,1423135603
,ServiceLog,Anna,1423135623521,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-113,1423135603
,ServiceLog,Anna,1423135623521,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-113,1423135603
,ServiceLog,Anna,1423135623521,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-113,1423135603
,ServiceLog,Anna,1423135624536,3G,HSDPA,1,250,2,7743,10224211,491,-101,1423135603
,ServiceLog,Anna,1423135624536,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-69,1423135603
,ServiceLog,Anna,1423135624536,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-113,1423135603
,ServiceLog,Anna,1423135624536,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-113,1423135603
,ServiceLog,Anna,1423135624536,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-113,1423135603
,ServiceLog,Anna,1423135624536,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-113,1423135603
,ServiceLog,Anna,1423135624536,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-113,1423135603
,ServiceLog,Anna,1423135624536,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-113,1423135603
,ServiceLog,Anna,1423135624536,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-113,1423135603
,ServiceLog,Anna,1423135625609,3G,HSDPA,1,250,2,7743,10224211,491,-101,1423135603
,ServiceLog,Anna,1423135625609,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-69,1423135603
,ServiceLog,Anna,1423135625609,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-113,1423135603
,ServiceLog,Anna,1423135625609,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-113,1423135603
,ServiceLog,Anna,1423135625609,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-113,1423135603
,ServiceLog,Anna,1423135625609,3G,HSDPA,250-2-7743-10224211,2147483647,2147483647,2147483647,2147483647,-1,-113,1423135603
