Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,session_id
1,830,1333,7788,250,2,Петровско-Разумовская 3,2G,EDGE,-1,-67,1435849211531,Anna,1435845964,449805108
250-2-7788-830,57875,1333,26627,250,99,Петровско-Разумовская 3,2G,EDGE,-1,-73,1435849211531,Anna,1435845964,449805108
1,830,,7788,250,2,ServiceLog,2G,EDGE,-1,-67,1435849212059,Anna,1435845964,449805108
250-2-7788-830,57875,,26627,250,99,ServiceLog,2G,EDGE,-1,-73,1435849212059,Anna,1435845964,449805108
1,830,,7788,250,2,ServiceLog,2G,EDGE,-1,-63,1435849213070,Anna,1435845964,449805108
250-2-7788-830,57875,,26627,250,99,ServiceLog,2G,EDGE,-1,-73,1435849213070,Anna,1435845964,449805108
1,830,,7788,250,2,ServiceLog,2G,EDGE,-1,-63,1435849214154,Anna,1435845964,449805108
250-2-7788-830,57875,,26627,250,99,ServiceLog,2G,EDGE,-1,-73,1435849214154,Anna,1435845964,449805108
1,830,,7788,250,2,ServiceLog,2G,EDGE,-1,-65,1435849215166,Anna,1435845964,449805108
250-2-7788-830,57875,,26627,250,99,ServiceLog,2G,EDGE,-1,-73,1435849215166,Anna,1435845964,449805108
1,830,,7788,250,2,ServiceLog,2G,EDGE,-1,-65,1435849216247,Anna,1435845964,449805108
250-2-7788-830,57875,,26627,250,99,ServiceLog,2G,EDGE,-1,-73,1435849216247,Anna,1435845964,449805108
1,830,,7788,250,2,ServiceLog,2G,EDGE,-1,-73,1435849217269,Anna,1435845964,449805108
250-2-7788-830,57875,,26627,250,99,ServiceLog,2G,EDGE,-1,-73,1435849217269,Anna,1435845964,449805108
1,830,,7788,250,2,ServiceLog,2G,EDGE,-1,-73,1435849218353,Anna,1435845964,449805108
250-2-7788-830,57875,,26627,250,99,ServiceLog,2G,EDGE,-1,-73,1435849218353,Anna,1435845964,449805108
1,830,,7788,250,2,ServiceLog,2G,EDGE,-1,-59,1435849219363,Anna,1435845964,449805108
250-2-7788-830,57875,,26627,250,99,ServiceLog,2G,EDGE,-1,-73,1435849219363,Anna,1435845964,449805108
1,830,,7788,250,2,ServiceLog,2G,EDGE,-1,-59,1435849220440,Anna,1435845964,449805108
250-2-7788-830,57875,,26627,250,99,ServiceLog,2G,EDGE,-1,-73,1435849220440,Anna,1435845964,449805108
1,830,,7788,250,2,ServiceLog,2G,EDGE,-1,-61,1435849221451,Anna,1435845964,449805108
250-2-7788-830,57875,,26627,250,99,ServiceLog,2G,EDGE,-1,-73,1435849221451,Anna,1435845964,449805108
1,830,,7788,250,2,ServiceLog,2G,EDGE,-1,-61,1435849222527,Anna,1435845964,449805108
250-2-7788-830,57875,,26627,250,99,ServiceLog,2G,EDGE,-1,-73,1435849222527,Anna,1435845964,449805108
1,830,1334,7788,250,2,Петровско-Разумовская 4,2G,EDGE,-1,-61,1435849223044,Anna,1435845964,449805108
250-2-7788-830,57875,1334,26627,250,99,Петровско-Разумовская 4,2G,EDGE,-1,-73,1435849223044,Anna,1435845964,449805108
1,830,,7788,250,2,ServiceLog,2G,EDGE,-1,-55,1435849223539,Anna,1435845964,449805108
250-2-7788-830,57875,,26627,250,99,ServiceLog,2G,EDGE,-1,-73,1435849223539,Anna,1435845964,449805108
1,830,,7788,250,2,ServiceLog,2G,EDGE,-1,-55,1435849224622,Anna,1435845964,449805108
250-2-7788-830,57875,,26627,250,99,ServiceLog,2G,EDGE,-1,-73,1435849224622,Anna,1435845964,449805108
1,830,,7788,250,2,ServiceLog,2G,EDGE,-1,-87,1435849225632,Anna,1435845964,449805108
250-2-7788-830,57875,,26627,250,99,ServiceLog,2G,EDGE,-1,-73,1435849225632,Anna,1435845964,449805108
1,830,,7788,250,2,ServiceLog,2G,EDGE,-1,-87,1435849226709,Anna,1435845964,449805108
250-2-7788-830,57875,,26627,250,99,ServiceLog,2G,EDGE,-1,-73,1435849226709,Anna,1435845964,449805108
1,830,,7788,250,2,ServiceLog,2G,EDGE,-1,-87,1435849227723,Anna,1435845964,449805108
250-2-7788-830,57875,,26627,250,99,ServiceLog,2G,EDGE,-1,-73,1435849227723,Anna,1435845964,449805108
1,830,,7788,250,2,ServiceLog,2G,EDGE,-1,-87,1435849228810,Anna,1435845964,449805108
250-2-7788-830,57875,,26627,250,99,ServiceLog,2G,EDGE,-1,-73,1435849228810,Anna,1435845964,449805108
1,830,,7788,250,2,ServiceLog,2G,EDGE,-1,-75,1435849229821,Anna,1435845964,449805108
250-2-7788-830,57875,,26627,250,99,ServiceLog,2G,EDGE,-1,-73,1435849229821,Anna,1435845964,449805108
1,830,,7788,250,2,ServiceLog,2G,EDGE,-1,-75,1435849230905,Anna,1435845964,449805108
250-2-7788-830,57875,,26627,250,99,ServiceLog,2G,EDGE,-1,-73,1435849230905,Anna,1435845964,449805108
1,830,,7788,250,2,ServiceLog,2G,EDGE,-1,-61,1435849231917,Anna,1435845964,449805108
250-2-7788-830,57875,,26627,250,99,ServiceLog,2G,EDGE,-1,-73,1435849231917,Anna,1435845964,449805108
1,830,,7788,250,2,ServiceLog,2G,EDGE,-1,-61,1435849232985,Anna,1435845964,449805108
250-2-7788-830,57875,,26627,250,99,ServiceLog,2G,EDGE,-1,-73,1435849232985,Anna,1435845964,449805108
1,830,,7788,250,2,ServiceLog,2G,EDGE,-1,-75,1435849234114,Anna,1435845964,449805108
250-2-7788-830,57875,,26627,250,99,ServiceLog,2G,EDGE,-1,-73,1435849234114,Anna,1435845964,449805108
1,830,,7788,250,2,ServiceLog,2G,EDGE,-1,-75,1435849235188,Anna,1435845964,449805108
250-2-7788-830,57875,,26627,250,99,ServiceLog,2G,EDGE,-1,-73,1435849235188,Anna,1435845964,449805108
1,830,,7788,250,2,ServiceLog,2G,EDGE,-1,-91,1435849236200,Anna,1435845964,449805108
250-2-7788-830,57875,,26627,250,99,ServiceLog,2G,EDGE,-1,-73,1435849236200,Anna,1435845964,449805108
1,830,,7788,250,2,ServiceLog,2G,EDGE,-1,-91,1435849237280,Anna,1435845964,449805108
250-2-7788-830,57875,,26627,250,99,ServiceLog,2G,EDGE,-1,-73,1435849237280,Anna,1435845964,449805108
1,830,,7788,250,2,ServiceLog,2G,EDGE,-1,-93,1435849238291,Anna,1435845964,449805108
