ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power,race_id
1492,Южная 2,Bishop,1426933302257,2G,EDGE,1,250,1,770,41833,-1,-77,1426933153
,ServiceLog,Bishop,1426933302297,2G,EDGE,1,250,1,770,41833,-1,-77,1426933153
,ServiceLog,Bishop,1426933303325,2G,EDGE,1,250,1,770,41833,-1,-79,1426933153
,ServiceLog,Bishop,1426933304351,2G,EDGE,1,250,1,770,41833,-1,-79,1426933153
,ServiceLog,Bishop,1426933305372,2G,EDGE,1,250,1,770,41833,-1,-81,1426933153
,ServiceLog,Bishop,1426933306407,2G,EDGE,1,250,1,770,41833,-1,-81,1426933153
,ServiceLog,Bishop,1426933307436,2G,EDGE,1,250,1,770,41833,-1,-81,1426933153
,ServiceLog,Bishop,1426933308509,2G,EDGE,1,250,1,770,41833,-1,-81,1426933153
,ServiceLog,Bishop,1426933309534,2G,EDGE,1,250,1,770,41833,-1,-81,1426933153
,ServiceLog,Bishop,1426933310551,2G,EDGE,1,250,1,770,41833,-1,-81,1426933153
,ServiceLog,Bishop,1426933311579,2G,EDGE,1,250,1,770,41833,-1,-81,1426933153
,ServiceLog,Bishop,1426933312599,2G,EDGE,1,250,1,770,41833,-1,-81,1426933153
,ServiceLog,Bishop,1426933313628,2G,EDGE,1,250,1,770,41833,-1,-81,1426933153
,ServiceLog,Bishop,1426933314647,2G,EDGE,1,250,1,770,41833,-1,-81,1426933153
,ServiceLog,Bishop,1426933315686,2G,EDGE,1,250,1,770,41833,-1,-81,1426933153
,ServiceLog,Bishop,1426933316720,2G,EDGE,1,250,1,770,41833,-1,-79,1426933153
,ServiceLog,Bishop,1426933317741,2G,EDGE,1,250,1,770,41833,-1,-79,1426933153
,ServiceLog,Bishop,1426933318761,2G,EDGE,1,250,1,770,41833,-1,-79,1426933153
,ServiceLog,Bishop,1426933319776,2G,EDGE,1,250,1,770,41833,-1,-79,1426933153
,ServiceLog,Bishop,1426933320798,2G,EDGE,1,250,1,770,41833,-1,-79,1426933153
1493,Южная 3,Bishop,1426933321021,2G,EDGE,1,250,1,770,41833,-1,-79,1426933153
