ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power
1572,Люблино 2,Anna,1435911443191,2G,EDGE,1,250,2,7785,1440,-1,-69
1572,Люблино 2,Anna,1435911443191,2G,EDGE,250-2-7785-1440,-1,-1,-1,-1,-1,-93
,ServiceLog,Anna,1435911443962,2G,EDGE,1,250,2,7785,1440,-1,-71
,ServiceLog,Anna,1435911443962,2G,EDGE,250-2-7785-1440,-1,-1,-1,-1,-1,-93
,ServiceLog,Anna,1435911445038,2G,EDGE,1,250,2,7785,1440,-1,-71
,ServiceLog,Anna,1435911445038,2G,EDGE,250-2-7785-1440,-1,-1,-1,-1,-1,-93
,ServiceLog,Anna,1435911446049,2G,EDGE,250-2-7785-1440,-1,-1,-1,-1,-1,-93
,ServiceLog,Anna,1435911446049,2G,EDGE,1,250,2,7785,1440,-1,-75
,ServiceLog,Anna,1435911447133,2G,EDGE,250-2-7785-1440,-1,-1,-1,-1,-1,-93
,ServiceLog,Anna,1435911447133,2G,EDGE,1,250,2,7785,1440,-1,-75
,ServiceLog,Anna,1435911448158,2G,EDGE,1,250,2,7785,1440,-1,-89
,ServiceLog,Anna,1435911448158,2G,EDGE,250-2-7785-1440,-1,-1,-1,-1,-1,-93
,ServiceLog,Anna,1435911449241,2G,EDGE,1,250,2,7785,1440,-1,-89
,ServiceLog,Anna,1435911449241,2G,EDGE,250-2-7785-1440,-1,-1,-1,-1,-1,-93
,ServiceLog,Anna,1435911450261,2G,EDGE,1,250,2,7785,1440,-1,-69
,ServiceLog,Anna,1435911450261,2G,EDGE,250-2-7785-1440,-1,-1,-1,-1,-1,-93
,ServiceLog,Anna,1435911451339,2G,EDGE,250-2-7785-1440,-1,-1,-1,-1,-1,-93
,ServiceLog,Anna,1435911451339,2G,EDGE,1,250,2,7785,1440,-1,-69
,ServiceLog,Anna,1435911452351,2G,EDGE,250-2-7785-1440,-1,-1,-1,-1,-1,-93
,ServiceLog,Anna,1435911452351,2G,EDGE,1,250,2,7785,1440,-1,-73
,ServiceLog,Anna,1435911453395,2G,EDGE,1,250,2,7785,1440,-1,-73
,ServiceLog,Anna,1435911453395,2G,EDGE,250-2-7785-1440,-1,-1,-1,-1,-1,-93
,ServiceLog,Anna,1435911454406,2G,EDGE,1,250,2,7785,1440,-1,-81
,ServiceLog,Anna,1435911454406,2G,EDGE,250-2-7785-1440,-1,-1,-1,-1,-1,-93
,ServiceLog,Anna,1435911455446,2G,EDGE,1,250,2,7785,1440,-1,-81
,ServiceLog,Anna,1435911455446,2G,EDGE,250-2-7785-1440,-1,-1,-1,-1,-1,-93
,ServiceLog,Anna,1435911456458,2G,EDGE,1,250,2,7785,1440,-1,-77
,ServiceLog,Anna,1435911456458,2G,EDGE,250-2-7785-1440,-1,-1,-1,-1,-1,-93
,ServiceLog,Anna,1435911457532,2G,EDGE,250-2-7785-1440,-1,-1,-1,-1,-1,-93
,ServiceLog,Anna,1435911457532,2G,EDGE,1,250,2,7785,1440,-1,-77
,ServiceLog,Anna,1435911458542,2G,EDGE,1,250,2,7785,1440,-1,-73
,ServiceLog,Anna,1435911458542,2G,EDGE,250-2-7785-1440,-1,-1,-1,-1,-1,-93
,ServiceLog,Anna,1435911459579,2G,EDGE,1,250,2,7785,1440,-1,-73
,ServiceLog,Anna,1435911459579,2G,EDGE,250-2-7785-1440,-1,-1,-1,-1,-1,-93
,ServiceLog,Anna,1435911460590,2G,EDGE,1,250,2,7785,1440,-1,-75
,ServiceLog,Anna,1435911460590,2G,EDGE,250-2-7785-1440,-1,-1,-1,-1,-1,-93
,ServiceLog,Anna,1435911461618,2G,EDGE,250-2-7785-1440,-1,-1,-1,-1,-1,-93
,ServiceLog,Anna,1435911461618,2G,EDGE,1,250,2,7785,1440,-1,-75
,ServiceLog,Anna,1435911462635,2G,EDGE,250-2-7785-1440,-1,-1,-1,-1,-1,-93
,ServiceLog,Anna,1435911462635,2G,EDGE,1,250,2,7785,1440,-1,-77
,ServiceLog,Anna,1435911463719,2G,EDGE,1,250,2,7785,1440,-1,-77
,ServiceLog,Anna,1435911463719,2G,EDGE,250-2-7785-1440,-1,-1,-1,-1,-1,-93
,ServiceLog,Anna,1435911464730,2G,EDGE,250-2-7785-1440,-1,-1,-1,-1,-1,-93
,ServiceLog,Anna,1435911464730,2G,EDGE,1,250,2,7785,1440,-1,-77
,ServiceLog,Anna,1435911465828,2G,EDGE,1,250,2,7785,1440,-1,-77
,ServiceLog,Anna,1435911465828,2G,EDGE,250-2-7785-1440,-1,-1,-1,-1,-1,-93
1573,Люблино 3,Anna,1435911466269,2G,EDGE,250-2-7785-1440,-1,-1,-1,-1,-1,-93
1573,Люблино 3,Anna,1435911466269,2G,EDGE,1,250,2,7785,1440,-1,-77
