ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power,race_id
1582,Братиславская 2,User1,1435818406069,2G,EDGE,1,250,99,26627,57855,-1,-79,1435818304
,ServiceLog,User1,1435818407073,2G,EDGE,1,250,99,26627,57855,-1,-79,1435818304
,ServiceLog,User1,1435818408119,2G,EDGE,1,250,99,26627,57855,-1,-79,1435818304
,ServiceLog,User1,1435818409163,2G,EDGE,1,250,99,26627,57855,-1,-79,1435818304
,ServiceLog,User1,1435818410214,2G,EDGE,1,250,99,26627,57855,-1,-79,1435818304
,ServiceLog,User1,1435818411235,2G,EDGE,1,250,99,26627,57855,-1,-79,1435818304
,ServiceLog,User1,1435818412263,2G,EDGE,1,250,99,26627,57855,-1,-79,1435818304
,ServiceLog,User1,1435818413359,2G,EDGE,1,250,99,26627,57855,-1,-79,1435818304
,ServiceLog,User1,1435818414457,2G,EDGE,1,250,99,26627,57855,-1,-77,1435818304
,ServiceLog,User1,1435818415504,2G,EDGE,1,250,99,26627,57855,-1,-75,1435818304
,ServiceLog,User1,1435818416539,2G,EDGE,1,250,99,26627,57855,-1,-75,1435818304
,ServiceLog,User1,1435818417565,2G,EDGE,1,250,99,26627,57855,-1,-71,1435818304
,ServiceLog,User1,1435818418611,2G,EDGE,1,250,99,26627,57855,-1,-69,1435818304
,ServiceLog,User1,1435818419686,2G,EDGE,1,250,99,26627,57855,-1,-65,1435818304
,ServiceLog,User1,1435818420713,2G,EDGE,1,250,99,26627,57855,-1,-65,1435818304
,ServiceLog,User1,1435818421749,2G,EDGE,1,250,99,26627,57855,-1,-63,1435818304
,ServiceLog,User1,1435818422806,2G,EDGE,1,250,99,26627,57855,-1,-63,1435818304
,ServiceLog,User1,1435818423949,2G,EDGE,1,250,99,26627,57855,-1,-63,1435818304
,ServiceLog,User1,1435818425035,2G,EDGE,1,250,99,26627,57855,-1,-63,1435818304
,ServiceLog,User1,1435818426086,2G,EDGE,1,250,99,26627,57855,-1,-63,1435818304
,ServiceLog,User1,1435818427117,2G,EDGE,1,250,99,26627,57855,-1,-63,1435818304
,ServiceLog,User1,1435818428147,2G,EDGE,1,250,99,26627,57855,-1,-63,1435818304
,ServiceLog,User1,1435818429267,2G,EDGE,1,250,99,26627,57855,-1,-63,1435818304
,ServiceLog,User1,1435818430303,2G,EDGE,1,250,99,26627,57855,-1,-65,1435818304
,ServiceLog,User1,1435818431313,2G,EDGE,1,250,99,26627,57855,-1,-67,1435818304
,ServiceLog,User1,1435818432345,2G,EDGE,1,250,99,26627,57855,-1,-69,1435818304
,ServiceLog,User1,1435818433425,2G,EDGE,1,250,99,26627,57855,-1,-69,1435818304
,ServiceLog,User1,1435818434530,2G,EDGE,1,250,99,26627,57855,-1,-73,1435818304
,ServiceLog,User1,1435818435561,2G,EDGE,1,250,99,26627,57855,-1,-75,1435818304
,ServiceLog,User1,1435818436588,2G,EDGE,1,250,99,26627,57855,-1,-75,1435818304
,ServiceLog,User1,1435818437651,2G,EDGE,1,250,99,26627,57855,-1,-75,1435818304
,ServiceLog,User1,1435818438690,2G,EDGE,1,250,99,26627,57855,-1,-77,1435818304
,ServiceLog,User1,1435818439726,2G,EDGE,1,250,99,26627,57855,-1,-77,1435818304
,ServiceLog,User1,1435818440767,2G,EDGE,1,250,99,26627,57855,-1,-79,1435818304
,ServiceLog,User1,1435818441789,2G,EDGE,1,250,99,26627,57855,-1,-79,1435818304
,ServiceLog,User1,1435818442830,2G,EDGE,1,250,99,26627,57855,-1,-79,1435818304
,ServiceLog,User1,1435818443902,2G,EDGE,1,250,99,26627,57855,-1,-81,1435818304
,ServiceLog,User1,1435818444939,2G,EDGE,1,250,99,26627,57855,-1,-81,1435818304
,ServiceLog,User1,1435818445991,2G,EDGE,1,250,99,26627,57855,-1,-81,1435818304
,ServiceLog,User1,1435818447069,2G,EDGE,1,250,99,26627,57855,-1,-83,1435818304
,ServiceLog,User1,1435818448156,2G,EDGE,1,250,99,26627,57855,-1,-83,1435818304
,ServiceLog,User1,1435818449215,2G,EDGE,1,250,99,26627,57855,-1,-85,1435818304
,ServiceLog,User1,1435818450268,2G,EDGE,1,250,99,26627,57855,-1,-85,1435818304
,ServiceLog,User1,1435818451333,2G,EDGE,1,250,99,26627,57855,-1,-85,1435818304
,ServiceLog,User1,1435818452380,2G,EDGE,1,250,99,26627,57855,-1,-85,1435818304
,ServiceLog,User1,1435818453416,2G,EDGE,1,250,99,26627,57855,-1,-85,1435818304
1583,Братиславская 3,User1,1435818454357,2G,EDGE,1,250,99,26627,57855,-1,-83,1435818304
