ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power
1502,Пражская 2,Bishop,1426052626892,2G,EDGE,1,250,1,770,41832,-1,-83
,ServiceLog,Bishop,1426052627654,2G,EDGE,1,250,1,770,41832,-1,-83
,ServiceLog,Bishop,1426052628687,2G,EDGE,1,250,1,770,41832,-1,-83
,ServiceLog,Bishop,1426052629701,2G,EDGE,1,250,1,770,41832,-1,-85
,ServiceLog,Bishop,1426052630727,2G,EDGE,1,250,1,770,41832,-1,-85
,ServiceLog,Bishop,1426052631752,2G,EDGE,1,250,1,770,41832,-1,-85
,ServiceLog,Bishop,1426052632773,2G,EDGE,1,250,1,770,41832,-1,-85
,ServiceLog,Bishop,1426052633804,2G,EDGE,1,250,1,770,41832,-1,-85
,ServiceLog,Bishop,1426052634837,2G,EDGE,1,250,1,770,41832,-1,-87
,ServiceLog,Bishop,1426052635860,2G,EDGE,1,250,1,770,41832,-1,-87
,ServiceLog,Bishop,1426052636880,2G,EDGE,1,250,1,770,41832,-1,-87
,ServiceLog,Bishop,1426052637907,2G,EDGE,1,250,1,770,41832,-1,-87
,ServiceLog,Bishop,1426052638933,2G,EDGE,1,250,1,770,41832,-1,-89
,ServiceLog,Bishop,1426052639966,2G,EDGE,1,250,1,770,41832,-1,-89
,ServiceLog,Bishop,1426052640986,2G,EDGE,1,250,1,770,41832,-1,-91
,ServiceLog,Bishop,1426052642207,2G,EDGE,1,250,1,770,41832,-1,-91
,ServiceLog,Bishop,1426052643226,2G,EDGE,1,250,1,770,41832,-1,-91
,ServiceLog,Bishop,1426052644238,2G,EDGE,1,250,1,770,41832,-1,-91
,ServiceLog,Bishop,1426052645253,2G,EDGE,1,250,1,770,41832,-1,-91
1503,Пражская 3,Bishop,1426052645735,2G,EDGE,1,250,1,770,41832,-1,-91
