ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power,race_id
1933,Бульвар Адмирала Ушакова 3,bishop,1425985962954,3G,UMTS,1,250,1,655,7808279,-1,-75,1425985962
,ServiceLog,User1,1425985963239,3G,UMTS,1,250,1,655,7808279,-1,-75,1425985962
,ServiceLog,User1,1425985964269,3G,UMTS,1,250,1,655,7808279,-1,-75,1425985962
,ServiceLog,User1,1425985965299,3G,UMTS,1,250,1,655,7808279,-1,-75,1425985962
,ServiceLog,User1,1425985966336,3G,UMTS,1,250,1,655,7808279,-1,-75,1425985962
,ServiceLog,User1,1425985967363,3G,UMTS,1,250,1,655,7808279,-1,-75,1425985962
,ServiceLog,User1,1425985968382,3G,UMTS,1,250,1,655,7808279,-1,-75,1425985962
,ServiceLog,User1,1425985969409,3G,UMTS,1,250,1,655,7808279,-1,-77,1425985962
,ServiceLog,User1,1425985970504,3G,UMTS,1,250,1,655,7808279,-1,-77,1425985962
,ServiceLog,User1,1425985971834,3G,UMTS,1,250,1,655,7808279,-1,-77,1425985962
,ServiceLog,User1,1425985972859,3G,UMTS,1,250,1,655,7808279,-1,-79,1425985962
,ServiceLog,User1,1425985973874,3G,UMTS,1,250,1,655,7808279,-1,-79,1425985962
1934,Бульвар Адмирала Ушакова 4,bishop,1425985974410,3G,UMTS,1,250,1,655,7808279,-1,-79,1425985962
,ServiceLog,User1,1425985974891,3G,UMTS,1,250,1,655,7811576,-1,-79,1425985962
,ServiceLog,User1,1425985975908,3G,UMTS,1,250,1,655,7811576,-1,-79,1425985962
,ServiceLog,User1,1425985976928,3G,UMTS,1,250,1,655,7811576,-1,-79,1425985962
,ServiceLog,User1,1425985977955,3G,UMTS,1,250,1,655,7811576,-1,-81,1425985962
,ServiceLog,User1,1425985978972,3G,UMTS,1,250,1,655,7811576,-1,-81,1425985962
,ServiceLog,User1,1425985980004,3G,UMTS,1,250,1,655,7801531,-1,-81,1425985962
,ServiceLog,User1,1425985981033,3G,UMTS,1,250,1,655,7801531,-1,-81,1425985962
,ServiceLog,User1,1425985982061,3G,UMTS,1,250,1,655,7801531,-1,-81,1425985962
,ServiceLog,User1,1425985983098,3G,UMTS,1,250,1,655,7801531,-1,-81,1425985962
,ServiceLog,User1,1425985984126,3G,UMTS,1,250,1,655,7801531,-1,-81,1425985962
