ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power
2223,Зябликово 3,Anna,1435910687205,unknown,unknown,1,-1,-1,-1,-1,-1,0
,ServiceLog,Anna,1435910687772,unknown,unknown,1,-1,-1,-1,-1,-1,0
,ServiceLog,Anna,1435910688813,unknown,unknown,1,-1,-1,-1,-1,-1,0
,ServiceLog,Anna,1435910689884,unknown,unknown,1,-1,-1,-1,-1,-1,0
,ServiceLog,Anna,1435910690932,unknown,unknown,1,-1,-1,-1,-1,-1,0
,ServiceLog,Anna,1435910692018,unknown,unknown,1,-1,-1,-1,-1,-1,0
,ServiceLog,Anna,1435910693068,unknown,unknown,1,-1,-1,-1,-1,-1,0
,ServiceLog,Anna,1435910694139,unknown,unknown,1,-1,-1,-1,-1,-1,0
,ServiceLog,Anna,1435910695181,unknown,unknown,1,-1,-1,-1,-1,-1,0
,ServiceLog,Anna,1435910696253,unknown,unknown,1,-1,-1,-1,-1,-1,0
,ServiceLog,Anna,1435910697310,unknown,unknown,1,-1,-1,-1,-1,-1,0
,ServiceLog,Anna,1435910698396,unknown,unknown,1,-1,-1,-1,-1,-1,0
2224,Зябликово 4,Anna,1435910698415,unknown,unknown,1,-1,-1,-1,-1,-1,0
,ServiceLog,Anna,1435910699454,unknown,unknown,1,-1,-1,-1,-1,-1,0
,ServiceLog,Anna,1435910700541,unknown,unknown,1,-1,-1,-1,-1,-1,0
,ServiceLog,Anna,1435910701589,unknown,unknown,1,-1,-1,-1,-1,-1,0
,ServiceLog,Anna,1435910702671,unknown,unknown,1,-1,-1,-1,-1,-1,0
,ServiceLog,Anna,1435910703716,unknown,unknown,1,-1,-1,-1,-1,-1,0
,ServiceLog,Anna,1435910704780,unknown,unknown,1,-1,-1,-1,-1,-1,0
,ServiceLog,Anna,1435910705828,unknown,unknown,1,-1,-1,-1,-1,-1,0
,ServiceLog,Anna,1435910706900,unknown,unknown,1,-1,-1,-1,-1,-1,0
,ServiceLog,Anna,1435910707963,unknown,unknown,1,-1,-1,-1,-1,-1,0
,ServiceLog,Anna,1435910709036,unknown,unknown,1,-1,-1,-1,-1,-1,0
,ServiceLog,Anna,1435910710087,unknown,unknown,1,-1,-1,-1,-1,-1,0
,ServiceLog,Anna,1435910711153,unknown,unknown,1,-1,-1,-1,-1,-1,0
,ServiceLog,Anna,1435910712214,unknown,unknown,1,-1,-1,-1,-1,-1,0
,ServiceLog,Anna,1435910713260,unknown,unknown,1,-1,-1,-1,-1,-1,0
,ServiceLog,Anna,1435910714312,unknown,unknown,1,-1,-1,-1,-1,-1,0
,ServiceLog,Anna,1435910715388,unknown,unknown,1,-1,-1,-1,-1,-1,0
,ServiceLog,Anna,1435910716437,unknown,unknown,1,-1,-1,-1,-1,-1,0
,ServiceLog,Anna,1435910717513,unknown,unknown,1,-1,-1,-1,-1,-1,0
,ServiceLog,Anna,1435910718590,unknown,unknown,1,-1,-1,-1,-1,-1,0
,ServiceLog,Anna,1435910719652,unknown,unknown,1,-1,-1,-1,-1,-1,0
,ServiceLog,Anna,1435910720706,unknown,unknown,1,-1,-1,-1,-1,-1,0
,ServiceLog,Anna,1435910721780,unknown,unknown,1,-1,-1,-1,-1,-1,0
,ServiceLog,Anna,1435910722833,unknown,unknown,1,-1,-1,-1,-1,-1,0
,ServiceLog,Anna,1435910723905,unknown,unknown,1,-1,-1,-1,-1,-1,0
,ServiceLog,Anna,1435910724957,unknown,unknown,1,-1,-1,-1,-1,-1,0
,ServiceLog,Anna,1435910726022,unknown,unknown,1,-1,-1,-1,-1,-1,0
,ServiceLog,Anna,1435910727061,unknown,unknown,1,-1,-1,-1,-1,-1,0
