ID;Name;inter;move;sequence;stationId;errorIndex
461;Курская (АПК) 1;;;-1;;811049710
461;Курская (АПК) 1;;;-1;;811049710
462;Курская (АПК) 2;;;-1;;811049710
463;Курская (АПК) 3;;;-1;;811049710
464;Курская (АПК) 4;;;-1;;811049710
464;Курская (АПК) 4;;;-1;;811049710
464;Курская (АПК) 4;;;-1;;811049710
464;Курская (АПК) 4;;;-1;;811049710
464;Курская (АПК) 4;;;-1;;811049710
464;Курская (АПК) 4;;;-1;;811049710
464;Курская (АПК) 4;;;-1;;811049710
464;Курская (АПК) 4;;;-1;;811049710
451;Площадь Революции 1;;;-1;;811049710
452;Площадь Революции 2;;;-1;;811049710
