ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power
452,Площадь Революции 2,md,1418023835557,3G,UMTS,1,250,1,660,6886875,-1,-83
,ServiceLog,md,1418023836535,3G,UMTS,1,250,1,660,6886875,-1,-87
,ServiceLog,md,1418023837570,3G,UMTS,1,250,1,660,6886875,-1,-87
,ServiceLog,md,1418023838612,3G,UMTS,1,250,1,660,6886875,-1,-87
,ServiceLog,md,1418023839638,3G,UMTS,1,250,1,660,6886875,-1,0
,ServiceLog,md,1418023840684,3G,UMTS,1,250,1,660,6886875,-1,0
,ServiceLog,md,1418023841727,3G,UMTS,1,250,1,660,6886875,-1,0
,ServiceLog,md,1418023842754,3G,UMTS,1,250,1,660,6886875,-1,0
,ServiceLog,md,1418023843820,3G,UMTS,1,250,1,660,6886875,-1,0
,ServiceLog,md,1418023844840,3G,UMTS,1,250,1,660,6886875,-1,0
,ServiceLog,md,1418023845876,3G,UMTS,1,250,1,660,6886875,-1,0
,ServiceLog,md,1418023846906,2G,EDGE,1,250,1,660,371,-1,-87
,ServiceLog,md,1418023847935,2G,EDGE,1,250,1,660,371,-1,-87
,ServiceLog,md,1418023848957,2G,EDGE,1,250,1,660,371,-1,-87
,ServiceLog,md,1418023849989,2G,EDGE,1,250,1,660,371,-1,-67
,ServiceLog,md,1418023851019,2G,EDGE,1,250,1,660,371,-1,-67
,ServiceLog,md,1418023852050,2G,EDGE,1,250,1,660,371,-1,-67
,ServiceLog,md,1418023853087,2G,EDGE,1,250,1,660,371,-1,-67
,ServiceLog,md,1418023854137,2G,EDGE,1,250,1,660,371,-1,-67
,ServiceLog,md,1418023855180,2G,EDGE,1,250,1,660,371,-1,-67
,ServiceLog,md,1418023856217,2G,EDGE,1,250,1,660,371,-1,-69
,ServiceLog,md,1418023857254,2G,EDGE,1,250,1,660,371,-1,-69
,ServiceLog,md,1418023858288,2G,EDGE,1,250,1,660,371,-1,-69
,ServiceLog,md,1418023859325,2G,EDGE,1,250,1,660,371,-1,-69
,ServiceLog,md,1418023860358,2G,EDGE,1,250,1,660,371,-1,-69
453,Площадь Революции 3,md,1418023861043,2G,EDGE,1,250,1,660,371,-1,-69
