ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,RSSI
2102,Кунцевская (АПК) 2,md,1417616268013,3G,UMTS,1,250,1,821,510624,-1,-93
,ServiceLog,md,1417616268281,3G,UMTS,1,250,1,821,510624,-1,-93
,ServiceLog,md,1417616269302,3G,UMTS,1,250,1,821,510624,-1,-93
,ServiceLog,md,1417616270333,3G,UMTS,1,250,1,821,510624,-1,-95
,ServiceLog,md,1417616271366,3G,UMTS,1,250,1,821,510624,-1,-95
,ServiceLog,md,1417616272389,3G,UMTS,1,250,1,821,510624,-1,-95
,ServiceLog,md,1417616273408,3G,UMTS,1,250,1,821,510624,-1,-97
,ServiceLog,md,1417616274448,2G,GPRS,1,250,1,821,54662,-1,-103
,ServiceLog,md,1417616275464,2G,GPRS,1,250,1,821,54662,-1,-103
,ServiceLog,md,1417616276487,2G,GPRS,1,250,1,821,54662,-1,-103
,ServiceLog,md,1417616277532,2G,GPRS,1,250,1,821,54662,-1,-99
,ServiceLog,md,1417616278557,2G,GPRS,1,250,1,821,54662,-1,-99
,ServiceLog,md,1417616279611,2G,GPRS,250-1-821-54662,250,1,821,42604,-1,-103
,ServiceLog,md,1417616279611,2G,GPRS,1,250,1,821,54662,-1,-99
,ServiceLog,md,1417616280639,2G,GPRS,1,250,1,821,54662,-1,-99
,ServiceLog,md,1417616280639,2G,GPRS,250-1-821-54662,250,1,821,42604,-1,-101
,ServiceLog,md,1417616282063,2G,GPRS,250-1-821-54662,250,1,821,42604,-1,-101
,ServiceLog,md,1417616282063,2G,GPRS,1,250,1,821,54662,-1,-99
,ServiceLog,md,1417616283081,2G,GPRS,1,250,1,821,54662,-1,-99
,ServiceLog,md,1417616283081,2G,GPRS,250-1-821-54662,250,1,821,42604,-1,-101
,ServiceLog,md,1417616283081,2G,GPRS,250-1-821-54662,250,1,821,54665,-1,0
,ServiceLog,md,1417616284098,2G,GPRS,1,250,1,821,54662,-1,-99
,ServiceLog,md,1417616284098,2G,GPRS,250-1-821-54662,250,1,821,42604,-1,-101
,ServiceLog,md,1417616284098,2G,GPRS,250-1-821-54662,250,1,821,54665,-1,-105
,ServiceLog,md,1417616285124,2G,GPRS,250-1-821-54662,250,1,821,54665,-1,-105
,ServiceLog,md,1417616285124,2G,GPRS,1,250,1,821,54662,-1,-99
,ServiceLog,md,1417616285124,2G,GPRS,250-1-821-54662,250,1,821,42604,-1,-101
,ServiceLog,md,1417616286141,2G,GPRS,1,250,1,821,54662,-1,-97
,ServiceLog,md,1417616287169,2G,GPRS,1,250,1,821,54662,-1,-97
2103,Кунцевская (АПК) 3,md,1417616287357,2G,GPRS,1,250,1,821,54662,-1,-97
